Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.560121819351586,-89.42305505097801,2
41.6,-28.237606254948798,-93.27354011971227,2
43.264,-28.100639410520376,-90.9540792481579,2
44.99456000000001,-27.18851777902088,-92.19993398679657,2
46.79434240000001,-26.715048218193033,-93.77133711643069,2
48.66611609600002,-26.623016732494502,-95.16281357608311,2
50.61276073984002,-25.82297541272031,-92.37870662817677,2
52.637271169433625,-25.551523831215448,-91.64546113699221,2
54.742762016210975,-25.367497110487168,-91.76220472248889,2
56.93247249685942,-24.985507507797415,-90.96596265448466,2
59.2097713967338,-24.874519611254303,-91.37402398329786,2
61.57816225260316,-24.26142908957106,-90.4108589229056,2
64.04128874270728,-24.188517813059768,-91.4500274959395,2
66.60294029241557,-23.744968243247683,-93.89100513320147,1
69.26705790411219,-23.325438768183894,-92.77075557560218,1
72.03774022027669,-22.964040021368778,-93.32193549251122,2
74.91924982908776,-22.59280687126435,-92.96689434903614,1
77.91601982225127,-22.364858313255308,-93.22599681228395,1
81.03266061514132,-22.007077066744156,-93.27382910050562,2
84.27396703974698,-21.63445389441985,-93.7140051072911,1
87.64492572133686,-21.38014903630193,-92.25040505384584,1
91.15072275019034,-21.039836115781874,-92.39504346370882,1
94.79675166019796,-20.69578306283399,-92.60381664320138,1
98.58862172660588,-20.307058478527807,-93.66383287223255,1
102.53216659567012,-20.00504470725352,-94.3694876641535,1
106.63345325949693,-19.776963706935014,-93.09856571002184,1
110.89879138987682,-19.379819105190656,-92.47487551010855,1
115.3347430454719,-18.94681690149536,-93.86598208138207,1
119.94813276729077,-18.65501768564597,-94.05422271854005,1
124.74605807798241,-18.240327801660253,-94.12049503435486,1
129.7359004011017,-17.988592081034856,-94.02845349553854,1
134.9253364171458,-17.63229288648657,-94.28216627142648,1
140.32234987383163,-17.290796919519945,-94.51731240988173,1
145.9352438687849,-16.98766549430492,-94.15222346788313,1
151.7726536235363,-16.81117185820008,-95.17872500038425,1
157.84355976847777,-16.274203968468118,-95.29760563179728,1
164.1573021592169,-15.874437898376156,-95.54711073232414,1
170.7235942455856,-15.660115020320792,-95.42661617333431,1
177.55253801540903,-15.284343170487814,-95.92711204265676,1
184.6546395360254,-14.979214819552556,-96.28031815513582,1
192.04082511746643,-14.713981602519187,-96.10406709299053,1
199.72245812216508,-14.301881168467101,-96.62578147689503,1
207.71135644705168,-13.942017372146228,-96.63752257191803,1
216.01981070493375,-13.696266673755199,-97.00307983326,1
224.6606031331311,-13.41556495539063,-97.59066427817527,1
233.64702725845635,-13.083114788132734,-97.70723628354335,1
242.9929083487946,-12.73212454283502,-97.57653723773797,1
252.7126246827464,-12.391069571264365,-98.1854203493846,1
262.8211296700563,-12.025125221990402,-98.65057752784355,1
273.33397485685856,-11.728502233650174,-99.17166660487025,1
284.2673338511329,-11.366588419030993,-99.04664455683081,1
295.6380272051782,-10.98172642378138,-99.45986508200367,1
307.4635482933854,-10.506503110385454,-99.38411735221464,1
319.7620902251208,-10.243418683648391,-99.98828789522737,1
332.55257383412567,-10.0240297366688,-100.55032551373242,1
345.8546767874907,-9.55208448141221,-100.80649073373372,1
359.6888638589903,-9.250861208202185,-101.10023575521467,1
374.0764184133499,-8.976640203726772,-101.81711186952879,1
389.0394751498839,-8.598649566781575,-102.00623074929771,1
404.6010541558793,-8.263159206338178,-102.16449284692771,1
420.7850963221145,-7.971460979981826,-102.89218737692272,1
437.6165001749991,-7.650865507291187,-103.47767977649596,1
455.1211601819991,-7.230223986689697,-103.88155654316373,1
473.3260065892791,-7.000749992277947,-104.27075988736426,1
492.25904685285025,-6.721265221590787,-105.1772219488461,1
511.9494087269643,-6.450476843502294,-105.8784030738239,1
532.4273850760429,-6.089598410773598,-106.32325242018558,1
553.7244804790846,-5.660934206776772,-106.51509437076444,1
575.873459698248,-5.265837022550362,-106.97544955672753,1
598.908398086178,-4.9475233126032165,-107.43259528968272,1
622.8647340096251,-4.570833170456534,-107.89469607681754,1
647.77932337001,-4.305734543951445,-108.64043715474622,1
673.6904963048105,-3.989453031269159,-109.29372587122018,1
700.638116157003,-3.7345334966965495,-110.21981308543229,1
728.6636408032831,-3.4502519387819577,-111.15952760905142,1
757.8101864354145,-3.2052661937815823,-112.12523844597473,1
788.1225938928311,-2.814561456769532,-112.52726214348162,1
819.6474976485443,-2.4290299302068896,-113.21344578154655,1
