Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.172345540685416,-92.29402825377383,1
41.6,-27.49839930326656,-91.15745816394232,1
43.264,-27.192815880638758,-90.2143005952516,1
44.99456000000001,-27.214541405419855,-92.39361521825681,1
46.79434240000001,-26.58986273731889,-89.95899316531103,1
48.66611609600002,-26.323135240534757,-93.0352882103052,2
50.61276073984002,-25.91766956987542,-90.9085208720818,1
52.637271169433625,-25.64590115674689,-91.49925017116082,1
54.742762016210975,-25.206208707648884,-90.47655729409283,2
56.93247249685942,-25.02973257865273,-91.19063074420899,1
59.2097713967338,-24.808177164430813,-91.16793046260676,1
61.57816225260316,-24.2473076625026,-92.88593505668544,1
64.04128874270728,-24.095629988409247,-91.8766412995988,2
66.60294029241557,-23.40920420463457,-91.1078952846384,1
69.26705790411219,-23.471991140842608,-90.70861787577354,1
72.03774022027669,-22.99179329762684,-91.65264199246059,1
74.91924982908776,-22.57051474511579,-91.05957271812296,1
77.91601982225127,-22.4827483065408,-92.40610805543214,1
81.03266061514132,-22.052026587229427,-92.2975848058403,1
84.27396703974698,-21.00700473652516,-92.99618455021651,1
87.64492572133686,-21.312769821143267,-93.55673685039814,1
91.15072275019034,-20.961824280883526,-93.35077080486155,1
94.79675166019796,-20.4774471526007,-92.18455591796949,1
98.58862172660588,-20.35345619590426,-93.47368298882054,1
102.53216659567012,-19.916690277734215,-92.83791556886965,1
106.63345325949693,-19.642053168119265,-93.69945365613076,1
110.89879138987682,-19.288344717687455,-92.84574199018527,1
115.3347430454719,-18.891747547019417,-93.02588841609017,1
119.94813276729077,-18.52505950608068,-93.07679087385202,1
124.74605807798241,-18.105700860486287,-93.21219088316471,1
129.7359004011017,-17.814115456420993,-93.62503776584188,1
134.9253364171458,-17.559515853468717,-93.67632927718219,1
140.32234987383163,-17.10426944750592,-94.3151570442232,1
145.9352438687849,-16.90028120850886,-93.8666779161494,1
151.7726536235363,-16.716843573776238,-94.51867453884643,1
157.84355976847777,-16.19801577481052,-93.78285905722811,1
164.1573021592169,-15.764670368106026,-94.24987259071628,1
170.7235942455856,-15.647232670376052,-95.0417800277736,1
177.55253801540903,-15.196316097602914,-94.65786794460976,1
184.6546395360254,-14.846563282739716,-95.06733196391664,1
192.04082511746643,-14.593517458270847,-95.38692331643767,1
199.72245812216508,-14.180387224292943,-95.47847296963931,1
207.71135644705168,-13.840381929617312,-95.3728544397058,1
216.01981070493375,-13.638702602376009,-95.9932432582298,1
224.6606031331311,-13.383547763330423,-96.2445120674438,1
233.64702725845635,-13.031759937187237,-96.65857912800351,1
242.9929083487946,-12.660911252465676,-96.76881616341217,1
252.7126246827464,-12.201939836895063,-96.91915500057817,1
262.8211296700563,-11.946778023230506,-97.23442160736425,1
273.33397485685856,-11.637985865754322,-97.5162613361021,1
284.2673338511329,-11.314446270690599,-97.79940588695229,1
295.6380272051782,-10.941753452030312,-97.69178921791053,1
307.4635482933854,-10.509204811668148,-98.01857876210069,1
319.7620902251208,-10.167948452569048,-98.29376380659821,1
332.55257383412567,-9.97212962246826,-98.96090125538547,1
345.8546767874907,-9.533888197930017,-99.08785874781177,1
359.6888638589903,-9.229135416739936,-99.4515962193265,1
374.0764184133499,-8.989456883202145,-99.80351922967748,1
389.0394751498839,-8.705253217918687,-98.89749867537017,1
404.6010541558793,-8.287578898461865,-100.57819351638773,1
420.7850963221145,-8.022541086607667,-100.98733675068257,1
437.6165001749991,-7.560886535510014,-101.20652675583703,1
455.1211601819991,-7.290719143164243,-101.71717810122203,1
473.3260065892791,-7.013658221422465,-102.17645822352661,1
492.25904685285025,-6.6977368428224455,-102.46961145487934,1
511.9494087269643,-6.483712882347916,-103.14915412336904,1
532.4273850760429,-6.119502232168039,-103.63012075894429,1
553.7244804790846,-5.6873162131765405,-103.94135139999054,1
575.873459698248,-5.319115913534624,-104.15887723159159,1
598.908398086178,-4.999568356822041,-104.69387758101234,1
622.8647340096251,-4.684130749193213,-105.1196519569176,1
647.77932337001,-4.359841263908195,-105.6018073192536,1
673.6904963048105,-4.072396467074702,-105.97627966562138,1
700.638116157003,-3.8166065732524705,-106.74783695716059,1
728.6636408032831,-3.5680593077218523,-107.47389735794144,1
757.8101864354145,-3.309220310320568,-108.37051774370758,1
788.1225938928311,-2.9486036565944564,-108.77794705056229,1
819.6474976485443,-2.5590145971019025,-108.89701383165422,1
852.4333975544862,-2.3666587778893713,-110.0782412017681,1
886.5307334566656,-2.0580822676988237,-110.70081149907288,1
921.9919627949323,-1.6789736111353324,-110.92511024516826,1
958.8716413067297,-1.4747350865533255,-111.85666454211145,1
997.2265069589989,-1.1135629394762512,-112.34192417273059,1
1037.1155672373588,-0.8309409603594421,-112.94695622349052,1
1078.6001899268533,-0.6092600275871465,-114.07610146148787,1
1121.7441975239276,-0.26518840557024015,-114.53178036679007,1
1166.6139654248848,0.07943800333587696,-115.0987452385602,1
1213.2785240418802,0.36146112178130874,-115.96414362116514,1
1261.8096650035554,0.6496681820958091,-116.46087103972901,1
1312.2820516036977,0.9535897148589673,-117.46730531551182,1
1364.7733336678457,1.2002259118068193,-118.3718604187974,1
1419.3642670145596,1.443300111996602,-119.33447463157214,1
1476.138837695142,1.7251840722824205,-120.23664202635317,1
1535.1843912029478,2.0462478728223976,-120.82206326853293,1
1596.5917668510658,2.2262908070422722,-121.93856366143132,1
1660.4554375251084,2.56355871493376,-122.77146936485431,1
1726.8736550261128,2.8163676118072174,-123.59252985349734,1
1795.9486012271575,3.054797921142991,-124.74399084100554,1
1867.786545276244,3.341102239289187,-125.79188413469711,1
1942.4980070872937,3.6110061293066975,-126.80831986692374,1
2020.1979273707855,3.885946629749873,-127.77697549001343,1
2101.005844465617,4.135054476298555,-130.44389614646082,1
2185.046078244242,4.454684327248461,-129.61810991401256,1
2272.4479213740115,4.735366507013112,-130.544359371703,1
2363.345838228972,5.015079309869093,-133.68230391442899,1
2457.879671758131,5.2849360142468695,-132.24639344443165,1
2556.194858628456,5.559085187637906,-135.47431532036325,1
2658.4426529735942,5.836514533837796,-135.85853147797107,1
2764.780359092538,6.104753599422457,-137.1618983882518,1
2875.3715734562397,6.420324933161151,-139.1890719532132,1
2990.3864363944895,6.6826533526540475,-139.60620132551625,1
3110.001893850269,7.014598241440146,-142.00588623463545,1
3234.4019696042797,7.270621100720803,-142.51969598378156,1
3363.7780483884508,7.628459972668036,-144.66355871626504,1
3498.329170323989,7.926709716899731,-146.07719980474477,1
3638.2623371369486,8.242341139971147,-147.32823040139232,1
3783.7928306224267,8.668771297096962,-150.09059465425977,1
3935.144543847324,8.90979247127269,-151.15115404145152,1
4092.550325601217,9.36306444893111,-153.67469385904403,1
