Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.358507968510484,-92.44902700051676,2
41.6,-27.745997955137902,-93.56636885518361,2
43.264,-27.819615859636425,-91.87933437326035,2
44.99456000000001,-27.66073799501338,-91.42174078457317,2
46.79434240000001,-26.649564221302533,-90.88206536144875,2
48.66611609600002,-26.413341617301157,-92.84592035059148,2
50.61276073984002,-25.98570171167091,-93.55447997926771,2
52.637271169433625,-24.935329040011386,-92.16442865472037,2
54.742762016210975,-24.68853681017033,-93.47834157679644,2
56.93247249685942,-24.598449300962148,-91.3680710495541,2
59.2097713967338,-24.25243734255784,-93.24358026146729,2
61.57816225260316,-24.091149891498965,-93.46373136232886,2
64.04128874270728,-23.7908571589517,-95.06035661283862,2
66.60294029241557,-23.316290857352826,-94.05068060691025,2
69.26705790411219,-22.88937404209012,-93.30969417484926,2
72.03774022027669,-22.729744202131663,-93.4137175549964,2
74.91924982908776,-22.388355413803673,-93.62778528246491,1
77.91601982225127,-22.04129361747688,-95.01341743421433,1
81.03266061514132,-21.930420507120672,-94.63687043616608,1
84.27396703974698,-21.246864971194768,-94.59835561362915,1
87.64492572133686,-20.945524633301137,-94.47335318577905,1
91.15072275019034,-20.71732073440699,-95.24022989155344,1
94.79675166019796,-20.35015358200243,-95.15540377597519,1
98.58862172660588,-19.958296618770795,-95.40855612968284,1
102.53216659567012,-19.84102473364917,-95.10984709611817,1
106.63345325949693,-19.63162011539863,-95.47257124086613,1
110.89879138987682,-19.094150387700687,-95.60680823423826,1
115.3347430454719,-18.723292332152866,-96.19541871517494,1
119.94813276729077,-18.23203019624222,-96.52363221852718,1
124.74605807798241,-18.05307914715079,-96.30850897836024,1
129.7359004011017,-17.63554442073487,-96.49618120253714,1
134.9253364171458,-17.397879971173207,-96.70066818537518,1
140.32234987383163,-17.058258715043223,-97.31461878731147,1
145.9352438687849,-16.797031759693446,-97.41550665508483,1
151.7726536235363,-16.474615433959574,-97.61064262478322,1
157.84355976847777,-16.0033454425802,-98.58473751085698,1
164.1573021592169,-15.590887463248892,-98.80936200007815,1
170.7235942455856,-15.284624017973965,-99.43636223874455,1
177.55253801540903,-14.939566616416847,-99.79042437722524,1
184.6546395360254,-14.520445493026884,-100.2559334729626,1
192.04082511746643,-14.263759453172607,-100.39195874062301,1
199.72245812216508,-13.856250154135381,-100.77593972045338,1
207.71135644705168,-13.458761174566659,-101.2640257718538,1
216.01981070493375,-13.196487547262596,-102.21604149572106,1
224.6606031331311,-12.87510917841478,-102.80172001748099,1
233.64702725845635,-12.484351561429419,-103.39453137970229,1
242.9929083487946,-12.027656189313934,-103.75512397329942,1
252.7126246827464,-11.63404895622935,-104.33862477827773,1
262.8211296700563,-11.313983630028584,-104.6261868452352,1
273.33397485685856,-10.944399285203504,-105.77481872543656,1
284.2673338511329,-10.480537530418982,-106.28521662315751,1
295.6380272051782,-10.027717842036017,-106.66300214700183,1
307.4635482933854,-9.529417301640871,-107.06817059732771,1
319.7620902251208,-9.178179056127506,-107.96013883116854,1
332.55257383412567,-8.879313183315277,-109.38037556099258,1
345.8546767874907,-8.357623714679807,-110.15619062986696,1
359.6888638589903,-7.959891372919513,-111.34989551461011,1
374.0764184133499,-7.537732347161408,-112.31524594907559,1
389.0394751498839,-7.0436804621065745,-113.44155068252165,1
404.6010541558793,-6.685131548732361,-114.93231629128371,1
420.7850963221145,-6.263298137260589,-116.47657879597529,1
437.6165001749991,-5.710543942669353,-117.43653845057634,1
455.1211601819991,-5.221227641300098,-119.15676341002177,1
473.3260065892791,-4.815035797390536,-121.20341645887257,1
492.25904685285025,-4.341331707616876,-123.11157286133282,1
511.9494087269643,-3.8556579079537614,-125.64875153558307,1
532.4273850760429,-3.319603414511546,-127.72698475298628,1
553.7244804790846,-2.715183024919268,-130.1149236283186,1
575.873459698248,-2.1296693523105095,-132.5767779379749,1
598.908398086178,-1.6110514843903017,-135.8580470342234,1
622.8647340096251,-1.0386764078974047,-139.16917751664093,1
647.77932337001,-0.4554673661466975,-143.03754473381846,1
673.6904963048105,-0.06983286307964655,-148.12237093283306,1
700.638116157003,0.3253194865930943,-153.6850561098932,1
728.6636408032831,1.0745377915519194,-158.33301731069318,1
757.8101864354145,1.5117788305305677,-164.29702565198522,1
788.1225938928311,1.8808227579434724,-170.9436089478777,1
819.6474976485443,2.1158336439769174,-177.8949811946081,1
852.4333975544862,2.2791813433501478,175.06394693347414,1
886.5307334566656,2.2654389475722363,167.5735163577137,1
921.9919627949323,2.095812003412309,159.891130322138,1
958.8716413067297,1.7771827841661763,152.94083149483828,1
997.2265069589989,1.3643402070886674,145.77927115808302,1
1037.1155672373588,0.899072681565676,139.38476195377987,1
1078.6001899268533,0.3675148229307673,134.44418689694885,1
1121.7441975239276,-0.2178763942402035,128.76817204908767,1
1166.6139654248848,-0.7322609231680132,124.24681938418234,1
1213.2785240418802,-1.316188691627213,120.01963736320988,1
1261.8096650035554,-1.942314397517296,116.20334289848262,1
1312.2820516036977,-2.514263962919895,112.90830927262732,1
1364.7733336678457,-3.1219319304172353,109.80207735565287,1
1419.3642670145596,-3.7831215088257637,107.03443235254429,1
1476.138837695142,-4.343687373265969,104.46783394534026,1
1535.1843912029478,-4.876781908517187,101.68364531998893,1
1596.5917668510658,-5.517448174644184,99.6746526563604,1
1660.4554375251084,-5.9667905277229405,97.23625172355798,1
1726.8736550261128,-6.489182646121968,95.2423485576497,1
1795.9486012271575,-7.137019048373552,93.4840444699337,1
1867.786545276244,-7.546818747721917,91.90773761558897,1
1942.4980070872937,-8.073048453803565,90.08908015820771,1
2020.1979273707855,-8.626728046175275,87.88787973637127,1
2101.005844465617,-9.346029788286895,84.77936925333111,1
2185.046078244242,-9.484033180319814,84.8404294474621,1
2272.4479213740115,-10.036299177905947,83.50520149235149,1
2363.345838228972,-10.791488563968704,79.6547540712707,1
2457.879671758131,-11.041339534742727,80.72749261092666,1
2556.194858628456,-11.685552477557295,76.88380306172436,1
2658.4426529735942,-12.031823834688678,76.71314707712759,1
2764.780359092538,-12.51939209931501,75.32629761193569,1
2875.3715734562397,-13.08413283462068,73.35673781118103,1
2990.3864363944895,-13.497543850695541,72.81456615587294,1
3110.001893850269,-14.0613250734994,69.30978170303155,1
3234.4019696042797,-14.541383003730564,69.55821786293897,1
3363.7780483884508,-15.022415660848125,66.98290136599115,1
3498.329170323989,-15.551946179592981,65.75351127586447,1
3638.2623371369486,-16.02376539611662,64.74897397444022,1
