Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.066070860781746,-91.62713805004842,2
41.6,-28.73086796484226,-91.48541685630894,2
43.264,-28.571177941488347,-91.47521120882708,2
44.99456000000001,-28.194174699906053,-92.77439529061972,2
46.79434240000001,-27.833950083123508,-94.80053875463825,2
48.66611609600002,-27.3164146008054,-91.25237038279202,2
50.61276073984002,-26.821747972859253,-91.92017927726039,2
52.637271169433625,-26.82471307430729,-90.55353726200653,2
54.742762016210975,-26.228198754322406,-91.51137636603698,2
56.93247249685942,-26.00685592350553,-90.79625338994305,2
59.2097713967338,-25.791107335606416,-91.9376811348168,2
61.57816225260316,-25.36790254699199,-90.35223884918926,2
64.04128874270728,-25.034104351053074,-91.88503726573738,2
66.60294029241557,-24.79730425621665,-93.23338318843622,2
69.26705790411219,-24.222397753921793,-91.00477734256773,2
72.03774022027669,-23.807835184621467,-93.04999510738885,2
74.91924982908776,-23.36678841635821,-92.3353741896539,1
77.91601982225127,-23.287316733920946,-92.6855674261558,1
81.03266061514132,-23.01194922072309,-92.88447882173159,1
84.27396703974698,-22.364347622431605,-92.59408763105371,1
87.64492572133686,-22.152972528923623,-92.93706059538076,1
91.15072275019034,-21.91980481748622,-93.99426205398379,1
94.79675166019796,-21.539422188622442,-93.35142632342186,1
98.58862172660588,-21.326032210493054,-92.51852367348022,1
102.53216659567012,-20.81375926551774,-93.57148849896456,1
106.63345325949693,-20.548030312974888,-93.53765944953791,1
110.89879138987682,-20.275942242084497,-93.74549810801678,1
115.3347430454719,-19.77580454403629,-94.1666593202829,1
119.94813276729077,-19.434825115680322,-94.06414237473126,1
124.74605807798241,-19.13977186888774,-94.97340681389227,1
129.7359004011017,-18.724519277660068,-94.72640426829173,1
134.9253364171458,-18.443347199539627,-94.67203378057818,1
140.32234987383163,-18.10318739403918,-94.50285400226589,1
145.9352438687849,-17.86980467629114,-94.62286157286997,1
151.7726536235363,-17.63853363177232,-95.1380522772626,1
157.84355976847777,-17.185640459497932,-95.08432660724344,1
164.1573021592169,-16.7750635130971,-95.42832511182365,1
170.7235942455856,-16.535415361726653,-96.16200754368055,1
177.55253801540903,-16.20191919599991,-96.42275468736524,1
184.6546395360254,-15.693497923587396,-96.13760436360984,1
192.04082511746643,-15.509244253177993,-96.44723756035177,1
199.72245812216508,-15.153742844920501,-96.60167460895863,1
207.71135644705168,-14.832371546971833,-96.66795305038993,1
216.01981070493375,-14.552994148001469,-97.46937407898541,1
224.6606031331311,-14.249860909013918,-97.62435511541617,1
233.64702725845635,-13.915408669705517,-98.04891935620506,1
242.9929083487946,-13.570401971507556,-98.69976586038342,1
252.7126246827464,-13.256621687860262,-98.78592446041164,1
262.8211296700563,-12.874846473548208,-98.89710174693482,1
273.33397485685856,-12.62339343626688,-99.24751070550005,1
