Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.571664674183012,-92.49696909906692,2
41.6,-28.02072809900544,-89.27216739743574,2
43.264,-27.74230273183383,-91.11074019442373,2
44.99456000000001,-27.06491184616758,-92.04918319774968,2
46.79434240000001,-27.22281464446813,-90.60620039611206,2
48.66611609600002,-26.486259666345894,-92.18265782657244,2
50.61276073984002,-26.342177438827676,-91.44959098631068,2
52.637271169433625,-26.21685220799445,-91.14948106478464,2
54.742762016210975,-25.729786687373984,-92.4784243011981,2
56.93247249685942,-25.466376704453396,-92.25703982699358,2
59.2097713967338,-24.923941801976376,-90.80235935083603,2
61.57816225260316,-24.841602142108584,-93.96594456691714,2
64.04128874270728,-24.41582223406783,-90.8011272727494,1
66.60294029241557,-23.65766492491385,-90.04543000203427,2
69.26705790411219,-23.612859658752672,-91.32793712765172,1
72.03774022027669,-23.223111269139835,-92.13422577485592,2
74.91924982908776,-22.844613235119837,-92.1071058620692,2
77.91601982225127,-22.672238565531014,-91.29606023981398,1
81.03266061514132,-22.398626670686,-91.99574239188405,1
84.27396703974698,-21.99144054084227,-92.01568846927657,1
87.64492572133686,-21.638221894843227,-92.92256697224826,1
91.15072275019034,-21.271850955954807,-93.09308555515378,1
94.79675166019796,-20.93861322494409,-92.95712687417699,1
98.58862172660588,-20.661385497118832,-92.78263457026307,1
102.53216659567012,-20.351891633755045,-93.15028697725327,1
106.63345325949693,-19.97784116848307,-92.2182383588553,1
110.89879138987682,-19.520812084376317,-93.21340703926074,1
115.3347430454719,-19.187793708424163,-92.47113428743525,1
119.94813276729077,-18.85362696893803,-92.88684168014412,1
124.74605807798241,-18.471287448224622,-93.33510514143104,1
129.7359004011017,-18.137541650977525,-92.33451383137441,1
134.9253364171458,-17.723926853837632,-93.84874654044361,1
140.32234987383163,-17.537806278835152,-93.38497935707089,1
145.9352438687849,-17.25455917050078,-94.22467825603137,1
151.7726536235363,-17.049211481416542,-93.71154833664457,1
157.84355976847777,-16.553534884458763,-93.72339474674648,1
164.1573021592169,-16.14354036623919,-93.7147203446172,1
170.7235942455856,-15.97274796800644,-94.07572224691575,1
177.55253801540903,-15.510306556527139,-94.54115371402526,1
184.6546395360254,-15.210106438640137,-94.72678771496368,1
192.04082511746643,-14.872754360804956,-94.93121894157906,1
199.72245812216508,-14.555082109423838,-94.86396768105396,1
207.71135644705168,-14.132316237425355,-95.20376194520212,1
216.01981070493375,-13.943402543734608,-95.54575370643761,1
224.6606031331311,-13.636460795381105,-95.51815306984838,1
233.64702725845635,-13.369610525171552,-95.67599695438727,1
