Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.925098783020452,88.76739877977784,1
41.6,-22.75648753529084,88.99125289614292,1
43.264,-22.412556118780355,88.5593926793259,1
44.99456000000001,-22.00679335847903,88.15784108414337,1
46.79434240000001,-21.63457941856847,83.30902304291862,1
48.66611609600002,-21.207600088719307,87.67968738234953,1
50.61276073984002,-20.87530817907447,88.79781328272225,1
52.637271169433625,-20.495750142030904,88.02613705648389,1
54.742762016210975,-20.263533049730153,88.1536433020985,1
56.93247249685942,-19.755194587033074,88.37818339205842,1
59.2097713967338,-19.61885723906707,88.21720950646538,1
61.57816225260316,-19.199643087668726,90.56238203917246,1
64.04128874270728,-18.99687028796998,87.86366832143702,1
66.60294029241557,-18.515600922554857,84.46009229245507,1
69.26705790411219,-18.213701791921107,88.04966400878115,1
72.03774022027669,-17.716891088525163,87.90947488053916,1
74.91924982908776,-17.494089092267945,87.85977566750347,1
77.91601982225127,-17.27590557446267,87.49350358267458,1
81.03266061514132,-16.972661618130804,87.37739884284474,1
84.27396703974698,-16.507160000083562,88.11925376421509,1
87.64492572133686,-16.258719213474354,87.14879046697826,1
91.15072275019034,-15.894127501667983,87.37603681010906,1
94.79675166019796,-15.501314690791832,87.05730662211471,1
98.58862172660588,-15.22146126065718,87.25726732770815,1
102.53216659567012,-14.821589303021838,87.28705118580176,1
106.63345325949693,-14.57373791379716,86.85489959095813,1
110.89879138987682,-14.124999148521647,86.60276982886039,1
115.3347430454719,-13.763583790872982,86.88756794088022,1
119.94813276729077,-13.380325719820853,86.3489525798228,1
124.74605807798241,-13.024841470977897,86.42129066713665,1
129.7359004011017,-12.758191676065007,86.24161769842664,1
134.9253364171458,-12.3482465853546,86.27626948554143,1
140.32234987383163,-12.044078070444204,85.79141931057555,1
145.9352438687849,-11.796305798795524,85.77339494631217,1
151.7726536235363,-11.574361309064248,85.65119012598049,1
157.84355976847777,-11.069938476585829,85.19431595260146,1
164.1573021592169,-10.718003044824856,85.11877133130753,1
170.7235942455856,-10.469924248203966,85.00177852926811,1
177.55253801540903,-10.141537514478637,84.63429811652301,1
184.6546395360254,-9.763885190861124,84.4230556542584,1
192.04082511746643,-9.496143660492104,84.1174327244417,1
199.72245812216508,-9.063760144996685,84.15169009732948,1
207.71135644705168,-8.73455931865939,83.78364687559818,1
216.01981070493375,-8.52772339232154,83.61248025437078,1
224.6606031331311,-8.208657146329562,83.45049672532205,1
233.64702725845635,-7.884072288515256,82.93600719448784,1
242.9929083487946,-7.4970435276363645,82.56146927325688,1
252.7126246827464,-7.094646438904696,82.36126411572357,1
262.8211296700563,-6.827063546167926,81.98752494282755,1
273.33397485685856,-6.530378388748129,81.95608518628315,1
284.2673338511329,-6.163728023372241,81.42086205126748,1
295.6380272051782,-5.767879430680412,81.30349005357665,1
307.4635482933854,-5.339626170548326,81.200389174561,1
319.7620902251208,-5.063386773011375,80.66198060183841,1
332.55257383412567,-4.861313329909782,80.19757574609426,1
345.8546767874907,-4.389173269958145,80.02035185862644,1
359.6888638589903,-4.0921420180172,79.77245575435322,1
374.0764184133499,-3.856178479565884,79.02442623075669,1
389.0394751498839,-3.3761171337435094,79.12683235264387,1
404.6010541558793,-3.1311045996109685,78.35046562792535,1
420.7850963221145,-2.847647873259917,78.06504085030583,1
437.6165001749991,-2.459048529449364,77.60423801977646,1
455.1211601819991,-2.1269843014382066,76.93956238406824,1
473.3260065892791,-1.8690822157134712,76.5709405671719,1
