Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.487885489128953,88.33799727567114,2
41.6,-28.446729595824266,88.05634156708169,2
43.264,-28.087707280086857,87.1312956242539,2
44.99456000000001,-27.614534602495784,86.22586531733043,2
46.79434240000001,-27.3737013949096,86.28195142838291,2
48.66611609600002,-26.96211465015006,86.2738167178889,2
50.61276073984002,-26.42112770729849,85.58512605742715,2
52.637271169433625,-26.275128452580503,87.11552793483582,2
54.742762016210975,-26.051964300276673,85.2132420506685,2
56.93247249685942,-25.59550544146102,86.6201569982735,2
59.2097713967338,-25.307032563529756,86.87159063745129,2
61.57816225260316,-24.97660606434993,85.91673845339744,2
64.04128874270728,-24.577953470193396,85.97040656723132,2
66.60294029241557,-24.25055719794687,84.59668680411554,2
69.26705790411219,-23.809561587600847,84.70363972163926,2
72.03774022027669,-23.36774793087717,84.67668010657599,2
74.91924982908776,-23.3124134597473,84.21901884045903,2
77.91601982225127,-22.86613634385487,85.2554302776249,1
81.03266061514132,-22.58812137972179,84.47984081105156,1
84.27396703974698,-21.97133158441282,84.52566808266135,1
87.64492572133686,-21.92755209857224,85.04320215797334,1
91.15072275019034,-21.408671523276876,83.70787456150343,1
94.79675166019796,-21.149799010023653,83.47933711666352,1
98.58862172660588,-20.910717105611425,83.34441526864705,1
102.53216659567012,-20.48680350326282,82.73893654420509,1
106.63345325949693,-20.138035302215325,82.84148910699766,1
110.89879138987682,-19.724319966340783,82.41574544047297,1
115.3347430454719,-19.35445126668921,82.84131635944442,1
119.94813276729077,-19.018288993836908,81.71034486749333,1
124.74605807798241,-18.522713408393493,81.851745576942,1
129.7359004011017,-18.255475063632332,81.06340238519402,1
134.9253364171458,-17.96296599455766,80.5277610908064,1
140.32234987383163,-17.73732383781311,80.8070991179941,1
145.9352438687849,-17.42083546013353,79.8528409990847,1
151.7726536235363,-17.161866052871805,79.22350692060859,1
157.84355976847777,-16.64032709454466,79.25420821442066,1
164.1573021592169,-16.198739854720117,79.1004954887286,1
170.7235942455856,-15.676930245013775,79.1227984186917,1
177.55253801540903,-15.331046807077822,78.30845976899843,1
184.6546395360254,-14.937820797830081,78.19471412099409,1
192.04082511746643,-14.748374943483546,77.52021424883806,1
199.72245812216508,-14.314536719327748,76.87871660456565,1
207.71135644705168,-13.915737615530555,76.99485625222938,1
