Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.00346608489706,88.42026491386574,2
41.6,-28.33734078216375,88.07131760155646,2
43.264,-28.313840572905082,87.9806341518541,2
44.99456000000001,-27.893038535599352,88.89639238381994,2
46.79434240000001,-27.51979466692143,85.48528132917812,2
48.66611609600002,-27.053927666257813,87.2452272554624,2
50.61276073984002,-26.598395058424746,87.12013981352527,2
52.637271169433625,-26.462945187247158,86.4317301291876,2
54.742762016210975,-26.01389125814295,88.69426358360194,2
56.93247249685942,-25.944009075276885,85.96577581457757,2
59.2097713967338,-25.543275587354284,85.57389425676497,2
61.57816225260316,-24.941298096674544,86.46582681933984,2
64.04128874270728,-24.80387662998085,87.31142964285146,2
66.60294029241557,-24.60637639870003,87.0708209434857,2
69.26705790411219,-24.182423358400996,86.78438337398647,2
72.03774022027669,-23.86707748715551,87.08578336230266,1
74.91924982908776,-23.514007356429932,85.94383786282827,1
77.91601982225127,-23.269522028074952,84.44165775548149,2
81.03266061514132,-22.865726418271077,84.57262830177339,1
84.27396703974698,-22.38474419658457,85.30788202909994,1
87.64492572133686,-22.18745670248072,84.84310982901681,1
91.15072275019034,-21.907920323219848,84.86137614691452,1
94.79675166019796,-21.424342410170542,84.74992535559896,1
98.58862172660588,-21.3622921754054,83.91563538209195,1
102.53216659567012,-20.882239195353296,85.2764375592468,1
106.63345325949693,-20.544011716658922,84.01278654658748,1
110.89879138987682,-20.179312784506994,84.67684490664317,1
115.3347430454719,-19.76429348163837,83.6217323685218,1
119.94813276729077,-19.39969127652953,83.75464466750175,1
124.74605807798241,-19.181363403507508,83.39455156318257,1
129.7359004011017,-18.748147379797675,82.80844342681888,1
134.9253364171458,-18.381882870086375,83.26312953471665,1
140.32234987383163,-18.122318997079972,81.65480215709673,1
145.9352438687849,-17.92539127047151,82.21150859308523,1
151.7726536235363,-17.639798526046857,81.63092975738884,1
157.84355976847777,-17.242155216714174,81.54628029777732,1
164.1573021592169,-16.785935809950082,81.8680828215721,1
170.7235942455856,-16.607018029291638,80.86371096409124,1
177.55253801540903,-16.201471957772238,80.49797737470654,1
184.6546395360254,-15.909209143791939,80.6197614092174,1
192.04082511746643,-15.588508660804203,80.19265548901615,1
199.72245812216508,-15.321844883304374,79.21269611774375,1
207.71135644705168,-14.965178503047822,79.50826058179733,1
216.01981070493375,-14.751434122690961,79.11395634993569,1
224.6606031331311,-14.487570379881173,78.76140403892781,1
233.64702725845635,-14.111419955890446,78.25328443274721,1
242.9929083487946,-13.770113586916118,77.60745974538213,1
252.7126246827464,-13.418568202811244,77.50044235441626,1
262.8211296700563,-13.021750281854304,77.05486412345039,1
273.33397485685856,-12.813890159387343,76.95726328849358,1
284.2673338511329,-12.494984300331817,76.33969494064843,1
295.6380272051782,-12.18204443973267,76.10124435818125,1
307.4635482933854,-11.734366822747907,75.75507518114284,1
319.7620902251208,-11.443390296512284,75.21441174288218,1
332.55257383412567,-11.231492200097582,74.75933342404308,1
345.8546767874907,-10.801281652125232,74.55330194649537,1
359.6888638589903,-10.545410031946101,73.95963182866049,1
374.0764184133499,-10.300660896769294,73.71563904836114,1
