Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.9626093124951,88.32505875112425,2
41.6,-28.550201018415574,87.5142768103444,2
43.264,-28.021542223696677,87.66862751899046,2
44.99456000000001,-27.89849779123049,87.29138368093345,2
46.79434240000001,-27.59823740018563,89.68794532754981,2
48.66611609600002,-27.511566958796625,86.84200542676933,2
50.61276073984002,-26.85995986175333,87.38302700107181,2
52.637271169433625,-26.28472758727407,87.18405818904193,2
54.742762016210975,-26.145879044117972,87.62321812133901,2
56.93247249685942,-25.85743940014698,88.01949359974418,2
59.2097713967338,-25.60756721599426,87.89743530378007,2
61.57816225260316,-25.07923445624437,86.87208980416595,2
64.04128874270728,-24.89128807040029,86.75541847019224,2
66.60294029241557,-24.42777678228712,88.15012269539001,2
69.26705790411219,-24.17009168619905,86.19501216837902,2
72.03774022027669,-23.68143329461334,86.65475475513983,2
74.91924982908776,-23.390352081977287,87.51548112147006,2
77.91601982225127,-23.09649913666576,86.36466261381112,1
81.03266061514132,-22.82674538834827,85.81244339857932,1
84.27396703974698,-22.477007303070557,88.08740798509507,1
87.64492572133686,-21.963275873681255,85.96946513799654,1
91.15072275019034,-21.759845274058147,86.86550846763068,1
94.79675166019796,-21.44634080919563,86.85104656833863,1
98.58862172660588,-21.048285039155065,86.28956549585133,1
102.53216659567012,-20.74616044818315,86.1133118340356,1
106.63345325949693,-20.424662349912065,86.2021120070622,1
110.89879138987682,-20.01887380854109,85.83590426898911,1
115.3347430454719,-19.51894147434878,85.78891908209113,1
119.94813276729077,-19.10277180578212,85.42286676821055,1
124.74605807798241,-18.921959475390057,84.51880766147042,1
129.7359004011017,-18.553141224878466,84.6871406705105,1
134.9253364171458,-18.354571202095048,84.1539779246499,1
140.32234987383163,-17.772339014431672,84.00861815510034,1
145.9352438687849,-17.63196270992592,83.9179974710651,1
151.7726536235363,-17.329171927416724,83.30542653981333,1
157.84355976847777,-16.849649580376582,83.11511080564036,1
164.1573021592169,-16.4302371571636,83.33774826158265,1
170.7235942455856,-16.21166845837212,83.42377364300259,1
177.55253801540903,-15.850200733233306,82.71294281843016,1
184.6546395360254,-15.416842267058042,82.53097092892432,1
192.04082511746643,-15.127442807122545,81.91381596853235,1
199.72245812216508,-14.727003468708267,82.01709161664327,1
207.71135644705168,-14.360362431456863,81.23728219893322,1
216.01981070493375,-14.201774538551588,80.69755124709687,1
224.6606031331311,-13.819328596159885,80.13863927331923,1
233.64702725845635,-13.4350481750422,80.03496045392905,1
242.9929083487946,-13.063405917089549,79.68265852044338,1
252.7126246827464,-12.709995335782809,79.34028499044355,1
262.8211296700563,-12.376368791181305,79.28536466151424,1
273.33397485685856,-11.956670846308308,78.48555443839896,1
284.2673338511329,-11.5587257430139,77.68553199492409,1
295.6380272051782,-11.260826420808641,77.6821913601046,1
307.4635482933854,-10.779980363656763,77.2098376733091,1
319.7620902251208,-10.387445528295693,76.6789607534393,1
332.55257383412567,-10.10785114382507,75.83183845431336,1
345.8546767874907,-9.641306148805501,75.61537459471225,1
359.6888638589903,-9.225560696650458,75.01133791749446,1
374.0764184133499,-8.949913584428042,74.16348568551818,1
389.0394751498839,-8.463455163443136,73.34713447193056,1
404.6010541558793,-8.117377421720962,72.73791878182178,1
420.7850963221145,-7.734111662470956,71.93646801877745,1
437.6165001749991,-7.187619128939736,71.29998307052107,1
455.1211601819991,-6.8156090724813065,70.57463593148299,1
473.3260065892791,-6.434732898515873,69.44769979586266,1
492.25904685285025,-6.022530897055772,68.44539421020212,1
511.9494087269643,-5.625552472252742,67.10653144587626,1
532.4273850760429,-5.155290870098484,66.32635827042999,1
553.7244804790846,-4.591276612280473,65.59753269099102,1
575.873459698248,-4.079744352904331,64.47018633162065,1
598.908398086178,-3.59099843230916,63.147801064529524,1
622.8647340096251,-3.079562538503186,61.77614561619271,1
647.77932337001,-2.547736439036512,60.25086416586795,1
673.6904963048105,-2.0332962030457975,58.68079645657946,1
700.638116157003,-1.5093654874186382,56.5489483970407,1
728.6636408032831,-0.9705712168924283,54.34196293622249,1
757.8101864354145,-0.39284524008155,51.749531949367835,1
788.1225938928311,0.28076312174934204,49.484354237555635,1
819.6474976485443,1.015385492622299,46.94346255606433,1
852.4333975544862,1.650721903973476,43.50147249239585,1
886.5307334566656,2.3357803703371323,39.6884991634767,1
921.9919627949323,3.0961935574644275,35.677677833119716,1
958.8716413067297,3.8362275729674225,30.31609338348609,1
997.2265069589989,4.628611573167644,24.545547242939314,1
1037.1155672373588,5.3402567632196885,17.748518941502887,1
1078.6001899268533,5.997157860728256,9.410756341414633,1
1121.7441975239276,6.537731460547321,0.1640209090405591,1
1166.6139654248848,6.876998334152371,-10.072291130428695,1
1213.2785240418802,6.956571143485283,-21.02468096358092,1
1261.8096650035554,6.771550019707417,-31.958386631166178,1
1312.2820516036977,6.3283905846393536,-42.012405156300346,1
1364.7733336678457,5.6972530088515905,-51.33480693106853,1
1419.3642670145596,4.902465845968943,-59.222985917586726,1
1476.138837695142,4.033987509410694,-66.14651376116979,1
1535.1843912029478,3.2428632954881396,-72.32197595585532,1
1596.5917668510658,2.3266991088315363,-77.29550794389928,1
1660.4554375251084,1.599714401260284,-81.7967555110148,1
1726.8736550261128,0.7523653133695675,-85.74640076184909,1
1795.9486012271575,-0.06043003869117779,-89.15736606776164,1
1867.786545276244,-0.8137173588595237,-92.30421069141245,1
1942.4980070872937,-1.5489127571344983,-95.22371784390185,1
2020.1979273707855,-2.25071395621305,-98.05118780529489,1
2101.005844465617,-3.117745459080114,-102.03352508543833,1
2185.046078244242,-3.565897943217874,-102.44855752625477,1
2272.4479213740115,-4.165121024714405,-104.46472346620355,1
2363.345838228972,-4.986907469576373,-108.83629559913308,1
2457.879671758131,-5.379817368434432,-108.03235193017372,1
2556.194858628456,-6.190705445044285,-112.47663441007157,1
2658.4426529735942,-6.728665454097323,-112.90988255195563,1
2764.780359092538,-7.31902144974205,-114.70391772999508,1
2875.3715734562397,-7.92918315998194,-116.87028380423699,1
2990.3864363944895,-8.498619010854592,-117.13568811441618,1
3110.001893850269,-9.098919606021937,-120.69888649611568,1
3234.4019696042797,-9.738823930598393,-121.33109454009474,1
3363.7780483884508,-10.280495262662223,-123.97791670786077,1
3498.329170323989,-10.843129500159408,-125.18147085580478,1
3638.2623371369486,-11.45332067741351,-126.91580049539739,1
3783.7928306224267,-11.994211565247209,-129.7463983033158,1
3935.144543847324,-12.62394614669801,-129.4888878076061,1
4092.550325601217,-13.1939928465186,-132.01991960488886,1
4256.252338625266,-13.719914347972255,-134.11090318642533,1
4426.502432170277,-14.420808900278523,-134.54408662254895,1
4603.562529457088,-14.95228007458437,-136.43362195632355,1
4787.705030635372,-15.493083736148401,-138.582109806597,1
4979.213231860787,-16.092665612093597,-139.92062531515677,1
5178.381761135219,-16.67385143900714,-142.0995655530648,1
5385.517031580628,-17.445510063900326,-141.6966467772562,1
5600.937712843854,-17.901003932184494,-144.67677170168872,1
5824.975221357608,-18.588480833639494,-145.32571603325522,1
6057.974230211912,-19.120850002952107,-147.37297960071368,1
