Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.551054623313508,89.42630678723442,1
41.6,-28.238792774506162,91.5393667982228,2
43.264,-27.94865221602044,88.28938430582416,1
44.99456000000001,-27.79811469457443,88.15899756451608,2
46.79434240000001,-27.055922595857496,91.69486443254499,1
48.66611609600002,-26.764802968019413,88.43366214750563,2
50.61276073984002,-26.252363997469335,89.1537219099929,1
52.637271169433625,-25.945769122044787,88.08584408259895,2
54.742762016210975,-26.161056612952123,88.66346987229603,2
56.93247249685942,-25.457709842062233,88.15260828379309,2
59.2097713967338,-24.897077698425978,87.33695635533272,2
61.57816225260316,-24.516920689279484,89.03095970212048,2
64.04128874270728,-24.198075653094214,88.97604683000048,2
66.60294029241557,-23.958700919797604,87.1774116183112,1
69.26705790411219,-23.319600039764463,87.85206224618142,2
72.03774022027669,-23.03377737263685,88.5599609223026,1
74.91924982908776,-22.74211744742585,88.37441903866802,1
77.91601982225127,-22.530427659096706,88.0818441081133,1
81.03266061514132,-22.338156632233147,87.93012108109455,1
84.27396703974698,-22.743858951896243,88.63748708253897,1
87.64492572133686,-21.56502361240209,87.65982884769933,1
91.15072275019034,-21.185040953609057,87.86447457861654,1
94.79675166019796,-20.68731934723702,87.34432882514935,1
98.58862172660588,-20.482895489879525,87.40749748210071,1
102.53216659567012,-20.227398642822152,87.33959680931758,1
106.63345325949693,-19.87747825885625,87.59531148226634,1
110.89879138987682,-19.49187431907974,86.74816573504663,1
115.3347430454719,-19.123351098501526,87.06207300080592,1
119.94813276729077,-18.79477587513653,87.29926141924103,1
124.74605807798241,-18.513628874470907,87.30272793550591,1
129.7359004011017,-18.156792545241533,86.75392307586218,1
134.9253364171458,-17.845113866835597,86.95208535342408,1
140.32234987383163,-17.518816249657412,86.40604226796093,1
145.9352438687849,-17.304963738489345,86.24036515166684,1
151.7726536235363,-17.12660027534797,86.0738730420662,1
157.84355976847777,-16.561475327048296,85.58629372063315,1
164.1573021592169,-16.13668429525227,85.98550294451888,1
170.7235942455856,-15.952140917959015,85.64172730767793,1
177.55253801540903,-15.5767709856647,85.29173756067868,1
184.6546395360254,-15.234779601095976,85.07482300392519,1
192.04082511746643,-14.95065287365076,84.86151734632082,1
199.72245812216508,-14.521418735438454,84.83517466137896,1
207.71135644705168,-14.224705754754108,84.98339723539844,1
216.01981070493375,-13.993113880188213,84.81313327544407,1
224.6606031331311,-13.637387278553957,84.16461371164557,1
233.64702725845635,-13.364934695890096,84.17327261212941,1
242.9929083487946,-12.93328867146345,83.67281433870907,1
252.7126246827464,-12.583841886179469,83.64700625971531,1
262.8211296700563,-12.298782990004748,83.6846058007319,1
273.33397485685856,-12.016566977331824,83.31243009349112,1
284.2673338511329,-11.703915334249388,83.1011901054217,1
295.6380272051782,-11.255999943272089,82.63233546965823,1
307.4635482933854,-10.799925548251386,82.43044260834199,1
319.7620902251208,-10.521888569966055,82.20327152864006,1
332.55257383412567,-10.301413093384527,82.25674370106861,1
345.8546767874907,-9.902590851950892,81.92198773377345,1
359.6888638589903,-9.569381169991825,81.38783797284407,1
374.0764184133499,-9.25740465961532,81.04124883865583,1
389.0394751498839,-8.624187533008293,82.02768323927728,1
404.6010541558793,-8.403086311886627,81.13423665287343,1
420.7850963221145,-8.152983447120747,80.7422419442486,1
437.6165001749991,-7.687658502564195,80.55025826054084,1
455.1211601819991,-7.233393730543232,80.7627796472633,1
473.3260065892791,-7.411869666228192,78.38748749461845,1
492.25904685285025,-7.290887097221502,77.17096002419683,1
511.9494087269643,-6.7970604225835265,77.90341621297813,1
532.4273850760429,-6.441476219953135,77.49560450727958,1
553.7244804790846,-6.061481315437344,77.25290695865658,1
575.873459698248,-6.019183321847972,75.38909616000461,1
598.908398086178,-5.749189025822989,74.68722170821874,1
622.8647340096251,-5.163899958731488,75.47261042066202,1
647.77932337001,-4.812318977029238,75.24902209496896,1
673.6904963048105,-4.512171046046085,74.40597934186934,1
700.638116157003,-4.268782101830061,73.82499901687629,1
728.6636408032831,-4.024717683591033,73.22477554563837,1
757.8101864354145,-4.018140747154844,70.97028595217324,1
788.1225938928311,-3.6890769548678097,70.17007306532125,1
819.6474976485443,-3.2976291492975713,69.7062917012397,1
852.4333975544862,-3.095140058249587,68.82235170572736,1
886.5307334566656,-2.797911051330463,68.23620940795257,1
921.9919627949323,-2.4177718900716347,67.85289421128208,1
958.8716413067297,-2.2311264749787405,66.85752091530107,1
997.2265069589989,-1.871391078162273,66.26073948578251,1
1037.1155672373588,-1.5825943948526435,65.35177215774041,1
1078.6001899268533,-1.3586632197585704,64.44887577828057,1
1121.7441975239276,-0.9958037860339763,63.80198130532392,1
1166.6139654248848,-0.679271162919136,63.09767860709621,1
1213.2785240418802,-0.4110007649006278,62.326248760327985,1
1261.8096650035554,-0.1238902876441483,61.49215823248005,1
1312.2820516036977,0.1685485050416294,60.64357356430742,1
1364.7733336678457,0.4610947302558421,59.788670290019695,1
1419.3642670145596,0.6777334376399906,58.6064373569903,1
1476.138837695142,0.9315242830032843,57.64867342261171,1
1535.1843912029478,1.2753376087344903,56.80681870805205,1
1596.5917668510658,1.482749607466375,55.639671740370524,1
1660.4554375251084,1.7844216613627937,54.861158765239,1
1726.8736550261128,2.021429294747522,53.692480477491145,1
1795.9486012271575,2.2739702014844076,52.69514046346145,1
1867.786545276244,2.528893961593516,51.56441140843495,1
1942.4980070872937,2.7934485563504796,50.412275887764615,1
2020.1979273707855,3.08737892344008,49.34701757117185,1
2101.005844465617,3.332254763212195,46.56779312860772,1
2185.046078244242,3.61878679957149,47.36954423483587,1
2272.4479213740115,3.8933031596753116,46.29238306403519,1
2363.345838228972,4.170715501337961,43.26066127188278,1
2457.879671758131,4.390271924067173,44.36337928274874,1
2556.194858628456,4.676575932166083,41.27647968586437,1
2658.4426529735942,4.935420031722042,40.87789265892104,1
2764.780359092538,5.173827150901806,39.544860611759944,1
2875.3715734562397,5.485943880848264,37.534539225069786,1
2990.3864363944895,5.70430784448052,37.14102605813897,1
3110.001893850269,6.019259043104149,34.65270595133734,1
3234.4019696042797,6.242626000901707,34.19670714371708,1
3363.7780483884508,6.564447348083594,32.12211519620108,1
3498.329170323989,6.855990376869511,30.73430821176875,1
3638.2623371369486,7.110286646282098,29.518931579611802,1
3783.7928306224267,7.4805653954019515,27.36236081513139,1
3935.144543847324,7.709950029608859,26.337963795513545,1
4092.550325601217,8.095614296782793,24.314378082436065,1
4256.252338625266,8.46046752676153,22.412196490711786,1
4426.502432170277,8.756100176453959,20.988373881450244,1
4603.562529457088,9.15256221062362,18.881173116686,1
4787.705030635372,9.604970312184664,16.63856252584181,1
4979.213231860787,10.03599200665208,14.434811991691248,1
5178.381761135219,10.498968476057875,11.866265082118304,1
5385.517031580628,10.958490529899638,9.72330641722374,1
5600.937712843854,11.554421616344953,6.531287304594272,1
5824.975221357608,12.160436507378261,3.3582579914736854,1
6057.974230211912,12.833034029303615,-0.5358792585564487,1
6300.293199420389,13.573047698536172,-5.153881741640447,1
6552.304927397205,14.357271192873926,-10.523989877710996,1
6814.397124493093,15.262393688464252,-17.373392426765292,1
7086.973009472817,16.019385406508103,-25.822895775484056,1
