Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.549069791370993,88.83345449758347,2
41.6,-28.318551022720435,86.21570379180162,2
43.264,-27.799170160719566,86.86526257393129,2
44.99456000000001,-27.40379691825834,87.78907080388265,2
46.79434240000001,-27.09631042167809,88.0576490580994,2
48.66611609600002,-26.679982189535504,87.4703992385655,2
50.61276073984002,-26.47450049002622,87.60776647579837,2
52.637271169433625,-25.871829376219694,87.82554667903457,2
54.742762016210975,-25.487321634595745,88.27434731465243,2
56.93247249685942,-25.09255352600669,87.40151872038058,2
59.2097713967338,-25.190132483640216,86.49613995132935,2
61.57816225260316,-24.400649709211518,89.41014366973474,2
64.04128874270728,-24.476612150992313,87.60467011440562,1
66.60294029241557,-24.021659319226995,86.6709911001311,2
69.26705790411219,-23.605281165354757,86.56313435833174,2
72.03774022027669,-23.34484551859603,86.5390988147899,2
74.91924982908776,-23.011427384699243,86.27215042610915,1
77.91601982225127,-22.798079779453822,86.1415807232411,1
81.03266061514132,-22.26685181078016,86.6916573688768,1
84.27396703974698,-21.721377413687854,85.56735270033386,1
87.64492572133686,-21.661934049372427,85.30087702534185,1
91.15072275019034,-21.32968210960949,85.11663513100848,1
94.79675166019796,-20.817737383891462,85.92712246680753,1
98.58862172660588,-20.776886115082522,84.9313317103166,1
102.53216659567012,-20.31088142085597,84.88155126388423,1
106.63345325949693,-19.959734100739226,84.58613503123655,1
110.89879138987682,-19.54947039233926,84.50703285556189,1
115.3347430454719,-19.15301520753753,84.27042897362332,1
119.94813276729077,-18.77275098261449,83.894521400174,1
124.74605807798241,-18.389009379479788,83.52572818115357,1
129.7359004011017,-18.11812192166932,83.77360916355845,1
134.9253364171458,-17.73314677544331,83.8935721061909,1
140.32234987383163,-17.31764349636124,83.30272032389378,1
145.9352438687849,-17.07552568156851,82.7600662319997,1
151.7726536235363,-16.83524232777742,82.10492159683292,1
157.84355976847777,-16.352203625157884,82.18298488980061,1
164.1573021592169,-15.90638991496306,82.50832496920657,1
170.7235942455856,-15.735401095882194,81.46988619431228,1
177.55253801540903,-15.36357688532823,81.16358238476404,1
184.6546395360254,-14.825254457910376,80.90662663765721,1
192.04082511746643,-14.65539410859,80.66970289065588,1
199.72245812216508,-14.147177635042516,80.13147709796951,1
207.71135644705168,-13.782190915902662,79.90705765925256,1
216.01981070493375,-13.533478638446319,78.85721987396684,1
224.6606031331311,-13.225849346405894,78.45568728115396,1
233.64702725845635,-12.803552643794593,77.67679525982358,1
242.9929083487946,-12.397931868234226,77.57428141956507,1
252.7126246827464,-11.97734725715809,76.75221123597096,1
262.8211296700563,-11.615507916669975,76.05720224835474,1
273.33397485685856,-11.271052921815539,75.6064236472242,1
284.2673338511329,-10.880094617561175,75.24298856071655,1
295.6380272051782,-10.374489411994297,74.92249610317906,1
307.4635482933854,-9.94193766659749,74.34993176803283,1
319.7620902251208,-9.522883902346123,73.13463831506274,1
332.55257383412567,-9.251410727879975,72.4926468071531,1
345.8546767874907,-8.685538547073033,71.84562580073822,1
359.6888638589903,-8.248319522105682,70.83150124034186,1
374.0764184133499,-7.874835813682006,69.78866837797106,1
389.0394751498839,-7.36793486463129,68.99142438004523,1
404.6010541558793,-6.954113750352925,67.76728731410417,1
420.7850963221145,-6.508033280812049,66.58588446026734,1
437.6165001749991,-5.967926256844523,65.60091685689683,1
455.1211601819991,-5.47810675100858,64.31075331906598,1
473.3260065892791,-5.005338558703356,62.57172690613898,1
492.25904685285025,-4.486809889501635,61.01764127013986,1
511.9494087269643,-3.9972144884344214,58.62020962051898,1
532.4273850760429,-3.4048318844800565,57.22399052223325,1
553.7244804790846,-2.775247141989702,55.480067550827286,1
575.873459698248,-2.1601087778005006,53.26250409901607,1
598.908398086178,-1.5122813510111806,50.689786843708966,1
622.8647340096251,-0.8857391611175817,47.78035163134484,1
647.77932337001,-0.23057023937532198,44.35848754916303,1
673.6904963048105,0.44810117614590883,40.38426644241821,1
700.638116157003,1.1482208665548586,35.83234800662028,1
728.6636408032831,1.8059667574537916,30.516200418249838,1
757.8101864354145,2.4496375546327727,24.364927297543375,1
788.1225938928311,3.0736645817858776,17.841268598300033,1
819.6474976485443,3.6264713337301444,10.180507762752228,1
852.4333975544862,4.0520874400218485,1.4047928081330099,1
886.5307334566656,4.279553290625361,-7.745722943400495,1
921.9919627949323,4.315002326731801,-17.44053634481827,1
958.8716413067297,4.099969299486293,-26.72935966558518,1
997.2265069589989,3.721913341895183,-36.0210218723241,1
1037.1155672373588,3.205712414154954,-44.27793110597642,1
1078.6001899268533,2.5082516568644424,-51.40066645254656,1
1121.7441975239276,1.853265562870365,-58.0191122879656,1
1166.6139654248848,1.1773776873134232,-63.72958881017476,1
1213.2785240418802,0.4405749169658759,-68.61753820972571,1
1261.8096650035554,-0.29953659212654427,-73.0769323527435,1
1312.2820516036977,-1.0305648549845867,-76.91777502301738,1
1364.7733336678457,-1.7432688051724796,-80.37203138219274,1
1419.3642670145596,-2.4688212599329864,-83.40229405634429,1
1476.138837695142,-3.1523677437984587,-86.18941143127563,1
1535.1843912029478,-3.696030104550421,-88.90452993311233,1
1596.5917668510658,-4.420829694953586,-91.51441982207496,1
1660.4554375251084,-4.928661429803106,-93.7602457960013,1
1726.8736550261128,-5.560554386888648,-95.74879893991698,1
1795.9486012271575,-6.1726068437308115,-97.59082775050126,1
1867.786545276244,-6.735880612815176,-99.92356069316594,1
1942.4980070872937,-7.272116970352935,-101.80473864455763,1
2020.1979273707855,-7.816654029264101,-103.78920660082687,1
2101.005844465617,-8.50360629549186,-107.47909471708925,1
2185.046078244242,-8.82742605644363,-106.88889133106257,1
2272.4479213740115,-9.327179706791183,-108.45612781170146,1
2363.345838228972,-9.992478441010428,-112.30212461470856,1
2457.879671758131,-10.310632477446685,-111.09860436967861,1
2556.194858628456,-10.961497301822329,-115.28205327778772,1
2658.4426529735942,-11.43126777617674,-115.66959553505424,1
2764.780359092538,-11.880025367580952,-117.45743667961491,1
2875.3715734562397,-12.361662753926993,-120.29592451007684,1
2990.3864363944895,-12.84040785181652,-120.08389563004351,1
3110.001893850269,-13.43845847860219,-123.43539758443042,1
3234.4019696042797,-13.8419071693152,-124.0007283178617,1
3363.7780483884508,-14.290494269407965,-126.46617425762267,1
3498.329170323989,-14.787512201980798,-128.19809273563743,1
3638.2623371369486,-15.335711652663736,-129.16725421596342,1
3783.7928306224267,-15.761724252155988,-132.03383154569988,1
3935.144543847324,-16.221139290396156,-132.314731128235,1
4092.550325601217,-16.710129889730055,-135.42716067577857,1
4256.252338625266,-17.144013245656605,-137.34433284336006,1
4426.502432170277,-17.695877710530777,-138.7983544301885,1
4603.562529457088,-18.109711745503756,-140.8912563750454,1
4787.705030635372,-18.38556629357766,-143.63055545695156,1
4979.213231860787,-18.87932800930771,-145.9120385371476,1
5178.381761135219,-19.243554200787926,-149.45515230294106,1
5385.517031580628,-19.735478048021243,-151.0073734158896,1
5600.937712843854,-20.08073462769397,-156.18418497563027,1
5824.975221357608,-20.419495416573117,-159.55219449197762,1
6057.974230211912,-20.828076182067953,-165.4610716586654,1
6300.293199420389,-21.436948405031195,-172.5219485624128,1
6552.304927397205,-22.19813150222685,179.95524178944578,1
6814.397124493093,-23.25174739761317,171.05107913327078,1
7086.973009472817,-24.95973402224212,163.3908029340237,1
7370.45192985173,-26.821009209002003,158.6940702728861,1
7665.2700070457995,-29.32689485522763,158.27807410032622,2
7971.880807327631,-30.895516127570996,159.53284549963018,2
8290.756039620737,-32.20913962867499,162.78828190577048,2
8622.386281205567,-33.097551723213,167.12976319515184,2
8967.28173245379,-34.014745699430684,168.92105955109272,2
9325.973001751941,-34.34547941842202,171.3512364461699,2
9699.011921822019,-34.97787519194342,169.0941011339714,2
10086.9723986949,-35.46820676131562,168.78093758421704,2
10490.451294642695,-36.13279115062526,167.13792408306563,2
10910.069346428403,-36.4837994658452,167.1184471098071,2
11346.47212028554,-37.01801112594754,160.88352640857616,2
11800.331005096961,-37.7339768474903,157.190779044781,2
12272.34424530084,-38.5908388038471,153.3213824720462,2
12763.238015112873,-38.94096050008741,150.94451029444966,2
13273.767535717388,-39.1494431824097,140.3912418015351,2
13804.718237146084,-39.416206375927864,136.07131587435717,2
14356.906966631928,-40.13113478658472,136.68702392231313,2
14931.183245297207,-40.87861964009274,119.17884680873215,2
15528.430575109096,-41.015735392631285,117.93386943414393,2
16149.567798113461,-40.822354748458025,108.64763051033528,2
16795.550510038,-40.92328591836384,104.37034659512912,2
17467.37253043952,-41.357994237401265,101.04924098376397,2
18166.067431657102,-41.24559332672974,98.01631258186273,2
18892.710128923387,-40.44464527922453,90.15071394989661,2
19648.418534080323,-40.98985277862686,86.78422944479985,2
