Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.963888540048735,88.07109534936143,2
41.6,-28.541460648133523,90.00699745063947,2
43.264,-28.101683480416916,87.16728313630252,2
44.99456000000001,-28.11152626528248,85.77155432185555,2
46.79434240000001,-27.2719189683826,88.37742488621791,2
48.66611609600002,-27.249931375008956,88.92622836381122,2
50.61276073984002,-26.667512883886744,87.96627624296423,2
52.637271169433625,-26.386331554964794,88.10435431140581,2
54.742762016210975,-26.066498772893432,87.72332745919498,2
56.93247249685942,-25.827857107896133,88.00780588734028,2
59.2097713967338,-25.418011229313763,86.88823587300989,2
61.57816225260316,-25.035349814284906,88.11856255829167,2
64.04128874270728,-24.789344900065437,87.42689445760425,2
66.60294029241557,-24.25779250430997,87.00399559708532,2
69.26705790411219,-24.10945999935961,87.41105425628294,2
72.03774022027669,-23.751489929780476,87.58199984245653,2
74.91924982908776,-23.470388175963716,87.01931488996539,1
77.91601982225127,-23.212975838730582,86.58755257983235,1
81.03266061514132,-22.873832677601047,86.09047266529353,1
84.27396703974698,-22.41955767512681,86.88783528845329,1
87.64492572133686,-22.12977431418008,87.20866200121041,1
91.15072275019034,-21.76441933852796,86.52737814498252,1
94.79675166019796,-21.39982944902443,86.33529370389891,1
98.58862172660588,-21.184263937032494,86.39280614406334,1
102.53216659567012,-20.743954851997785,86.33769507100747,1
106.63345325949693,-20.5529077106657,86.28651682846701,1
110.89879138987682,-20.077820249978153,85.69492428914599,1
115.3347430454719,-19.58883737375629,86.07997505225023,1
119.94813276729077,-19.20699311456944,86.12425729148757,1
124.74605807798241,-19.013940671452925,85.787251326116,1
129.7359004011017,-18.506597875475805,85.49016935021827,1
134.9253364171458,-18.179105515556337,85.323580473817,1
140.32234987383163,-17.98298114374903,85.35389536151001,1
145.9352438687849,-17.627661310265673,84.42117595538012,1
151.7726536235363,-17.43455501212516,84.80138232172058,1
157.84355976847777,-17.002835019711576,84.31368038403528,1
164.1573021592169,-16.527908870657065,84.34886929216219,1
170.7235942455856,-16.35017949359865,83.80919843393106,1
177.55253801540903,-15.928855918994003,84.06895654755341,1
184.6546395360254,-15.543382936060656,83.4208704124851,1
192.04082511746643,-15.369213372372283,83.20644816749514,1
199.72245812216508,-15.001722086575807,83.04759961394458,1
207.71135644705168,-14.52764617054733,82.72470690059757,1
216.01981070493375,-14.419210521269234,82.40248976908654,1
224.6606031331311,-14.045373954639187,82.04629871916173,1
233.64702725845635,-13.76510366830306,81.47314834082417,1
242.9929083487946,-13.357950079960908,81.30470186480186,1
252.7126246827464,-13.039066402394175,80.75392228182754,1
262.8211296700563,-12.70177581909328,80.94850932145326,1
273.33397485685856,-12.358932667796086,80.14085901771334,1
284.2673338511329,-12.011365212578177,80.04911508160575,1
295.6380272051782,-11.5904844789918,79.58800277190959,1
307.4635482933854,-11.212043256904225,79.46969948613105,1
319.7620902251208,-10.893982607928443,78.990688811093,1
332.55257383412567,-10.709486241633645,78.21313613299876,1
345.8546767874907,-10.28813905986822,78.12899566677868,1
359.6888638589903,-9.992819526613582,77.39779014576436,1
374.0764184133499,-9.665258983956448,76.90170800198982,1
389.0394751498839,-9.296009554236196,76.35693002985492,1
404.6010541558793,-8.939988528649641,76.15841693292126,1
420.7850963221145,-8.647506056903024,75.44304521482516,1
437.6165001749991,-8.23563176338619,75.09793828032895,1
455.1211601819991,-7.947791859056948,74.4068111359728,1
473.3260065892791,-7.708395359428042,73.88295727733617,1
492.25904685285025,-7.3816660805235665,73.20284602269152,1
511.9494087269643,-7.142959659823688,72.44143180919161,1
532.4273850760429,-6.769352848035763,71.86343553572782,1
553.7244804790846,-6.345723393285318,71.38890796429806,1
575.873459698248,-5.965583432400299,70.84819679627583,1
598.908398086178,-5.609239398410881,70.5731014167639,1
622.8647340096251,-5.328022228659251,69.61838460369046,1
647.77932337001,-4.992212970184491,68.86224102058557,1
673.6904963048105,-4.673195718096412,67.94821671768568,1
700.638116157003,-4.389290074064171,67.26625060423557,1
728.6636408032831,-4.145633709115646,66.07762591815099,1
757.8101864354145,-3.8730731027512686,65.09856545834226,1
788.1225938928311,-3.4983504917200077,64.4534844687003,1
819.6474976485443,-3.0809987660689404,63.66388319105897,1
852.4333975544862,-2.8757569765137836,62.52980117479714,1
886.5307334566656,-2.5343228873960912,61.71213293853998,1
921.9919627949323,-2.155011471543331,60.975400542092245,1
958.8716413067297,-1.911593950607825,59.52273650711648,1
997.2265069589989,-1.5461807672816903,58.75056452483376,1
1037.1155672373588,-1.2203514786455054,57.60361062992191,1
1078.6001899268533,-0.9610170375423849,56.256960463760606,1
1121.7441975239276,-0.5948751129377714,55.10834839977254,1
1166.6139654248848,-0.23320182929302655,54.05585692885768,1
1213.2785240418802,0.08408465042133728,52.90301079561664,1
1261.8096650035554,0.40336315888222807,51.42952857254272,1
1312.2820516036977,0.7446412678807249,49.91670569723988,1
1364.7733336678457,1.059578914436513,48.54064550701503,1
1419.3642670145596,1.3577120231471393,47.049428337917334,1
1476.138837695142,1.655576012165633,45.45901989447433,1
1535.1843912029478,2.034238072768949,43.89439136504518,1
1596.5917668510658,2.320887911773249,42.146424086569844,1
1660.4554375251084,2.7016904969520126,40.5100773268756,1
1726.8736550261128,3.0360356077931994,38.633938180130144,1
1795.9486012271575,3.3603351013356964,36.66385577730041,1
1867.786545276244,3.713823868419248,34.602697932388125,1
1942.4980070872937,4.086196266984042,32.63111984310805,1
2020.1979273707855,4.456552086879387,30.349311252667533,1
2101.005844465617,4.879836467774427,26.949581601563608,1
2185.046078244242,5.211449357299689,25.606688745997246,1
2272.4479213740115,5.588416682810181,23.018419580692736,1
2363.345838228972,6.049423835762875,19.41017209151333,1
2457.879671758131,6.375211888990139,17.31140761131322,1
2556.194858628456,6.842367542930646,13.519373366910372,1
2658.4426529735942,7.232182092122787,10.184389619364055,1
2764.780359092538,7.676912865328212,6.389331581735647,1
2875.3715734562397,8.109761011023814,2.1450958854067403,1
2990.3864363944895,8.555240079409067,-2.2821515511968755,1
3110.001893850269,8.953648445650147,-7.149067462401717,1
3234.4019696042797,9.397559785923466,-12.701432923275192,1
3363.7780483884508,9.749138640236387,-18.532269115171893,1
3498.329170323989,10.084955515517956,-25.118779326724024,1
3638.2623371369486,10.424825074093315,-32.21426723782369,1
3783.7928306224267,10.45490690739876,-39.91386128808758,1
3935.144543847324,10.747686677010051,-47.58731676071295,1
4092.550325601217,10.591071358759175,-56.23201261624372,1
4256.252338625266,10.354228277459217,-65.12689664936114,1
4426.502432170277,10.24267659379121,-72.37961097338017,1
4603.562529457088,9.827657423195983,-80.65141679409919,1
4787.705030635372,9.303056788835386,-89.60325770479884,1
4979.213231860787,8.749316397711498,-97.28962672519418,1
5178.381761135219,8.068694513814023,-105.3120995972119,1
5385.517031580628,7.639849863195102,-109.71049547165858,1
5600.937712843854,6.88008188764398,-118.86320854025655,1
5824.975221357608,6.272499739557584,-124.26240926407161,1
6057.974230211912,5.54329502277166,-132.77318979026234,1
6300.293199420389,4.757557358314063,-139.80109625618834,1
6552.304927397205,3.845231842642897,-149.12928169200947,1
6814.397124493093,2.5718098262352656,-157.62461807962077,1
7086.973009472817,0.9850746190128813,-166.57657703460734,1
7370.45192985173,-1.083114296888338,-172.32524907167593,1
7665.2700070457995,-3.155249434204394,-174.5134329515517,1
7971.880807327631,-5.103800609564148,-172.83758527070148,1
8290.756039620737,-6.558736090155834,-169.03366937128226,1
