Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.044177000925455,87.47396347523625,2
41.6,-28.542118028003724,88.22609388270361,2
43.264,-27.862920866948926,86.7155659800312,2
44.99456000000001,-27.559866282519298,89.16214930588029,2
46.79434240000001,-27.10615231719981,84.85382753127601,2
48.66611609600002,-27.179179605225944,86.68196169622667,2
50.61276073984002,-26.612819551810954,89.10434073956321,2
52.637271169433625,-26.456637512256066,88.14253921263145,2
54.742762016210975,-26.00755023326065,89.28184000985644,2
56.93247249685942,-25.597437106683724,87.92490271565191,1
59.2097713967338,-25.51785246229356,88.55078590112191,2
61.57816225260316,-24.87089636754876,88.45523200356669,2
64.04128874270728,-24.682279984259687,87.7332832818908,1
66.60294029241557,-24.631271932520544,86.15879466925921,1
69.26705790411219,-24.140523024288978,87.60127227471399,1
72.03774022027669,-23.528249726978263,88.28824999760059,1
74.91924982908776,-23.356341053256145,88.49074145118884,1
77.91601982225127,-23.133515910398547,86.99192041106309,1
81.03266061514132,-22.641152953035693,87.26494606755337,1
84.27396703974698,-21.90966982776889,88.22738884691628,1
87.64492572133686,-21.952223413001114,86.90003932095118,1
91.15072275019034,-21.54622602998317,86.44180845443164,1
94.79675166019796,-21.27630239276814,87.37446009648619,1
98.58862172660588,-20.96106099135064,86.5397242356053,1
102.53216659567012,-20.68420515858999,86.97305883934987,1
106.63345325949693,-20.334916014778283,86.82787025563113,1
110.89879138987682,-19.92601114816345,86.21527502027527,1
115.3347430454719,-19.45827393328005,87.76857939597897,1
119.94813276729077,-19.21222281304166,86.69290147987999,1
124.74605807798241,-18.78544449371668,86.53021963428512,1
129.7359004011017,-18.53568626609236,85.93051918673456,1
134.9253364171458,-18.15997026967359,85.80814407632602,1
140.32234987383163,-17.843974309087333,85.82288311247898,1
145.9352438687849,-17.663448617495533,85.88305074543106,1
151.7726536235363,-17.276051839297903,84.85775178202489,1
157.84355976847777,-16.88776335731576,85.24650847309607,1
164.1573021592169,-16.40849498877389,85.29606984678685,1
170.7235942455856,-16.27838404720944,84.44502017697248,1
177.55253801540903,-15.922974067457924,84.75412642708737,1
184.6546395360254,-15.518228424827782,84.35669316861049,1
192.04082511746643,-15.247559876468934,83.89821999653658,1
199.72245812216508,-14.83975863880607,83.96097318433634,1
207.71135644705168,-14.507773010347458,83.72181318796183,1
216.01981070493375,-14.34053225765051,83.25035730989536,1
224.6606031331311,-13.96327924663377,83.0089693087262,1
233.64702725845635,-13.65682772838515,82.52681559377486,1
242.9929083487946,-13.313394047903804,82.42675048633483,1
252.7126246827464,-13.01653402308226,82.28651750922187,1
262.8211296700563,-12.619871524543443,82.01601058063422,1
273.33397485685856,-12.204808216905667,81.57828849782277,1
284.2673338511329,-11.927732608537157,81.38801874420258,1
295.6380272051782,-11.573714189640823,80.9986117687286,1
307.4635482933854,-11.092093015815951,80.92337823136677,1
319.7620902251208,-10.861261477463529,80.31336302553109,1
332.55257383412567,-10.588575896382624,79.64707710153345,1
345.8546767874907,-10.237517156602374,79.74720030135802,1
359.6888638589903,-9.85002731731033,79.39227996783642,1
374.0764184133499,-9.614445072390607,79.08434675741952,1
389.0394751498839,-9.416535397629296,78.5451013596462,1
404.6010541558793,-8.899290251727988,78.29749683665801,1
420.7850963221145,-8.647536354991095,77.44051945602845,1
437.6165001749991,-8.217129724761627,77.23901217390826,1
455.1211601819991,-7.887856994566756,76.73792944898155,1
473.3260065892791,-7.6269969322729425,76.15607411309674,1
492.25904685285025,-7.325667003169563,75.65260392020113,1
511.9494087269643,-7.093976032187146,74.77757257208776,1
532.4273850760429,-6.717045631962243,74.51788860598197,1
553.7244804790846,-6.301942983839918,74.3527646436978,1
575.873459698248,-5.931694956058142,73.96136156961222,1
598.908398086178,-5.607233197050931,73.25105300936245,1
622.8647340096251,-5.298187540038324,72.69642767121445,1
647.77932337001,-4.978042965667175,72.07834508506524,1
673.6904963048105,-4.681398789492593,71.48646743265897,1
700.638116157003,-4.422722192561102,70.73436183981853,1
728.6636408032831,-4.174173607078446,69.93386318825306,1
757.8101864354145,-3.8998602632260853,68.88816088764601,1
788.1225938928311,-3.547420085292468,68.53709050325217,1
819.6474976485443,-3.145184522507179,67.9086562699996,1
852.4333975544862,-2.9314662227281,67.10620735886627,1
886.5307334566656,-2.6375086792805016,66.2533931729985,1
921.9919627949323,-2.2659274086077805,65.70168463710404,1
958.8716413067297,-2.023943332572596,64.66699354816798,1
997.2265069589989,-1.6916417320408859,64.12573345296576,1
1037.1155672373588,-1.401480219446817,63.25530553168878,1
1078.6001899268533,-1.1691210940779766,62.152602171777296,1
1121.7441975239276,-0.8254027795820528,61.36796871154266,1
1166.6139654248848,-0.4833152533804087,60.606198456412585,1
1213.2785240418802,-0.20222261703296543,59.547191776067905,1
1261.8096650035554,0.09917459034150966,58.71571976888549,1
1312.2820516036977,0.37660484310624337,57.635345431237965,1
1364.7733336678457,0.688257817685561,56.51233925289114,1
1419.3642670145596,0.9244166257721768,55.36738224027199,1
1476.138837695142,1.189305818743217,54.31488830797832,1
1535.1843912029478,1.5344714939700108,53.45372837039635,1
1596.5917668510658,1.7446812410004855,52.021780167964565,1
1660.4554375251084,2.0603327214150835,51.105948715123304,1
1726.8736550261128,2.342074147214235,49.91370928545789,1
1795.9486012271575,2.6007788787390598,48.59931060344239,1
1867.786545276244,2.8736904700516055,47.30543169619326,1
1942.4980070872937,3.1473778133274597,46.14771785662501,1
2020.1979273707855,3.4262967809352753,44.86866735781445,1
