Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.95821122705349,89.62472801962066,2
41.6,-29.315345461880845,89.20918998214292,2
43.264,-29.26563827326274,87.72664182184899,2
44.99456000000001,-28.628228288934995,87.03397188161264,2
46.79434240000001,-28.47492089167241,91.17413136262985,2
48.66611609600002,-27.774480143428825,88.9258215008519,2
50.61276073984002,-27.698878656602936,88.84359859105996,2
52.637271169433625,-27.240284149754444,88.94300375365822,2
54.742762016210975,-27.06411371439221,89.54630496664329,2
56.93247249685942,-26.517975075005367,88.11538576360465,2
59.2097713967338,-26.247328280998065,88.76952091263045,2
61.57816225260316,-26.042241527160623,87.61728421410349,2
64.04128874270728,-25.68622781347159,88.36077318438132,2
66.60294029241557,-24.958451224599948,88.66322504965824,2
69.26705790411219,-25.005958166561204,88.62980168800419,2
72.03774022027669,-24.526457177915056,88.05469260375344,1
74.91924982908776,-24.18450667898131,86.91674938149806,2
77.91601982225127,-23.97819000646052,87.21822797087893,2
81.03266061514132,-23.78668773255151,86.39794518476494,1
84.27396703974698,-23.044517896224626,87.41528972520372,2
87.64492572133686,-22.923381007900264,87.62478230487476,1
91.15072275019034,-22.480838385508605,87.25764988687621,1
94.79675166019796,-22.248113165343778,85.61372807148842,1
98.58862172660588,-22.002168509645763,86.66861189445335,1
102.53216659567012,-21.534874677268437,86.67869808977885,1
106.63345325949693,-21.25523257997907,86.43461166529714,1
110.89879138987682,-20.86658731203191,86.31673565209121,1
115.3347430454719,-20.448450963775965,85.96442264467441,1
119.94813276729077,-20.06864327208075,86.19477960829838,1
124.74605807798241,-19.776820215248048,85.87351614982686,1
129.7359004011017,-19.454233882700578,85.57696116048956,1
134.9253364171458,-19.103371073233586,85.71650172366515,1
140.32234987383163,-18.895643871369238,85.0464464092669,1
145.9352438687849,-18.606145434464203,85.03450653639102,1
151.7726536235363,-18.230210351377114,84.43658186950836,1
157.84355976847777,-17.85334549429419,84.84470249877478,1
164.1573021592169,-17.416551538270244,84.73273596066849,1
170.7235942455856,-17.227582405377127,84.41078067791842,1
177.55253801540903,-16.880379995456433,83.92032724062683,1
184.6546395360254,-16.440487118437215,83.84477368264015,1
192.04082511746643,-16.16276407009144,83.22751595161941,1
199.72245812216508,-15.855460616434982,83.16465352515812,1
207.71135644705168,-15.511852452793606,83.27947718377543,1
216.01981070493375,-15.229609400494274,82.53426227891772,1
224.6606031331311,-14.89122802755634,82.3438659166373,1
233.64702725845635,-14.583991119636227,82.20810866048066,1
242.9929083487946,-14.232870601197684,81.83594416565715,1
252.7126246827464,-13.998658795439113,81.06748904435709,1
262.8211296700563,-13.584679883266833,81.47378296631871,1
273.33397485685856,-13.257837494283484,80.86675825396091,1
284.2673338511329,-12.978504027792768,80.43847895847455,1
295.6380272051782,-12.535371170436537,80.59488143669098,1
307.4635482933854,-12.106799262859072,79.76398087209691,1
319.7620902251208,-11.811992674224395,79.68669775814386,1
332.55257383412567,-11.592996996142922,79.15717972385497,1
345.8546767874907,-11.131533655126038,78.7435607338531,1
359.6888638589903,-10.818022401362162,78.3688144416368,1
374.0764184133499,-10.582168669431136,77.97524779963902,1
389.0394751498839,-10.0683944449794,77.38543378851188,1
404.6010541558793,-9.864466653492544,76.84879854829704,1
420.7850963221145,-9.63281819311633,76.5155177356255,1
437.6165001749991,-9.173806134946584,76.10195411258209,1
455.1211601819991,-8.863853752851176,75.64728479954444,1
473.3260065892791,-8.582059709701939,74.90704617156896,1
492.25904685285025,-8.268977670878998,74.2691677651511,1
511.9494087269643,-8.0627761918578,73.59675107026928,1
532.4273850760429,-7.6307095731514005,72.93961553642154,1
553.7244804790846,-7.250975724693246,72.66056405639817,1
575.873459698248,-6.900631329761071,72.24589099817575,1
598.908398086178,-6.554856666721137,71.80286046095128,1
622.8647340096251,-6.248416350422983,71.28898606010415,1
647.77932337001,-5.926144911038199,70.60525882633537,1
673.6904963048105,-5.610377752732125,69.93603822595651,1
700.638116157003,-5.3753681532383695,68.78798147946834,1
728.6636408032831,-5.09520489539296,67.70042212770316,1
757.8101864354145,-4.845496553434444,67.00642415892924,1
788.1225938928311,-4.48530827362688,66.31619603613585,1
819.6474976485443,-4.103540739748744,65.76653907531306,1
852.4333975544862,-3.9077532601147658,64.64960945827734,1
886.5307334566656,-3.568577574286279,63.76551304799856,1
921.9919627949323,-3.224724686057954,63.161490477080406,1
958.8716413067297,-3.0047000373646817,61.946861370261615,1
997.2265069589989,-2.6269330124465045,61.273183866452946,1
1037.1155672373588,-2.3370168371554323,60.206312709088756,1
1078.6001899268533,-2.095998223837724,59.140650562378255,1
1121.7441975239276,-1.7396130057226062,58.28951032576012,1
1166.6139654248848,-1.4078856639215558,57.56716700680158,1
1213.2785240418802,-1.1017950544016901,56.50573071310089,1
1261.8096650035554,-0.8081575869153107,55.45208490960823,1
1312.2820516036977,-0.49411237945186415,54.18999698832823,1
1364.7733336678457,-0.21896323583570473,53.08439611273741,1
1419.3642670145596,0.044168408086599005,51.776696879526284,1
1476.138837695142,0.3611803369144941,50.60839034044082,1
1535.1843912029478,0.6937342711739851,49.64502824665432,1
1596.5917668510658,0.9261692552816065,48.11716041754366,1
1660.4554375251084,1.2867089216070453,46.972027686850865,1
1726.8736550261128,1.5562862405614333,45.794827900494305,1
1795.9486012271575,1.839264761515711,44.223004326804514,1
1867.786545276244,2.1256171629880924,43.02088513158441,1
1942.4980070872937,2.4383277701091237,41.57751543114104,1
2020.1979273707855,2.7598277457404077,40.26466388392246,1
2101.005844465617,3.077840754687811,37.32600438595115,1
2185.046078244242,3.3952160250019627,37.56264772345173,1
2272.4479213740115,3.7039368911527797,36.00405721330279,1
2363.345838228972,4.084693584027462,33.12496556441981,1
2457.879671758131,4.347973423038463,33.37252824280169,1
2556.194858628456,4.753248941020578,30.299874970399742,1
2658.4426529735942,5.07132289737448,29.36431636328325,1
2764.780359092538,5.406890881389195,27.66348581407135,1
2875.3715734562397,5.818329966022543,25.57323677939613,1
2990.3864363944895,6.159038196735333,24.275132429494235,1
3110.001893850269,6.602862708086713,21.821975606543617,1
3234.4019696042797,6.976552382140421,20.30759847565659,1
3363.7780483884508,7.452220734955937,17.95792270150685,1
3498.329170323989,7.9044107529457115,15.851731584900364,1
3638.2623371369486,8.360434046094767,13.66423293925996,1
3783.7928306224267,8.93993631171065,11.032617766545325,1
3935.144543847324,9.442076839941322,8.54894314674398,1
4092.550325601217,10.059860927415976,5.510989546640047,1
4256.252338625266,10.685813559349725,2.2854718181769123,1
4426.502432170277,11.371344526702655,-1.328009527302612,1
4603.562529457088,12.135607038092722,-5.463828432328256,1
4787.705030635372,12.919408893405015,-10.278996897729659,1
4979.213231860787,13.76562629966548,-16.17604949842584,1
5178.381761135219,14.594009213596873,-23.010718868998822,1
5385.517031580628,15.696202931108596,-32.20249469777657,1
5600.937712843854,16.278334242797676,-42.91327342400728,1
5824.975221357608,17.050747461747168,-55.400529146084985,1
6057.974230211912,17.09610690352517,-70.34845889375083,1
6300.293199420389,16.963287237814388,-84.53685366780664,1
6552.304927397205,16.165743211195366,-99.54195310902038,1
6814.397124493093,15.339121886982827,-110.42353002176988,1
7086.973009472817,14.239933099425095,-123.01796234808455,1
7370.45192985173,13.155703160763142,-130.3410379284421,1
7665.2700070457995,12.188179971482146,-139.9817584573714,1
7971.880807327631,11.275322950809436,-147.4078757089465,1
8290.756039620737,10.425287344842614,-154.42129580208234,1
8622.386281205567,9.761623069996647,-163.14821510749317,1
8967.28173245379,9.105419256724499,-172.56950164758567,1
9325.973001751941,8.433393371953509,176.16707384429787,1
9699.011921822019,7.5100112344082035,161.8431748854556,1
10086.9723986949,5.94145223400935,145.41181534509013,1
10490.451294642695,3.5039788194454253,128.10271450556016,1
10910.069346428403,0.37172236392480223,113.67014792482277,1
11346.47212028554,-3.2750345450707243,104.06851171703836,1
11800.331005096961,-7.189961890673202,99.56928307455256,1
12272.34424530084,-10.949374362254217,100.56585852594725,1
12763.238015112873,-14.34644559878383,106.90379165884251,1
13273.767535717388,-16.832786200901882,117.76995304135713,1
13804.718237146084,-18.411807032491883,129.32029846807282,1
14356.906966631928,-19.392184175355947,138.36408812603898,1
14931.183245297207,-19.929431681736872,144.9284781435274,1
15528.430575109096,-20.477727581235218,149.34442950299115,1
16149.567798113461,-21.050947157209837,150.87730731228976,1
16795.550510038,-21.708692638086735,151.91078287614246,1
17467.37253043952,-22.296047237438227,152.58509323096035,1
