Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.527416099621032,86.98372685955495,2
41.6,-27.911333710368066,87.83480098072609,2
43.264,-28.01715032831436,86.86652561039158,2
44.99456000000001,-27.296856455519087,87.63740930785355,2
46.79434240000001,-26.983726165948966,87.05083901399206,2
48.66611609600002,-26.74363066287676,88.06609525844374,2
50.61276073984002,-26.33809712991596,86.144377015229,2
52.637271169433625,-25.80660303983391,87.1383058094068,2
54.742762016210975,-25.731906710592455,86.19975155251052,2
56.93247249685942,-25.134188270981028,87.25300304260657,2
59.2097713967338,-24.94531295782415,86.2926561084305,2
61.57816225260316,-24.53612371591422,86.42379148347305,2
64.04128874270728,-24.322215090315115,85.18480278722284,2
66.60294029241557,-24.117156754432607,86.05740053390107,2
69.26705790411219,-23.488057603660483,85.44424264195376,1
72.03774022027669,-23.08440400826722,84.63985991618853,2
74.91924982908776,-22.7966236809891,86.01715502009706,1
77.91601982225127,-22.616488611746167,84.6333477788425,1
81.03266061514132,-22.27899265728226,85.01716570520318,1
84.27396703974698,-21.850134732345108,84.17537572843031,1
87.64492572133686,-21.439212196161186,83.66369312663781,1
91.15072275019034,-21.26948861475852,83.66545724718321,1
94.79675166019796,-20.859021221308712,83.75675778788586,1
98.58862172660588,-20.55102521097446,83.07522449929158,1
102.53216659567012,-20.152645365861186,83.97179180699287,1
106.63345325949693,-19.899119313020808,83.46426859937033,1
110.89879138987682,-19.475896864245342,82.65716241695043,1
115.3347430454719,-19.133412388697096,82.51404433123378,1
119.94813276729077,-18.704026386747596,82.18769841812332,1
124.74605807798241,-18.31075084611442,81.78664980645453,1
129.7359004011017,-17.93952815222832,82.0505878764784,1
134.9253364171458,-17.68057385918092,82.11405856318697,1
140.32234987383163,-17.34165284464403,81.81963111593168,1
145.9352438687849,-17.171766382588093,80.63907690281611,1
151.7726536235363,-16.86396786867358,80.23596726451376,1
157.84355976847777,-16.357064940068284,80.21633049287333,1
164.1573021592169,-15.829919542649613,79.64771153367826,1
170.7235942455856,-15.664514306870911,79.4712867243832,1
177.55253801540903,-15.323476774941108,78.82230595726384,1
184.6546395360254,-14.866788398391392,78.89416913598546,1
192.04082511746643,-14.606259393963212,78.15299838207699,1
199.72245812216508,-14.166648382846,77.66030477621972,1
207.71135644705168,-13.71239903278095,76.98734540634993,1
216.01981070493375,-13.51521425378215,76.0720180697368,1
224.6606031331311,-13.155346035521635,75.42758725577957,1
233.64702725845635,-12.817788466784727,74.52298276416622,1
242.9929083487946,-12.33945379361527,74.45321844045023,1
252.7126246827464,-11.993179844291273,73.99970570325266,1
262.8211296700563,-11.614287328899632,73.26290792195454,1
273.33397485685856,-11.288091949060862,72.15365819416425,1
284.2673338511329,-10.857724492355414,71.77061800565251,1
295.6380272051782,-10.393560752497097,70.92558409652585,1
307.4635482933854,-9.86407017579058,70.41499483440208,1
319.7620902251208,-9.52902395584693,69.82546168484056,1
332.55257383412567,-9.173036865642407,68.34135367156739,1
345.8546767874907,-8.632665853632522,67.57067023660818,1
359.6888638589903,-8.2109229368178,66.79589569662966,1
374.0764184133499,-7.811831474036483,65.31711186568624,1
389.0394751498839,-7.316793540600592,64.21996420125026,1
404.6010541558793,-6.873079734652694,63.082042284608036,1
420.7850963221145,-6.413033079460489,61.56026173499877,1
437.6165001749991,-5.858074727642434,60.27347093435723,1
455.1211601819991,-5.3419184891117375,58.55140625350873,1
473.3260065892791,-4.843705578746607,56.60550937396918,1
492.25904685285025,-4.341425748489704,54.456215626892636,1
511.9494087269643,-3.784084015920344,52.0717420932108,1
532.4273850760429,-3.2045024660975616,49.81652398410911,1
553.7244804790846,-2.5216133488023864,47.333633607895656,1
575.873459698248,-1.8766063964315127,44.60750866716678,1
598.908398086178,-1.2607999527355294,41.21487825367936,1
622.8647340096251,-0.6085205148379924,37.04707417376321,1
647.77932337001,0.03236830689441754,32.59413295802729,1
673.6904963048105,0.6756690569447023,27.259876123676293,1
700.638116157003,1.2625083114493414,21.177404862030812,1
728.6636408032831,1.8444482436831988,13.975963117551203,1
757.8101864354145,2.2887678832888168,6.6310758994497405,1
788.1225938928311,2.6291552824025706,-1.5988291746785652,1
819.6474976485443,2.7841927510490088,-10.605999287803058,1
852.4333975544862,2.7685323874957324,-19.506785635196948,1
886.5307334566656,2.548756124367753,-28.551841791615374,1
921.9919627949323,2.1958818069980994,-37.18373900207834,1
958.8716413067297,1.657291488227903,-44.57648059416118,1
997.2265069589989,1.099163342875172,-51.86002409534119,1
1037.1155672373588,0.4172030415142194,-58.024643614430644,1
1078.6001899268533,-0.3508744267705456,-63.464829738464765,1
1121.7441975239276,-0.9975010816419866,-68.4545556496245,1
1166.6139654248848,-1.6773372243914333,-72.70863642673918,1
1213.2785240418802,-2.373248479292413,-76.5334947442409,1
1261.8096650035554,-3.06547154951705,-79.99016432991291,1
1312.2820516036977,-3.7013254656448784,-83.07454170571015,1
1364.7733336678457,-4.371332347564492,-86.02085449526288,1
1419.3642670145596,-5.0373897426012695,-88.49802170915957,1
1476.138837695142,-5.676106345238205,-91.0041776485388,1
1535.1843912029478,-6.207422571166188,-93.24711008477985,1
1596.5917668510658,-6.878023030951872,-95.33743397825071,1
1660.4554375251084,-7.40066044749221,-97.55690517335611,1
1726.8736550261128,-8.016198947880369,-99.68555273822727,1
1795.9486012271575,-8.54786440650188,-101.46013023705757,1
1867.786545276244,-9.140946319269938,-103.50428635630522,1
1942.4980070872937,-9.67083040724508,-104.84952303250796,1
2020.1979273707855,-10.20091592381413,-107.06128155675265,1
2101.005844465617,-10.869387778501448,-110.4777373740219,1
2185.046078244242,-11.229827379781694,-109.63074359067554,1
2272.4479213740115,-11.716623136315503,-111.5064559943286,1
2363.345838228972,-12.329111060926802,-115.60838008713137,1
2457.879671758131,-12.73665561213764,-114.60310473433385,1
2556.194858628456,-13.320135154529835,-118.29350614162723,1
2658.4426529735942,-13.847401859340287,-118.50117711168274,1
2764.780359092538,-14.322731390103849,-120.48416247508203,1
2875.3715734562397,-14.839376283660153,-123.2509578733835,1
2990.3864363944895,-15.328901185432402,-123.35675097161433,1
3110.001893850269,-15.915411190090117,-126.33278262899265,1
3234.4019696042797,-16.45160888623732,-126.49450883552083,1
3363.7780483884508,-16.957796807372656,-129.2561504536522,1
3498.329170323989,-17.51958170127351,-130.19531233445662,1
3638.2623371369486,-18.124451287402433,-131.60771844436732,1
3783.7928306224267,-18.557097230111324,-134.72197975888682,1
3935.144543847324,-19.15193744374352,-135.01178569360854,1
4092.550325601217,-19.690074917911026,-137.464735041502,1
4256.252338625266,-20.243401805775004,-139.6472912589128,1
4426.502432170277,-20.914410619207114,-139.68762813065143,1
4603.562529457088,-21.58542113401193,-142.37596404434936,1
4787.705030635372,-21.941622891673887,-144.57813072780073,1
4979.213231860787,-22.58051145619926,-146.59744488612614,1
5178.381761135219,-23.27812682040952,-148.6145425083592,1
5385.517031580628,-23.981380845215558,-149.08447933072787,1
5600.937712843854,-24.53316673228867,-151.72068605206036,1
5824.975221357608,-25.076846131236866,-152.68443316218998,1
6057.974230211912,-25.69038268345098,-156.01371943869464,1
6300.293199420389,-26.43967006079504,-156.93410804092866,1
6552.304927397205,-27.02446466996131,-159.9746803798958,2
6814.397124493093,-27.8338664054156,-160.2316527745424,2
7086.973009472817,-28.506973434314055,-162.24865750347095,2
7370.45192985173,-29.258926504406187,-163.39580054063163,2
7665.2700070457995,-29.906707598350703,-166.23857643181253,2
7971.880807327631,-30.723846915151455,-167.63801663166973,2
8290.756039620737,-31.29518430569332,-167.97135074737022,2
8622.386281205567,-32.021636592667775,-169.36094068085043,2
8967.28173245379,-32.357267286684966,-170.3152579969164,2
9325.973001751941,-32.93047855873208,-170.33134497297578,2
9699.011921822019,-32.68585716864336,-175.02930519782421,2
10086.9723986949,-33.19428894954312,-178.81569863378758,2
10490.451294642695,-33.61615055382339,175.3359603223424,2
10910.069346428403,-33.85706516076593,165.95624035894565,2
11346.47212028554,-34.31004115643111,162.5941493621055,2
11800.331005096961,-34.96961911329201,156.97652900963038,2
12272.34424530084,-35.463548388773326,151.82882136349852,2
12763.238015112873,-35.98290314399217,146.83393719991133,2
13273.767535717388,-36.71878310509368,138.96279623375966,2
13804.718237146084,-37.4991745247571,130.2617884150228,2
14356.906966631928,-38.08660387303748,129.6926521758101,2
14931.183245297207,-38.422761365936466,119.26631211115145,2
15528.430575109096,-38.54908158093388,116.41221606142341,2
16149.567798113461,-38.672197068908794,112.721477322571,2
16795.550510038,-38.84026106331239,104.0918432593125,2
17467.37253043952,-38.6653704429614,99.39694481891578,2
18166.067431657102,-38.404752062726615,94.36287930931513,2
18892.710128923387,-38.57676870844322,90.92776192149326,2
19648.418534080323,-38.18222404656484,87.53974197360645,2
