Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-33.53084122965472,87.54828468555266,2
41.6,-33.36692496384194,88.0012932837679,2
43.264,-33.17552489208448,87.50537825612216,2
44.99456000000001,-33.2773241744529,85.83140412380168,2
46.79434240000001,-32.778395430487606,87.87140568966026,2
48.66611609600002,-31.82036489619069,91.23974646327292,2
50.61276073984002,-32.02292605666342,87.48262152732684,2
52.637271169433625,-30.99933912019764,87.09275215452669,2
54.742762016210975,-30.611752856907156,85.4528404243913,2
56.93247249685942,-30.41618242448388,87.20898130263731,2
59.2097713967338,-30.32241152318909,88.0462699716672,2
61.57816225260316,-29.565148859296073,87.52617527367977,2
64.04128874270728,-29.80299844611292,85.52672217403492,2
66.60294029241557,-29.41151651417027,86.95318578575328,2
69.26705790411219,-28.712942152706677,86.02096730841373,2
72.03774022027669,-28.631507790420635,87.15359153423856,2
74.91924982908776,-28.143664719781277,86.59211278627484,2
77.91601982225127,-27.746706418639647,86.27947302997701,2
81.03266061514132,-27.62032368993516,85.66744233791081,2
84.27396703974698,-26.794897121248997,86.71269563270403,2
87.64492572133686,-26.73615407061907,83.97236155179347,2
91.15072275019034,-26.668882099634462,85.46852072090756,2
94.79675166019796,-26.102509327436373,85.44894852810357,2
98.58862172660588,-25.9049875360418,84.62299701562782,2
102.53216659567012,-25.533168449905528,84.30486594237847,2
106.63345325949693,-25.373714054244587,84.7053829208164,2
110.89879138987682,-24.871552386244158,84.50804400085025,2
115.3347430454719,-24.413707853312356,84.65695517881602,2
119.94813276729077,-24.13305666366294,84.29538943878458,2
124.74605807798241,-23.799834305274032,83.63593549991504,2
129.7359004011017,-23.62769945341492,81.80414904443656,2
134.9253364171458,-23.204634949011343,84.0479018552877,1
140.32234987383163,-22.980384892918227,82.52432736276408,1
145.9352438687849,-22.812046155365977,83.32319249234848,1
151.7726536235363,-22.321817311250836,83.21934255705732,1
157.84355976847777,-21.886146663481217,81.80633550095186,1
164.1573021592169,-21.570785982704276,81.57940002989574,1
170.7235942455856,-21.37417265943264,82.15055919928537,1
177.55253801540903,-21.032207157149053,81.1076080385055,1
184.6546395360254,-20.589908207591435,81.07751340221148,1
192.04082511746643,-20.516695364334385,81.71257154083409,1
199.72245812216508,-20.04385335377432,80.90484739311148,1
207.71135644705168,-19.72195097936534,79.52451464210945,1
216.01981070493375,-19.509661850264244,79.71362021206991,1
224.6606031331311,-19.17490798465076,79.58647390351959,1
233.64702725845635,-18.88087238735824,78.86579283724082,1
242.9929083487946,-18.595681145659334,78.96101009183354,1
252.7126246827464,-18.284033625503774,78.44517784889914,1
262.8211296700563,-17.856696271537114,79.03911374714934,1
273.33397485685856,-17.658568516267525,77.6376641200709,1
284.2673338511329,-17.409037481963416,78.54533673659331,1
295.6380272051782,-16.936703099849936,77.78258510418459,1
307.4635482933854,-16.578616072544058,77.9084159173882,1
319.7620902251208,-16.30786536330549,77.09593438795996,1
332.55257383412567,-16.045356089020466,76.5719016354333,1
345.8546767874907,-15.604560412598788,76.25957997183048,1
359.6888638589903,-15.437692680275314,76.21006589320946,1
374.0764184133499,-15.202070130589776,75.45435698773854,1
389.0394751498839,-14.401865160580284,75.79414210806021,1
404.6010541558793,-14.48367395491943,75.24172429447164,1
420.7850963221145,-14.2717326239494,74.57089036360244,1
437.6165001749991,-13.869449283160463,74.80561723159155,1
455.1211601819991,-13.604573533638668,73.74617522106116,1
473.3260065892791,-13.36227781811848,73.04227747780405,1
492.25904685285025,-13.056414827630345,73.058038858159,1
511.9494087269643,-12.88457341172415,72.09494975027337,1
532.4273850760429,-12.509100076884973,72.06559439370587,1
553.7244804790846,-12.104193415574157,71.93222275326923,1
575.873459698248,-11.797565273851209,71.61816789479752,1
598.908398086178,-11.485640158765209,71.13969710506048,1
622.8647340096251,-11.182178326803607,70.55749649768245,1
647.77932337001,-10.928372236065165,70.01579457429412,1
673.6904963048105,-10.638320387317808,69.39084751809747,1
700.638116157003,-10.358737276342346,68.91739189291039,1
728.6636408032831,-10.123449751391574,68.30570641314853,1
757.8101864354145,-9.902836001507525,67.31803960884989,1
788.1225938928311,-9.50219508489585,67.09443919733404,1
819.6474976485443,-9.159563741606345,66.92320875378198,1
852.4333975544862,-8.979795652935938,65.96702237821859,1
886.5307334566656,-8.67950033605825,65.37680768975562,1
921.9919627949323,-8.372900151663659,64.92457212109164,1
958.8716413067297,-8.11351025693217,64.08308790149111,1
997.2265069589989,-7.796120897494654,63.50761443429022,1
1037.1155672373588,-7.502123361899609,62.93165403153069,1
1078.6001899268533,-7.298420104008951,62.08279652106288,1
1121.7441975239276,-6.9764395775374135,61.58699458452885,1
1166.6139654248848,-6.657634666186071,60.677594576764704,1
1213.2785240418802,-6.366963291890115,60.06959126373221,1
1261.8096650035554,-6.109460208263638,59.280581776291115,1
1312.2820516036977,-5.81481580202682,58.46343909885326,1
1364.7733336678457,-5.585103386962951,57.84758698422927,1
1419.3642670145596,-5.340584651597478,56.44169524633698,1
1476.138837695142,-5.0556143602933306,55.570842476941756,1
1535.1843912029478,-4.769249816059889,54.90335023200984,1
1596.5917668510658,-4.546271363360354,53.64353059409479,1
1660.4554375251084,-4.228968815244154,53.055765778480804,1
1726.8736550261128,-4.012940577626867,52.08175310661438,1
1795.9486012271575,-3.786930549594965,51.06637094014657,1
1867.786545276244,-3.534622022756488,50.09182301271194,1
1942.4980070872937,-3.2727462426259777,49.009820163901004,1
2020.1979273707855,-3.0137097529401737,47.92792467018368,1
2101.005844465617,-2.747287395096714,45.01230776237962,1
