Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-20.92778725638246,-92.19611937016737,1
41.6,-20.30069032028287,-93.26518472748387,1
43.264,-20.360312256394227,-92.92459087775296,1
44.99456000000001,-19.790005820660145,-92.69127284565441,1
46.79434240000001,-19.313423384789072,-92.89914057011313,1
48.66611609600002,-19.04941950119007,-93.33057519788062,1
50.61276073984002,-18.750790981208844,-93.27104515088463,1
52.637271169433625,-18.238961235985673,-94.17779291831218,1
54.742762016210975,-17.950048594205814,-92.95472146850338,1
56.93247249685942,-17.644897491040844,-92.93972862394536,1
59.2097713967338,-17.312752102627236,-94.45014322162235,1
61.57816225260316,-16.989352664908562,-93.94845085378788,1
64.04128874270728,-16.707025107008967,-94.42681427088337,1
66.60294029241557,-16.3311653818549,-94.85502652259532,1
69.26705790411219,-15.859480179261833,-94.54665556650784,1
72.03774022027669,-15.553816541448574,-95.16250165418914,1
74.91924982908776,-15.134107030372792,-95.41134461371307,1
77.91601982225127,-14.95954066815106,-95.80723179998036,1
81.03266061514132,-14.598587917376616,-95.7224964491196,1
84.27396703974698,-14.108468233684743,-95.9683321267441,1
87.64492572133686,-13.841690470230462,-96.57337537349682,1
91.15072275019034,-13.576453654577875,-96.40100771732375,1
94.79675166019796,-13.112186315344104,-96.67427843744628,1
98.58862172660588,-12.804041848501102,-97.11265707676024,1
102.53216659567012,-12.413052714495194,-97.46617491301869,1
106.63345325949693,-12.11771130282388,-98.01117744537464,1
110.89879138987682,-11.6488560317557,-97.90306760284562,1
115.3347430454719,-11.25435909989196,-98.2137700950901,1
119.94813276729077,-10.864390954939477,-98.45076761042043,1
124.74605807798241,-10.502290054784153,-98.76295016914015,1
129.7359004011017,-10.161131080434824,-99.46683324470615,1
134.9253364171458,-9.840589666481815,-99.92405643727648,1
140.32234987383163,-9.495517966465487,-100.38288788762468,1
145.9352438687849,-9.17675039505238,-100.89211974557902,1
151.7726536235363,-8.891444302556481,-101.3695103439419,1
157.84355976847777,-8.368001820837051,-101.80247536971517,1
164.1573021592169,-7.879050445062769,-102.29203553312286,1
170.7235942455856,-7.662787775124836,-102.91893078976557,1
177.55253801540903,-7.213254756334585,-103.35248889269772,1
