Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-21.614093967936537,-90.80038156989707,1
41.6,-21.295471702439347,-91.14757435375984,1
43.264,-20.89839655898643,-91.07885505743113,1
44.99456000000001,-20.565076318751142,-91.98128733092125,1
46.79434240000001,-20.11278337047647,-91.67947324473501,1
48.66611609600002,-19.772001425774718,-91.70290107751043,1
50.61276073984002,-19.46801758859482,-91.9358180570132,1
52.637271169433625,-18.973743374387773,-91.54425648481077,1
54.742762016210975,-18.700181870103098,-92.15732616851804,1
56.93247249685942,-18.480645363435308,-91.83912860897934,1
59.2097713967338,-18.26807533813917,-92.04528841083139,1
61.57816225260316,-17.79153846399321,-92.30755727203928,1
64.04128874270728,-17.54653913187975,-92.30807310758838,1
66.60294029241557,-17.22375890180195,-93.5301122459341,1
69.26705790411219,-16.798230849636326,-92.73832958139671,1
72.03774022027669,-16.341568244999017,-92.60994629406801,1
74.91924982908776,-16.11874688851173,-93.35382937828871,1
77.91601982225127,-15.873288215461805,-93.1133350127459,1
81.03266061514132,-15.638965499246055,-93.32216838799076,1
84.27396703974698,-15.162069288931626,-92.68534017918698,1
87.64492572133686,-14.787047358491165,-93.5267914204235,1
91.15072275019034,-14.443668352490205,-93.76799947781768,1
94.79675166019796,-14.06541165136693,-93.01518196977909,1
98.58862172660588,-13.713830652554279,-93.89928388940365,1
102.53216659567012,-13.474978543676045,-93.67741945245241,1
106.63345325949693,-13.137978364623788,-94.50897129021726,1
110.89879138987682,-12.656729069957844,-94.70577243926114,1
115.3347430454719,-12.26089372342943,-94.2304925107585,1
119.94813276729077,-11.841549692638893,-94.43075749550493,1
124.74605807798241,-11.539035803675162,-94.56424842808312,1
129.7359004011017,-11.276235825159477,-94.8146520045077,1
134.9253364171458,-10.945362220696204,-94.76547464340035,1
140.32234987383163,-10.629584244332289,-95.34140244460349,1
145.9352438687849,-10.347855829579565,-95.68467101290622,1
151.7726536235363,-10.053129862916853,-96.09066597720198,1
157.84355976847777,-9.63867885367439,-95.9877977285145,1
164.1573021592169,-9.252384879258326,-96.15143744443974,1
170.7235942455856,-8.978384361439552,-96.44323140185952,1
177.55253801540903,-8.623663889629412,-96.46079796287971,1
184.6546395360254,-8.271088919301137,-97.06279925481589,1
192.04082511746643,-7.9786154158967815,-97.28539505594892,1
199.72245812216508,-7.601986894638641,-97.43840772785985,1
207.71135644705168,-7.226636961586535,-97.78458232573436,1
216.01981070493375,-7.013654427820798,-98.26511872728949,1
224.6606031331311,-6.643137734719235,-98.69102956047703,1
233.64702725845635,-6.343553504938089,-99.09385274191081,1
242.9929083487946,-5.990132360214319,-99.27209153614933,1
252.7126246827464,-5.641533527516675,-99.70117609847718,1
262.8211296700563,-5.319617991026373,-100.19467521440936,1
273.33397485685856,-4.962492583371013,-100.63190779909397,1
284.2673338511329,-4.690772276248662,-100.9590888851381,1
295.6380272051782,-4.2343802975435,-101.09756928042363,1
307.4635482933854,-3.8337404534571107,-101.44562607626318,1
319.7620902251208,-3.4850233683144576,-101.92303528339377,1
332.55257383412567,-3.26843500593302,-102.6439950181921,1
345.8546767874907,-2.833662750990983,-102.813199750231,1
359.6888638589903,-2.5267378417788096,-103.30598572160265,1
374.0764184133499,-2.2577952350388806,-104.07265081590842,1
389.0394751498839,-1.846811215797751,-104.58838164504436,1
404.6010541558793,-1.5556039713753147,-104.93150905106808,1
420.7850963221145,-1.2694792805772845,-105.83212228520011,1
437.6165001749991,-0.8597565072289839,-106.164012565581,1
455.1211601819991,-0.5174230605888296,-106.83904383164477,1
473.3260065892791,-0.2258046778300894,-107.54705922603729,1
492.25904685285025,0.052239538868436936,-108.32107370149267,1
511.9494087269643,0.2857593596410472,-109.17058543129218,1
532.4273850760429,0.6813866168352202,-110.0188890542457,1
553.7244804790846,1.1200687980380464,-110.25694874712133,1
575.873459698248,1.46565956527873,-111.02459669132213,1
598.908398086178,1.8354657703718356,-111.73751681491095,1
622.8647340096251,2.167336604031051,-112.57612249782267,1
647.77932337001,2.439497171224272,-113.79561264585502,1
673.6904963048105,2.741882548170932,-114.62053482722625,1
700.638116157003,3.0265985035676355,-115.9212897902296,1
728.6636408032831,3.308694551749199,-117.13352684072811,1
757.8101864354145,3.5768489859325117,-118.33963452373422,1
788.1225938928311,4.027306249190115,-118.84614165811651,1
819.6474976485443,4.394175176776386,-119.99954674789858,1
852.4333975544862,4.5788580721162875,-121.61148217871573,1
886.5307334566656,4.970292987656016,-122.427055095039,1
921.9919627949323,5.352029333658075,-123.67508319429344,1
958.8716413067297,5.6488123724059305,-125.32766560193946,1
997.2265069589989,6.042577187749124,-126.47685829762366,1
1037.1155672373588,6.381235753709474,-128.03261352964338,1
1078.6001899268533,6.671255893204019,-129.81196655738552,1
1121.7441975239276,7.082256747069305,-131.3178815500923,1
1166.6139654248848,7.477461661598418,-132.76443703798537,1
1213.2785240418802,7.8384381469633535,-134.61553777014456,1
1261.8096650035554,8.191684021482272,-136.60159727969392,1
1312.2820516036977,8.551465195031797,-138.7297108804175,1
1364.7733336678457,8.899707464986145,-140.95933135355568,1
1419.3642670145596,9.273409437790644,-143.3598790283451,1
1476.138837695142,9.631757326575409,-145.5652797995461,1
1535.1843912029478,10.00012441803801,-148.00264686518014,1
1596.5917668510658,10.337210306284241,-151.34445051578552,1
1660.4554375251084,10.720609312068,-154.13257102278823,1
1726.8736550261128,11.074501935649838,-157.5411421326691,1
1795.9486012271575,11.407304163632688,-161.20527839377536,1
1867.786545276244,11.71694053719352,-165.28832319197699,1
1942.4980070872937,12.008452791050356,-169.49146276379105,1
2020.1979273707855,12.257309763314776,-174.00614800034836,1
2101.005844465617,12.482970618469526,-179.1428896024768,1
2185.046078244242,12.614836709874284,175.85329521767997,1
2272.4479213740115,12.789925267013471,170.48835736811296,1
2363.345838228972,12.780688197669543,165.28764982687304,1
2457.879671758131,12.910917894728133,159.1762165057182,1
2556.194858628456,12.671246002643791,153.783487304831,1
2658.4426529735942,12.623788749338928,147.7436809483645,1
2764.780359092538,12.386015199999806,141.93675736107411,1
2875.3715734562397,12.019804567742419,136.3947069503008,1
2990.3864363944895,11.782011003535136,130.869844452699,1
3110.001893850269,11.182559807703521,125.38404997281197,1
3234.4019696042797,10.884777513695498,120.68028913746906,1
3363.7780483884508,10.274538874395644,115.72119842158406,1
3498.329170323989,9.77263848040161,111.33200685454565,1
3638.2623371369486,9.25506482453814,107.38617810400206,1
3783.7928306224267,8.546351397888827,102.19153203019141,1
3935.144543847324,8.124214591887018,100.10680513412719,1
4092.550325601217,7.404178303055021,95.40796548463794,1
4256.252338625266,6.7304542637067994,91.47204251474597,1
4426.502432170277,6.228759758972707,89.8996828517086,1
4603.562529457088,5.788008998647785,92.26761278403114,1
4787.705030635372,4.918951383380117,82.53410045859022,1
4979.213231860787,4.265423146328297,79.75990531858558,1
5178.381761135219,3.5011608240343435,76.54127085177102,1
5385.517031580628,3.1240960156434254,76.88104795000731,1
5600.937712843854,2.3048661092360367,72.71211338800101,1
5824.975221357608,1.784656290685691,72.02794811891889,1
6057.974230211912,1.0712156649616333,68.72908378866202,1
6300.293199420389,0.5874522884427927,67.77092585312374,1
6552.304927397205,0.01947198668855492,64.59006808344736,1
6814.397124493093,-0.4819069218924127,63.90508409199411,1
7086.973009472817,-1.0796432463789216,59.516309235159525,1
