Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-20.325543625323803,-90.56926202611396,1
41.6,-20.08012472744113,-90.62323473911601,1
43.264,-19.682268150635274,-91.5262870882317,1
44.99456000000001,-19.29417585317883,-91.4415095584763,1
46.79434240000001,-18.813707028326714,-88.14432965457816,1
48.66611609600002,-18.499448652176213,-90.6373297186748,1
50.61276073984002,-18.351572850672188,-90.67736239822823,1
52.637271169433625,-17.750089682120194,-91.31798790052378,1
54.742762016210975,-17.71027694731691,-91.54755139525706,1
56.93247249685942,-17.455491380566325,-91.54003145160688,1
59.2097713967338,-17.148986925082745,-91.79103804540453,1
61.57816225260316,-16.89512709620623,-91.89176506720935,1
64.04128874270728,-16.43600566019105,-91.36315633643697,1
66.60294029241557,-16.148152121412302,-88.63281293914474,1
69.26705790411219,-15.613923085891496,-91.28351486418484,1
72.03774022027669,-15.191514632079505,-90.7931237161682,1
74.91924982908776,-14.937902058806566,-92.11683139379284,1
77.91601982225127,-14.596078264175874,-91.40039793448207,1
81.03266061514132,-14.443321430431808,-92.06789109828748,1
84.27396703974698,-13.999088249121524,-90.76084776088435,1
87.64492572133686,-13.740405920201852,-91.99055457186782,1
91.15072275019034,-13.384137642843736,-92.33690823592525,1
94.79675166019796,-12.908352521117017,-92.18078169688319,1
98.58862172660588,-12.695117278781563,-92.05144678105975,1
102.53216659567012,-12.385831033136183,-92.01796101093564,1
106.63345325949693,-12.037258863202345,-92.0602326218209,1
110.89879138987682,-11.600372858630411,-92.2106954385182,1
115.3347430454719,-11.20165860799687,-92.93770694832288,1
119.94813276729077,-10.877631113351166,-92.24321945512875,1
124.74605807798241,-10.567212089344777,-92.45356217214965,1
129.7359004011017,-10.325319432721502,-92.75244810593716,1
134.9253364171458,-9.946880943140929,-92.85146325413182,1
140.32234987383163,-9.604757721434034,-93.02814110594174,1
145.9352438687849,-9.400415408502715,-92.96780741248114,1
151.7726536235363,-9.073207999043381,-93.40196664013109,1
157.84355976847777,-8.726382178442828,-93.45531333847289,1
164.1573021592169,-8.271136191677718,-93.58691418473265,1
170.7235942455856,-7.957921138471014,-93.7198014708244,1
177.55253801540903,-7.6029568640103635,-93.42006497279417,1
184.6546395360254,-7.278874100684392,-93.94349194883071,1
192.04082511746643,-7.074951425899425,-94.35979790076891,1
199.72245812216508,-6.617040570351342,-93.99771694615411,1
207.71135644705168,-6.1182579809756525,-94.24167147624783,1
216.01981070493375,-5.995404155883915,-94.68313093701339,1
224.6606031331311,-5.692239544151487,-94.8312147945054,1
233.64702725845635,-5.360710163157751,-95.14090652822165,1
242.9929083487946,-4.97069554574781,-95.39596597856837,1
252.7126246827464,-4.664138353502945,-95.56077918540576,1
262.8211296700563,-4.360944187154829,-95.8998247809862,1
273.33397485685856,-4.068264192552852,-96.0009355228218,1
284.2673338511329,-3.7202815665719258,-96.26273212646583,1
295.6380272051782,-3.3840801795948487,-96.53976768533796,1
307.4635482933854,-2.9344784189933275,-96.57781112031464,1
319.7620902251208,-2.6804742281373923,-97.022938231485,1
332.55257383412567,-2.4932357309150897,-97.49749383053079,1
345.8546767874907,-2.0412180684664314,-97.78127617002063,1
359.6888638589903,-1.7204268320453162,-97.76532659753354,1
374.0764184133499,-1.4197678011834256,-98.0228119211222,1
389.0394751498839,-1.009374102121664,-98.29203165539157,1
