Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.035946655257874,87.64766003843127,2
40.4,-22.95340102039264,87.19816112740237,1
40.804,-22.63539326542444,86.77311178479408,1
41.21204,-22.772035217869306,86.30374076732156,1
41.6241604,-22.675429177250784,86.49933838432295,2
42.040402004,-22.63821908884435,86.58495623344861,2
42.460806024040004,-22.665581031893343,87.14236861550961,1
42.885414084280406,-22.213125404149817,86.68509570970258,1
43.31426822512321,-22.34996487873676,86.0232936711057,1
43.74741090737444,-22.23747393522819,86.8996173726705,1
44.184885016448185,-22.190916910156496,85.70683057749828,1
44.62673386661267,-22.26226779401799,87.10190027523174,2
45.07300120527879,-21.904599090453136,86.35684455410544,1
45.52373121733158,-21.94525032504357,86.15323755371494,1
45.9789685295049,-21.896029086834535,86.99626366983914,1
46.43875821479995,-21.708064748481476,86.78918192331771,1
46.903145796947946,-21.687822591923368,86.97982645102735,1
47.372177254917425,-21.530880708372763,86.6874333158591,1
47.8458990274666,-21.56871418536871,86.52580946912875,1
48.32435801774127,-21.416170753577173,86.21299550838363,1
48.80760159791868,-21.206491434206303,86.22031553244392,1
49.29567761389787,-21.264025643589573,85.9611345109093,1
49.788634390036854,-21.10796528667137,86.6418732093573,1
50.28652073393722,-21.098712316190696,86.55030933527748,1
50.7893859412766,-20.985151627805607,85.99327318893404,1
51.29727980068937,-20.916795839098267,85.05643089740396,1
51.81025259869626,-20.767443822981853,85.59030920257624,1
52.32835512468322,-20.54569538213033,86.37228744765889,1
52.851638675930054,-20.566381537134458,86.09893699103549,1
53.380155062689354,-20.635387823522816,86.68176329273517,1
53.91395661331625,-20.722842317004847,85.70941143533759,1
54.45309617944942,-20.256041486905062,85.30816250159793,1
54.99762714124391,-20.178779623884353,85.5248508283679,1
55.54760341265635,-20.05974829692523,86.18180349214285,1
56.103079446782914,-20.13507891771821,85.48735966135965,1
56.66411024125075,-20.085449252553182,85.21683280839639,1
57.23075134366326,-19.879822254395258,85.27809360714264,1
57.80305885709989,-19.786550448083318,85.92415228998465,1
58.38108944567089,-19.783375177775888,85.36946818888461,1
58.9649003401276,-19.828782153783674,85.59797710436521,1
59.554549343528876,-19.555854482518892,85.50410932473493,1
60.150094836964165,-19.390636092473606,85.55104048927682,1
60.751595785333805,-19.479870189770615,85.39388521410841,1
61.35911174318714,-19.346279207330593,85.49600879504298,1
61.972702860619016,-19.19271866320019,85.27808724451307,1
62.59242988922521,-19.075542662177405,84.91072649220814,1
63.21835418811746,-19.13007602783587,84.93902525757392,1
63.850537729998635,-19.057116512531447,84.87336886008075,1
64.48904310729863,-18.851164174149876,84.96586426493431,1
65.13393353837161,-18.673993831110444,84.62918570666305,1
65.78527287375532,-18.735796548131,84.60476177850086,1
66.44312560249287,-18.60640948204951,86.08919784351212,1
67.1075568585178,-18.435683567927708,84.89404048831182,1
67.77863242710298,-18.35021771441235,85.2163289818343,1
68.456418751374,-18.502071087809274,84.6716881708964,1
69.14098293888775,-18.29318680330871,84.91840367743337,1
69.83239276827662,-18.1013631794451,84.56272288782904,1
70.53071669595938,-18.141695017903366,83.94571665391399,1
71.23602386291898,-18.063675088069242,84.46867976056895,1
71.94838410154817,-17.860596227805527,84.27754960793015,1
72.66786794256366,-17.77945490167301,84.90068034740233,1
73.39454662198929,-17.81387384900517,84.37110883089414,1
74.12849208820919,-17.628695401900593,83.83394661911716,1
74.86977700909128,-17.485102261925213,84.89823576673467,1
75.6184747791822,-17.497309202746056,84.50106106637432,1
76.37465952697401,-17.413856220417202,84.6927610350629,1
77.13840612224375,-17.202552176056358,84.43081317698363,1
77.90979018346619,-17.24248521187004,83.63669465504483,1
78.68888808530085,-17.145737118750592,83.85575896243176,1
79.47577696615386,-16.918365950103368,84.23260036330878,1
80.2705347358154,-17.038249018036026,83.47911675974184,1
81.07324008317356,-16.88719812134059,84.18598868127886,1
81.8839724840053,-16.688634727909086,83.9057567416221,1
82.70281220884536,-16.585413463131186,83.229196636484,1
83.52984033093381,-16.671024757833003,83.5842387563053,1
84.36513873424315,-16.396126401208576,83.78778420285539,1
85.20879012158558,-16.352656345129322,83.64603703883317,1
86.06087802280143,-16.360215484451057,83.39977228194152,1
86.92148680302945,-16.11224140844157,83.2809688405714,1
87.79070167105975,-16.183065994579284,83.13952311596066,1
88.66860868777034,-16.09399524482641,83.03377888755438,1
89.55529477464805,-15.82958175241712,83.14017919188974,1
90.45084772239453,-15.924581442160541,82.63993297292882,1
91.35535619961847,-15.794316614982538,83.13543789258667,1
92.26890976161465,-15.59356552605896,82.67776094781385,1
93.1915988592308,-15.677388679746532,82.46920843466788,1
94.1235148478231,-15.491372342201354,82.36222418030383,1
95.06474999630133,-15.376640467195477,82.6346255515613,1
96.01539749626434,-15.347438612246938,82.57246181274972,1
96.97555147122699,-15.20078252246837,82.95563711156166,1
97.94530698593927,-15.216459808146267,82.69804051101194,1
98.92476005579866,-15.054495454195324,82.36077923738493,1
99.91400765635665,-14.998504987464257,82.41946626430695,1
100.91314773292021,-14.908684706233394,82.35617697328684,1
101.92227921024941,-14.681418461640156,82.1146359924686,1
102.94150200235191,-14.753212710097344,81.89448910328225,1
103.97091702237543,-14.536163673087206,82.1942269236688,1
105.01062619259919,-14.391676628960493,81.91322897869964,1
106.06073245452518,-14.416767987559357,81.60381635133884,1
107.12133977907044,-14.427760281332814,81.67779576244911,1
108.19255317686114,-14.249429895273545,81.64586812122859,1
109.27447870862976,-14.076564442462944,81.91257841304146,1
110.36722349571606,-13.986664993794044,81.72372280477416,1
111.47089573067322,-14.021319632406453,81.21113582837286,1
