Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.607845907399042,88.65665827074754,1
40.4,-23.62201086794068,90.11383759077047,2
40.804,-23.462202094447672,87.91133924930159,1
41.21204,-23.566225946401364,88.52485778462746,1
41.6241604,-23.439416579852203,88.12602240502947,1
42.040402004,-23.165101372162624,88.97198871705021,1
42.460806024040004,-23.124525362059718,88.91793088926728,1
42.885414084280406,-23.003955333074007,87.62629764829467,2
43.31426822512321,-23.04056177440449,88.19802883442351,1
43.74741090737444,-22.744010607939536,88.52082877144821,1
44.184885016448185,-23.001149787360866,87.58157273833245,1
44.62673386661267,-22.715658729861897,88.45576977406097,1
45.07300120527879,-22.52375159706107,88.32232776258618,1
45.52373121733158,-22.519560227548023,88.5900629866871,1
45.9789685295049,-22.377119154227294,88.81404551674328,1
46.43875821479995,-22.528225152823104,88.38042857833997,1
46.903145796947946,-22.298902238057906,87.42607661441878,1
47.372177254917425,-22.10175104568693,88.92171700896468,1
47.8458990274666,-22.052866049978306,88.31534716034118,1
48.32435801774127,-22.002736158239234,87.85390480785041,1
48.80760159791868,-21.977955817064878,87.78887098144207,1
49.29567761389787,-21.783646092412443,86.62205079222565,1
49.788634390036854,-21.713157368640776,88.19268375468685,1
50.28652073393722,-21.71298871348496,87.68406215871562,1
50.7893859412766,-21.540707413051962,89.30915025636273,1
51.29727980068937,-21.675795081688758,88.23105300943052,1
51.81025259869626,-21.390275041536235,88.21467489356286,1
52.32835512468322,-21.17054394414976,87.89134257332898,1
52.851638675930054,-21.254917183956266,88.69193513153402,1
53.380155062689354,-21.20137324446071,87.46374941600082,1
53.91395661331625,-21.153327239220225,88.1110096167804,1
54.45309617944942,-20.961423358788846,88.10912692218011,1
54.99762714124391,-20.832544995043097,87.96410116920794,1
55.54760341265635,-20.771682198774137,88.24822732962092,1
56.103079446782914,-20.787280927396033,88.2044782094162,1
56.66411024125075,-20.72003398899895,87.55402512875841,1
57.23075134366326,-20.411856360476527,87.88503742362195,1
57.80305885709989,-20.439709999995582,87.20092785237665,1
58.38108944567089,-20.406635326561737,88.14737132604945,1
58.9649003401276,-20.39034158744564,87.56603155020359,1
59.554549343528876,-20.103085039546823,88.04024783084616,1
60.150094836964165,-20.160623783670804,87.78981126313904,1
60.751595785333805,-20.11593573464373,88.03730169051768,1
61.35911174318714,-20.04254970835725,87.74920219074345,1
61.972702860619016,-19.824880827061047,87.56956618559258,1
62.59242988922521,-19.76678972991052,87.44789308076287,1
63.21835418811746,-19.841293798288046,87.56853151500925,1
63.850537729998635,-19.60999939426796,87.76851034349912,1
64.48904310729863,-19.45031962507688,87.43998109411821,1
65.13393353837161,-19.350582662668426,87.09029980131082,1
65.78527287375532,-19.43628238852288,87.26898377921881,1
66.44312560249287,-19.39908604716352,87.34890123107006,1
67.1075568585178,-19.058601030938473,87.77132858584326,1
67.77863242710298,-19.109531174317592,88.16322237857287,1
68.456418751374,-19.143212061208608,86.69967570168401,1
