Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.964252874795815,89.23206413712703,1
40.4,-22.905096416338285,89.08275603908334,1
40.804,-22.826961204504983,89.28795824364681,1
41.21204,-22.896126126990282,89.47321235661434,1
41.6241604,-22.443086040148078,88.3782781214872,1
42.040402004,-22.481166775868335,88.12890732098829,1
42.460806024040004,-22.516878420280616,88.34090231583458,1
42.885414084280406,-22.338236374458617,89.50629920475467,1
43.31426822512321,-22.401466540420728,89.07752922546942,1
43.74741090737444,-22.278325942100935,89.25975617709122,1
44.184885016448185,-22.365674248945922,89.38167834744928,1
44.62673386661267,-22.116647634056527,88.64457990278856,1
45.07300120527879,-22.046166920413288,90.02529137713279,1
45.52373121733158,-21.665037564348605,87.38369479677034,1
45.9789685295049,-21.75116014155688,87.80233472812375,1
46.43875821479995,-21.87972058341314,90.57300207632304,1
46.903145796947946,-21.781514028114195,88.64005910536883,1
47.372177254917425,-21.61585028198468,88.76654993348907,1
47.8458990274666,-21.44124228003461,88.59922667817081,1
48.32435801774127,-21.440654687492753,88.38342289160833,1
48.80760159791868,-21.160475104273907,88.13148003999419,1
49.29567761389787,-21.225761843298045,87.71662379433599,1
49.788634390036854,-21.197050589697884,88.840295773098,1
50.28652073393722,-21.093506906274047,88.23640070376447,1
50.7893859412766,-21.00797423222639,88.6529529484718,1
51.29727980068937,-21.06300489150707,87.82657714311722,1
51.81025259869626,-20.665794658251883,88.43170398190563,1
52.32835512468322,-20.548737998159197,89.39947921207295,1
52.851638675930054,-20.553831197586966,89.1125478327159,1
53.380155062689354,-20.701463347727238,88.08469916983178,1
53.91395661331625,-20.61756613166235,89.27565676222173,1
54.45309617944942,-20.20883450384319,88.65170683517607,1
54.99762714124391,-20.212602439338042,89.17067406231368,1
55.54760341265635,-20.104071930161656,89.06427898362519,1
56.103079446782914,-20.203355813650845,88.915486463392,1
56.66411024125075,-20.282653985519485,89.18618691372205,1
57.23075134366326,-19.858707017689827,88.80474893149494,1
57.80305885709989,-19.843266981493773,88.33804251175087,1
58.38108944567089,-19.898980004529793,89.11600109640102,1
58.9649003401276,-19.742983005620765,88.9790638898537,1
59.554549343528876,-19.456691515349867,88.97830176528026,1
60.150094836964165,-19.400462661351174,92.60141111750661,1
60.751595785333805,-19.429107733958833,88.69132287727268,1
61.35911174318714,-19.310279498143842,88.50875254450466,1
61.972702860619016,-19.18433499257264,89.05461331250302,1
62.59242988922521,-19.07069515133588,89.1490412630061,1
63.21835418811746,-19.187586583799913,88.57003388727745,1
63.850537729998635,-19.08677633807063,88.80421079329297,1
64.48904310729863,-18.868895861370518,88.66088574764103,1
65.13393353837161,-18.723477059996316,89.01705108265418,1
65.78527287375532,-18.896814259616004,88.03209711940517,1
66.44312560249287,-18.82228719266431,87.4793286199569,1
67.1075568585178,-18.46895924486428,88.78694859425553,1
67.77863242710298,-18.492606907849137,88.63314036295704,1
68.456418751374,-18.459529836524354,88.21708610512016,1
69.14098293888775,-18.044089797939936,88.29955739802485,1
69.83239276827662,-18.017681117238148,87.96229032748755,1
70.53071669595938,-18.20541379531365,87.73078900450427,1
71.23602386291898,-17.968725374117387,88.2562426137365,1
71.94838410154817,-17.844049857458668,88.050077918841,1
72.66786794256366,-17.859624283315846,88.5366380757024,1
73.39454662198929,-17.938995890914207,88.11282509061198,1
74.12849208820919,-17.67468219885896,88.84379649737609,1
74.86977700909128,-17.527110545275562,88.18989623599386,1
75.6184747791822,-17.55307980835475,87.83851430268038,1
76.37465952697401,-17.464644135754206,88.5807519701362,1
77.13840612224375,-17.301235172218426,88.39163296971168,1
77.90979018346619,-17.316825768077784,87.5911783773514,1
78.68888808530085,-17.313812431135375,88.39488592828488,1
79.47577696615386,-16.994927501297035,87.96478397895575,1
80.2705347358154,-17.013531666572593,87.85288246655584,1
81.07324008317356,-16.973985577491597,87.98345959554588,1
81.8839724840053,-16.777163908740004,87.8527631709037,1
82.70281220884536,-16.693580298611632,87.77154380183947,1
83.52984033093381,-16.73160526233167,87.87394425695122,1
84.36513873424315,-16.54067760815315,87.86944834315815,1
85.20879012158558,-16.54123267789224,88.13191610756766,1
86.06087802280143,-16.420111125428836,87.57147710588195,1
86.92148680302945,-16.21320362416791,87.72342775792458,1
87.79070167105975,-16.26516444255415,88.07986430895357,1
88.66860868777034,-16.168534663609613,87.79976545480167,1
89.55529477464805,-15.975012282293736,87.78967567162057,1
90.45084772239453,-16.077670007744004,88.27271206668117,1
91.35535619961847,-15.80472148239219,87.88640183966018,1
92.26890976161465,-15.670508823225036,88.18327058988768,1
93.1915988592308,-15.813879507020033,87.37408557115103,1
94.1235148478231,-15.56160356552254,87.79889193979258,1
95.06474999630133,-15.602257928621617,87.25649632921686,1
96.01539749626434,-15.462917450846868,87.5050401407735,1
96.97555147122699,-15.336052151480981,86.60926514331982,1
97.94530698593927,-15.333182114703275,87.76080491097966,1
98.92476005579866,-15.131637865022295,87.6061303109607,1
99.91400765635665,-15.104501130138225,87.60103648863374,1
100.91314773292021,-15.080993366300065,88.1143117198701,1
101.92227921024941,-14.810755397885737,87.54304076276196,1
102.94150200235191,-14.945372365901521,87.13777132545462,1
103.97091702237543,-14.699145276356468,87.45114789407059,1
105.01062619259919,-14.535367245463673,87.60038085162842,1
106.06073245452518,-14.641196264134413,87.36628102957283,1
107.12133977907044,-14.625947494044116,87.56158466945445,1
108.19255317686114,-14.41515516071733,87.28008186079475,1
109.27447870862976,-14.227078457225096,87.094845697567,1
110.36722349571606,-14.18537911276278,87.18929444075472,1
111.47089573067322,-14.230536317339366,87.31520888613558,1
112.58560468797995,-14.190263656575452,87.10524588500188,1
113.71146073485976,-13.884470476588524,87.59116897289368,1
114.84857534220835,-13.681581089370873,86.90104084405465,1
115.99706109563043,-13.842974296655651,86.9450729127573,1
117.15703170658674,-13.833711359592415,87.12698147839376,1
118.3286020236526,-13.661416245158337,87.59821623062857,1
119.51188804388913,-13.478821285944749,87.0929210850482,1
120.70700692432803,-13.405759704306819,87.07366018923173,1
121.91407699357131,-13.432309373577743,87.04964624743106,1
123.13321776350703,-13.351254256365282,86.98839851586301,1
124.3645499411421,-13.150464843620158,87.13509017298838,1
125.60819544055353,-13.161653120206488,87.07029246558204,1
126.86427739495906,-13.162468886857994,86.46576219496694,1
128.13292016890864,-12.983104939301663,86.54681894141903,1
129.41424937059773,-12.747051162894733,87.12471317371075,1
130.7083918643037,-12.845332685682285,87.23281165846745,1
132.01547578294674,-12.816118024553827,86.84849272230406,1
133.3356305407762,-12.569298839962416,87.19217591861208,1
134.66898684618397,-12.43092110514173,86.99735491511507,1
136.01567671464582,-12.501990869301922,86.65662007059909,1
137.37583348179228,-12.449473563944178,86.54445561156389,1
138.7495918166102,-12.135103974833918,86.7136694043334,1
140.13708773477632,-12.156646033451324,86.6108415347254,1
141.5384586121241,-12.181940469440548,86.58502228667213,1
142.95384319824532,-11.945329608649537,86.41956570747983,1
144.38338163022777,-11.868906867016252,86.50138399977891,1
145.82721544653006,-11.905090150715646,86.32334821036234,1
