Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.366672341269986,87.14968402636578,2
40.4,-24.28819922734458,88.31453855547304,2
40.804,-24.007956520834334,86.99093498203445,2
41.21204,-23.959239992841944,88.93415183633103,2
41.6241604,-23.829926426053714,87.91234107572781,2
42.040402004,-23.644639979390845,87.60514359518221,1
42.460806024040004,-23.78493648740795,87.81671415570187,2
42.885414084280406,-23.387286712119582,86.69883435557381,1
43.31426822512321,-23.438646425416593,87.66763717800677,2
43.74741090737444,-23.351713934145415,86.72161457850235,2
44.184885016448185,-23.274356699171225,87.26547934379775,2
44.62673386661267,-23.084904372318164,86.5327610392427,2
45.07300120527879,-23.221377312304398,88.25994504715462,1
45.52373121733158,-22.822103272759385,87.76411451448854,1
45.9789685295049,-22.976712418707066,85.63132298408809,1
46.43875821479995,-22.887449243610597,88.52409406502771,1
46.903145796947946,-22.755891594397188,87.49294735912326,2
47.372177254917425,-22.788993027198114,86.28023392474948,1
47.8458990274666,-22.685457424485758,87.57144843215347,2
48.32435801774127,-22.542579151082254,88.26386396463107,1
48.80760159791868,-22.391510329860356,86.44708620986381,1
49.29567761389787,-22.34946986983959,87.78945634190765,1
49.788634390036854,-22.312864297090922,88.6882666776564,2
50.28652073393722,-22.19800024580386,87.23250581731304,1
50.7893859412766,-22.03432936722772,86.90011514098887,1
51.29727980068937,-21.97352236270035,86.99416257650809,1
51.81025259869626,-21.79052496719952,87.12688611947414,1
52.32835512468322,-21.4623322084809,87.71780913005324,1
52.851638675930054,-21.58973144165064,87.18916938285287,1
53.380155062689354,-21.74036408771321,87.33760262351039,1
53.91395661331625,-21.673003650682507,86.521145980758,1
54.45309617944942,-21.38425244561532,86.64627662280054,1
54.99762714124391,-21.24665498378697,86.7392283187177,1
55.54760341265635,-21.221477385892864,86.79901346232344,1
56.103079446782914,-21.374830675644723,87.4580975031248,1
56.66411024125075,-21.14844336072784,86.5665944297924,1
57.23075134366326,-20.866293103610776,86.9138511328901,1
57.80305885709989,-20.926053061472977,87.15222128522134,1
58.38108944567089,-20.960122335239827,86.69641817764501,1
58.9649003401276,-20.839879190886155,86.16093802432844,1
59.554549343528876,-20.56211650789233,86.26629737129429,1
60.150094836964165,-20.56021211586661,86.26613917623551,1
60.751595785333805,-20.529367519980692,86.40553595216048,1
61.35911174318714,-20.54997561993592,86.70045538835383,1
61.972702860619016,-20.400980028500364,86.20833928025309,1
62.59242988922521,-20.233989611506562,86.4294176126628,1
63.21835418811746,-20.18208390767852,86.26628031667205,1
63.850537729998635,-20.072792332826147,86.88862155737748,1
64.48904310729863,-19.880963403431,87.22398756817229,1
65.13393353837161,-19.727515143952633,86.57050435220381,1
65.78527287375532,-19.812735353484218,86.26502930244445,1
66.44312560249287,-19.684804491866377,85.89493407818678,1
67.1075568585178,-19.415134371302553,86.87898031147256,1
67.77863242710298,-19.51233241878283,86.06211482078237,1
68.456418751374,-19.520738567316236,86.38144865244232,1
69.14098293888775,-19.33310083048694,85.65615065190596,1
69.83239276827662,-19.17535659545781,86.00850128873951,1
70.53071669595938,-19.303222032307882,85.69910051239701,1
71.23602386291898,-19.264857816117075,85.97213963986245,1
71.94838410154817,-18.869276190990014,85.51703668455167,1
72.66786794256366,-18.833419524570434,86.13116181180646,1
73.39454662198929,-18.935073310173422,85.63551138475373,1
74.12849208820919,-18.719398808685337,85.33592194494962,1
74.86977700909128,-18.540912682753177,85.91380611825352,1
75.6184747791822,-18.69854066600885,85.04432496072909,1
76.37465952697401,-18.513479001846743,85.34343819820805,1
77.13840612224375,-18.24749711614392,85.88825076182547,1
77.90979018346619,-18.356613328275575,85.065896784192,1
78.68888808530085,-18.29248473895866,84.98822932698296,1
79.47577696615386,-17.99087167925281,85.53521112472012,1
80.2705347358154,-17.9947455014949,85.17399108736133,1
81.07324008317356,-17.986879559691623,85.30623243373928,1
81.8839724840053,-17.809291834330274,85.58477825444822,1
82.70281220884536,-17.715967226633573,85.26284947932658,1
83.52984033093381,-17.780552824836438,84.78108467539124,1
84.36513873424315,-17.480906129312153,85.50224338404874,1
85.20879012158558,-17.504157716187922,85.06848047937224,1
86.06087802280143,-17.554141418362946,84.52504995540181,1
86.92148680302945,-17.25341454903553,84.47489187889391,1
87.79070167105975,-17.265409533507842,85.0201796745625,1
