Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.48639905299014,87.6015744256173,2
40.4,-24.16602955330374,89.466278654851,1
40.804,-24.287149477774243,88.35071621204929,2
41.21204,-24.407755338461257,89.32011486544164,2
41.6241604,-24.336215010405255,87.25797678107615,2
42.040402004,-24.07417000094552,88.99479117649557,2
42.460806024040004,-24.243198230398736,89.38335400955692,1
42.885414084280406,-24.04812419737626,87.68670486642958,1
43.31426822512321,-23.981754359600696,88.63271732673195,1
43.74741090737444,-23.71514760110968,88.223645154428,1
44.184885016448185,-23.960674835660694,88.42678750833234,2
44.62673386661267,-23.5707860370929,87.29835640377792,2
45.07300120527879,-23.465346298586432,89.18274350644982,2
45.52373121733158,-23.578664169165773,87.94970060484565,2
45.9789685295049,-23.577337707293076,89.75761467307353,1
46.43875821479995,-23.408044085742986,89.14740920397861,2
46.903145796947946,-23.336333418559917,87.5921630074655,1
47.372177254917425,-23.092213924194102,89.15093947654664,1
47.8458990274666,-23.13964521637489,88.17537116419717,1
48.32435801774127,-23.006451641239128,88.08736476059146,1
48.80760159791868,-22.57249266438631,87.98977167494127,1
49.29567761389787,-22.698296267533447,87.34207302491849,1
49.788634390036854,-22.589323274468867,87.76368433483229,1
50.28652073393722,-22.596555405066088,88.82754981365832,1
50.7893859412766,-22.521680084120344,88.5887216699798,1
51.29727980068937,-22.527413174220655,87.87630536262947,1
51.81025259869626,-22.137240918723812,88.31587938993908,1
52.32835512468322,-21.92262758351292,87.1805757372959,1
52.851638675930054,-22.116942561129484,88.56002529832244,1
53.380155062689354,-22.040044065162746,88.6873268912114,1
53.91395661331625,-22.102184980738677,87.71586626893378,1
54.45309617944942,-21.888272072215,88.51633313863807,1
54.99762714124391,-21.74872145563741,88.22838837812947,1
55.54760341265635,-21.710823159764157,88.21156545386012,1
56.103079446782914,-21.811602993486822,87.33509024614736,1
56.66411024125075,-21.53719370062065,88.69645699092527,1
57.23075134366326,-21.340820297382656,88.65944265451037,1
57.80305885709989,-21.395053309137232,88.2372158522412,1
58.38108944567089,-21.41818876763465,88.29683851173974,1
58.9649003401276,-21.26089467065226,87.78661598986673,1
59.554549343528876,-21.025051234064417,87.6274374741386,1
60.150094836964165,-20.965283765898125,88.06151057480993,1
60.751595785333805,-21.09152143019722,87.95196444521429,1
61.35911174318714,-20.8634497860359,87.64747980340938,1
61.972702860619016,-20.805669307449303,87.67620124451196,1
62.59242988922521,-20.528956849371344,87.45235805944151,1
63.21835418811746,-20.542308304727182,88.414593512206,1
63.850537729998635,-20.603568182200235,87.85209874279627,1
64.48904310729863,-20.383755470277187,87.45214055214116,1
65.13393353837161,-20.30684134448765,88.14291056240967,1
65.78527287375532,-20.32754715251798,87.51748062859716,1
66.44312560249287,-20.10468215186677,86.70471662511905,1
67.1075568585178,-19.88573266814079,87.72101450908985,1
67.77863242710298,-20.018290565162836,87.49179300655834,1
68.456418751374,-19.940204144170842,88.12984727151652,1
69.14098293888775,-19.878572999306694,87.13470060393773,1
69.83239276827662,-19.652326053542176,87.63983930887335,1
70.53071669595938,-19.747062018666014,87.4640132643589,1
71.23602386291898,-19.5989008459925,87.5537583064712,1
71.94838410154817,-19.429027860227208,87.50972673110823,1
72.66786794256366,-19.35919201573512,87.41918817578073,1
73.39454662198929,-19.405238209432362,87.2474079501286,1
74.12849208820919,-19.131600461655026,87.58402441503834,1
74.86977700909128,-19.04582437808474,87.41329292468669,1
75.6184747791822,-19.14067083500278,87.1607245614558,1
76.37465952697401,-19.001782537844107,87.27028918230225,1
77.13840612224375,-18.693178261169226,87.58201634239026,1
77.90979018346619,-18.86596942765386,87.32388029465268,1
78.68888808530085,-18.76084936982103,87.28063299581453,1
79.47577696615386,-18.562047227915567,87.23791091453405,1
80.2705347358154,-18.517161048577197,87.29160575024108,1
81.07324008317356,-18.5264055135786,86.9822087650194,1
81.8839724840053,-18.30297438674362,86.89674084616172,1
82.70281220884536,-18.293104233642506,87.31430147281344,1
83.52984033093381,-18.157124648620822,86.92494775255035,1
84.36513873424315,-17.99812237004543,86.35684043649658,1
85.20879012158558,-17.991738531765467,87.53089037375763,1
86.06087802280143,-17.895617477306956,86.96338699499006,1
86.92148680302945,-17.738434445252505,86.99776597733182,1
87.79070167105975,-17.816720407217396,86.94930578077768,1
88.66860868777034,-17.642934159111412,86.68542867731158,1
89.55529477464805,-17.52764518329668,86.56026470632928,1
90.45084772239453,-17.52431548113748,86.74519566916894,1
91.35535619961847,-17.353027400060192,86.57075669315482,1
92.26890976161465,-17.29306824269339,86.97309675512736,1
93.1915988592308,-17.221243334842963,86.74683649616904,1
94.1235148478231,-17.134221481843653,86.92250295864837,1
95.06474999630133,-17.035399046527633,87.03504155839252,1
96.01539749626434,-16.933012293101864,87.04321453634665,1
96.97555147122699,-16.806178746188642,87.13044419389473,1
97.94530698593927,-16.853233907849926,86.60923785294474,1
98.92476005579866,-16.669151713257254,86.49407794681106,1
99.91400765635665,-16.56274836629387,86.74108361154998,1
100.91314773292021,-16.5582511579369,86.63554567044852,1
101.92227921024941,-16.371701718503108,86.3205635460306,1
102.94150200235191,-16.39603047708802,86.3454573921211,1
103.97091702237543,-16.262001688350214,86.38805029972212,1
105.01062619259919,-16.089800217867403,86.82716832312661,1
106.06073245452518,-16.057175923956414,85.94534065966499,1
107.12133977907044,-16.158090810182347,86.50244446383672,1
108.19255317686114,-15.993585172042659,86.37318920019602,1
109.27447870862976,-15.773708355722954,86.41738964706174,1
110.36722349571606,-15.622966425308231,86.45193587845627,1
111.47089573067322,-15.77347534499721,86.18256285758068,1
