Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.05330193595841,89.79004506183726,1
40.4,-24.11369209382921,89.43543634666017,1
40.804,-23.9181503273649,89.21233895913059,1
41.21204,-23.87580395241806,87.6390708729277,1
41.6241604,-23.562359357788868,88.37207133290624,1
42.040402004,-23.481797335535788,89.44378528704262,1
42.460806024040004,-23.556141781742227,89.52569110424288,1
42.885414084280406,-23.314242939445144,87.89868575518204,1
43.31426822512321,-23.122006497515056,88.39781561281052,1
43.74741090737444,-23.20999612432137,89.49374078021766,1
44.184885016448185,-23.144724756231145,89.8512478029619,1
44.62673386661267,-22.961089518602712,89.19516965600371,1
45.07300120527879,-22.91825774306934,88.3563162713514,1
45.52373121733158,-22.91453090494244,88.7110864801667,1
45.9789685295049,-22.679067868930925,89.74118810653721,1
46.43875821479995,-22.54937325857452,89.82884235041858,1
46.903145796947946,-22.57832837232633,89.71718654399558,1
47.372177254917425,-24.26400834334439,92.02214782954135,1
47.8458990274666,-22.53203100175316,90.05052290578273,1
48.32435801774127,-22.647179716321663,88.26300172808506,1
48.80760159791868,-22.328420676195,89.01473903030467,1
49.29567761389787,-22.17943942120893,90.69799071200539,1
49.788634390036854,-22.099650411379034,89.54060873114949,1
50.28652073393722,-22.073797709979914,88.43903731658295,1
50.7893859412766,-22.00434127269371,88.28700242038138,1
51.29727980068937,-21.936405313476982,88.50786522307658,1
51.81025259869626,-21.752853187030464,88.60399885052504,1
52.32835512468322,-21.490046814028606,90.05313790976601,1
52.851638675930054,-21.484294430321818,89.25693073327494,1
53.380155062689354,-21.621699521260116,88.36589951020596,1
53.91395661331625,-21.550922919824817,90.14111638655348,1
54.45309617944942,-21.346748363655312,88.45551503424323,1
54.99762714124391,-21.098281484319582,88.50495683221294,1
55.54760341265635,-21.225149113024226,89.22958966734227,1
56.103079446782914,-21.258061929178474,87.78972305255462,1
56.66411024125075,-21.129880576956577,88.64380410348821,1
57.23075134366326,-20.89866665219023,88.30592221518327,1
57.80305885709989,-20.75068197369692,87.58463805015049,1
58.38108944567089,-20.699633253984818,88.62742214077838,1
58.9649003401276,-20.55267226148029,88.30901829870012,1
59.554549343528876,-20.502665980315008,89.72579541902257,1
60.150094836964165,-20.366856203574347,88.97615033671387,1
60.751595785333805,-20.50574263934163,88.1911372880323,1
61.35911174318714,-20.392572621468897,88.70149878552569,1
61.972702860619016,-20.291086954678395,89.04996936189957,1
62.59242988922521,-20.059411478255118,89.34575940936412,1
63.21835418811746,-20.048074516760032,88.71716109864045,1
63.850537729998635,-19.953179783655052,88.85414179649337,1
64.48904310729863,-19.836892032416106,88.3775060718389,1
65.13393353837161,-19.739867275538906,88.76143949780655,1
65.78527287375532,-19.822881019448758,88.57706428222778,1
66.44312560249287,-19.573921734038016,87.66124392538356,1
67.1075568585178,-19.556783673314047,88.08333633132611,1
67.77863242710298,-19.272117029459206,88.78593145949117,1
68.456418751374,-19.315738216938556,87.25908173081322,1
69.14098293888775,-19.280846726649916,88.98043701490717,1
69.83239276827662,-18.91821764336686,88.36424546564749,1
70.53071669595938,-18.97072638260976,87.79145958935028,1
71.23602386291898,-18.906900348944312,88.2493658902883,1
71.94838410154817,-18.626532747508204,88.27272126366597,1
72.66786794256366,-18.764417280988248,88.02847893096788,1
73.39454662198929,-18.67003751209614,89.39634670627271,1
74.12849208820919,-18.47315428909842,88.61564507124886,1
74.86977700909128,-18.372284478974684,88.58444127246901,1
75.6184747791822,-18.386941712654522,87.76997147361173,1
76.37465952697401,-18.31331701525128,88.68701018894423,1
77.13840612224375,-18.128587883709844,88.8786567932965,1
77.90979018346619,-18.17489576544179,88.16890691461495,1
78.68888808530085,-18.220852334469903,88.52948554653267,1
79.47577696615386,-17.931573983165205,88.48586788531227,1
80.2705347358154,-17.830999153873652,88.12502876052504,1
81.07324008317356,-17.855110998682168,88.61048676346525,1
81.8839724840053,-17.675256574537762,87.81248108677107,1
82.70281220884536,-17.575341205205476,88.36607428646516,1
83.52984033093381,-17.73718346931412,87.61132101953416,1
84.36513873424315,-17.080454342026304,87.93399814970086,1
85.20879012158558,-17.541038174982628,87.94609052730874,1
86.06087802280143,-17.35214219914069,88.0815847350026,1
86.92148680302945,-17.1259409933194,87.84787124024245,1
87.79070167105975,-17.09864766713012,87.91789444820294,1
88.66860868777034,-17.0381698049051,88.02386774359216,1
89.55529477464805,-16.825074329337177,87.07670994159083,1
90.45084772239453,-16.81131769334001,88.36341695944927,1
91.35535619961847,-16.674429109931648,87.96745238476353,1
92.26890976161465,-16.557605674217864,87.71921580274,1
93.1915988592308,-16.51011378446804,87.7239410211063,1
94.1235148478231,-16.451717390787945,88.14313584535046,1
95.06474999630133,-16.365519076749358,87.57839165078681,1
96.01539749626434,-16.44476196573377,87.84188516120467,1
96.97555147122699,-16.127499354769668,87.67151239191543,1
97.94530698593927,-16.12030214432863,87.72254797585283,1
98.92476005579866,-15.987570386470997,88.2266461132478,1
99.91400765635665,-15.858711475624252,87.38129113864724,1
100.91314773292021,-15.86377428402089,88.15988556189524,1
101.92227921024941,-15.597379527845089,87.80846426081342,1
102.94150200235191,-15.692565331414349,87.90664119390846,1
103.97091702237543,-15.484352476931813,87.95970581660006,1
105.01062619259919,-15.286545070797343,88.12619270941434,1
106.06073245452518,-15.451394859943909,87.68325061498285,1
107.12133977907044,-15.516112579401858,87.2923166870155,1
108.19255317686114,-15.220430878712914,87.47077961790112,1
109.27447870862976,-15.027781068255376,87.6722278712214,1
110.36722349571606,-14.92025511274892,87.67525888362592,1
111.47089573067322,-15.008099650479627,87.66962978682571,1
112.58560468797995,-14.866829360940676,87.48527322745761,1
113.71146073485976,-14.659180900479242,87.92154318361924,1
114.84857534220835,-14.623873101388071,87.76737520175413,1
115.99706109563043,-14.662737305029658,87.79576775113958,1
117.15703170658674,-14.642031935728504,87.26398568720464,1
118.3286020236526,-14.528622418240412,87.48236830756652,1
119.51188804388913,-14.244586027836219,87.60724370337292,1
120.70700692432803,-14.29970466047258,87.68654419687753,1
121.91407699357131,-14.292060578270519,87.50545236461362,1
123.13321776350703,-14.091842748427323,87.01649324029628,1
124.3645499411421,-13.911077244719438,87.23521417735941,1
125.60819544055353,-13.864276311428295,87.33152706589584,1
126.86427739495906,-13.94017950953596,87.10862109066571,1
128.13292016890864,-13.777613714800307,86.84989726697376,1
129.41424937059773,-13.534798929576871,87.30865806849087,1
130.7083918643037,-13.534526031249388,86.81618224989863,1
132.01547578294674,-13.667685403297662,86.72549549490012,1
133.3356305407762,-13.457940267056637,87.22502380889863,1
134.66898684618397,-13.315976985896242,87.32483708191182,1
136.01567671464582,-13.297712129153203,87.09535843640352,1
137.37583348179228,-13.302863323875881,87.0851674338862,1
138.7495918166102,-13.003210281130503,87.16627517792577,1
140.13708773477632,-12.952249928127761,86.99372039494524,1
141.5384586121241,-13.022180189960782,86.94560093352884,1
142.95384319824532,-12.825022219788623,86.89707096568932,1
144.38338163022777,-12.707880625118914,87.00562406794893,1
145.82721544653006,-12.682282848188933,86.73292911196033,1
147.28548760099537,-12.688738505106196,86.59003359088253,1
148.75834247700533,-12.39341260820383,86.57427212857839,1
150.2459259017754,-12.346397717274122,86.83620554025097,1
151.74838516079316,-12.38689646100476,86.82406411517377,1
153.26586901240108,-12.256053385435479,86.67202985141,1
154.7985277025251,-12.051973172202215,86.7443389559952,1
156.34651297955034,-12.146224668051595,86.22537080003315,1
157.90997810934584,-11.97469708363594,86.48910513303525,1
159.4890778904393,-11.776485511368222,86.71448598079579,1
161.08396866934368,-11.820533294886564,86.4535186656079,1
162.6948083560371,-11.73793412426914,86.53667980678794,1
164.32175643959746,-11.551023751432117,86.51211454479642,1
165.96497400399343,-11.582463435627039,86.56013155669466,1
167.62462374403336,-11.458825522411638,86.48072350573153,1
169.30086998147368,-11.26841919556666,86.44947951065961,1
170.9938786812884,-11.317934547875112,86.51205533490153,1
172.7038174681013,-11.209016094874318,86.37020152815523,1
174.43085564278232,-11.255882646241822,86.5110722119465,1
176.17516419921014,-11.105309515024762,86.0711096232816,1
177.93691584120225,-10.907216912490997,86.21810933995336,1
179.7162849996143,-10.800230320042221,86.1948503144489,1
181.51344784961043,-10.809197277457798,85.90878352740796,1
183.32858232810653,-10.676355244912415,85.90228090950711,1
185.1618681513876,-10.601410611885575,85.74123252809746,1
187.0134868329015,-10.540342649311885,85.79212449612285,1
188.8836217012305,-10.389609598136751,86.03719684809798,1
190.77245791824282,-10.429726130013059,85.98365830996386,1
192.68018249742525,-10.254769389992653,85.8684376897307,1
194.6069843223995,-10.625365777946618,85.56774312851496,1
196.5530541656235,-10.178370917940546,85.52731251879385,1
198.51858470727976,-9.96543091881035,85.83957846968237,1
200.50377055435257,-9.986006027742537,85.47120394517724,1
202.50880825989609,-9.848298350175535,85.82736780974659,1
204.53389634249504,-9.708913582132265,85.50386707538757,1
206.57923530591998,-9.766356705409569,85.22229452489745,1
208.6450276589792,-9.529636169818488,85.45033256175255,1
210.731477935569,-9.644925375503073,85.39447648002847,1
212.8387927149247,-9.434993871319474,85.28778731725185,1
214.96718064207394,-9.505150369228433,85.04045791905912,1
217.11685244849468,-9.319419726641646,85.11843698821401,1
219.28802097297964,-9.11512756951951,85.05906079596194,1
221.48090118270943,-9.081284382035427,85.04798352841838,1
223.69571019453653,-9.137366325395822,84.71698152789511,1
225.9326672964819,-9.02188790186272,84.79621094607012,1
228.1919939694467,-8.828508515704007,84.98414129913499,1
230.47391390914117,-8.739346936493353,84.91715596311872,1
232.7786530482326,-8.82171302636451,84.73017932179368,1
235.10643957871494,-8.713267458846227,84.55724902146852,1
237.4575039745021,-8.529093947778849,84.82006603859675,1
239.8320790142471,-8.397821089024573,84.82540674252182,1
242.23039980438958,-8.449683394878635,84.40339234086939,1
244.65270380243348,-8.477843855201158,84.31319195698484,1
247.0992308404578,-8.263376319560544,84.55543744789941,1
249.5702231488624,-8.107741459942867,84.30565209779797,1
252.06592538035102,-8.103894171698537,84.31099592810294,1
254.58658463415452,-8.080574144716529,84.00263734779736,1
