Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-31.25142959323072,-90.1456301095613,2
40.8,-31.008274075395352,-93.40409137297723,2
41.616,-31.168320874464378,-90.72048782031769,2
42.44832,-30.59342193308697,-92.27235395457939,2
43.297286400000004,-30.539525455236312,-90.88929300685093,2
44.163232128000004,-30.35013043304219,-91.51001980463514,2
45.046496770560005,-30.54884252979272,-91.92651030833952,2
45.9474267059712,-29.987939770155613,-90.29986093820287,2
46.866375240090626,-29.869540224232317,-89.22090110939354,2
47.80370274489244,-29.8130073336145,-90.69670752082641,2
48.75977679979029,-29.434763881513216,-92.69320474502291,2
49.7349723357861,-29.154794891768557,-90.59873438261161,2
50.72967178250182,-29.55344182234901,-93.36772368627302,2
51.74426521815185,-29.089937730460385,-93.39545126959399,2
52.77915052251489,-28.677911379347282,-93.03967055693384,2
53.83473353296519,-28.946233724230584,-92.4382238424657,2
54.911428203624496,-28.312935273541882,-91.24373905086043,2
56.00965676769699,-28.352638502305165,-92.11298433893757,2
57.12984990305093,-27.750282583170772,-92.59359222732829,2
58.27244690111195,-28.16993036159784,-92.4301197761316,2
59.437895839134185,-27.861592996355856,-93.76590117242463,2
60.62665375591687,-27.6308709149292,-92.14553550168444,2
61.83918683103521,-27.440618804156397,-91.57764127829307,2
63.075970567655915,-27.543637787199824,-91.79701628281228,2
64.33748997900904,-27.194899498019787,-91.71245472175232,2
65.62423977858921,-27.080465485066558,-92.25574725216751,2
66.936724574161,-27.102548990844355,-92.46335942351229,2
68.27545906564423,-26.606112583215978,-91.75221492152556,2
69.64096824695712,-26.616519719350666,-92.98981527100965,2
71.03378761189626,-26.320447320959435,-90.92729462545276,2
72.45446336413418,-25.852192483854356,-93.0458939056806,2
73.90355263141687,-26.06110042497972,-93.90956427012622,2
75.38162368404521,-25.598809481659064,-93.49841643862578,2
76.88925615772611,-25.519468942504766,-92.9997483485628,2
78.42704128088063,-25.604929996179177,-92.2482308302,2
79.99558210649825,-25.196053997135245,-93.76902863609938,2
81.59549374862821,-24.900940071907044,-92.79590698082245,2
83.22740362360078,-24.87450724359406,-92.94167724455617,2
84.8919516960728,-24.71796883925131,-92.97793038713485,2
86.58979072999425,-24.33684607607427,-93.93447434924772,2
88.32158654459414,-24.45221894426764,-93.52106294149452,2
90.08801827548602,-24.176295279362144,-93.42545363573042,2
91.88977864099574,-23.779523243220297,-93.62676480285012,1
93.72757421381566,-23.931346263374664,-93.68200945024216,2
95.60212569809197,-23.724405205028518,-93.86342540572963,2
97.5141682120538,-23.571137020506306,-93.51181027365742,2
99.46445157629488,-23.08784936739841,-93.29607810685695,1
101.45374060782078,-23.037938421984094,-93.8448999857035,2
103.4828154199772,-23.013390904176184,-93.67426902016354,1
105.55247172837674,-22.625620644635237,-94.61015699873344,1
107.66352116294428,-22.756283175258346,-94.10199079240198,2
109.81679158620317,-22.24885175727112,-93.1659034553182,2
112.01312741792724,-22.384158038450828,-93.92906603395699,2
114.25338996628578,-22.018533141468936,-94.17915315164161,1
116.5384577656115,-21.99552426205262,-93.9040230574608,1
118.86922692092372,-21.58809265214381,-94.9208969665307,1
121.2466114593422,-21.51652247792663,-94.79601970817419,1
123.67154368852906,-21.35854732486566,-94.41750890119981,1
126.14497456229964,-21.234992238214666,-95.27600444511847,1
128.66787405354563,-20.89135713765415,-95.16991223803205,1
131.24123153461656,-20.868543986027596,-95.18832310682927,1
133.8660561653089,-20.64695338606582,-94.91501064056067,1
136.54337728861506,-20.569225776484608,-95.27184686098758,1
139.27424483438736,-20.166784053378993,-94.46828289214574,1
142.05972973107512,-20.225984769514152,-95.36111049948522,1
144.90092432569662,-19.866449068767952,-94.68805154448538,1
147.79894281221056,-19.802310844981026,-95.569338086533,1
150.75492166845476,-19.610619261295337,-96.01048030278533,1
153.77002010182386,-19.369369844541215,-95.28727409917748,1
156.84542050386034,-19.36527538304136,-95.56436156401105,1
159.98232891393755,-18.99216642123321,-96.27108420669025,1
163.1819754922163,-18.864490264827865,-95.97459483456518,1
166.44561500206063,-18.784264004381615,-96.73429861616717,1
169.77452730210186,-18.44467291209439,-96.13691528582412,1
173.17001784814389,-18.399483282472165,-96.13210447521796,1
176.63341820510678,-18.287188728948156,-96.52243628311646,1
180.16608656920891,-18.03605433562562,-96.61861367529414,1
183.76940830059308,-17.761290421576014,-96.54724261393127,1
187.44479646660494,-17.724605168324988,-96.95561653905172,1
