Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-31.524050013633175,-90.33095908792957,2
40.8,-30.968161686773072,-90.01052461172921,2
41.616,-31.052180100209053,-90.25400139250812,2
42.44832,-31.028052478051936,-92.42839693460064,2
43.297286400000004,-31.035262576188206,-91.55112511175287,2
44.163232128000004,-30.887796346824633,-89.77250075592661,2
45.046496770560005,-30.588135226801985,-91.06778632030796,2
45.9474267059712,-30.179156194856088,-90.1350991363318,2
46.866375240090626,-29.721413946631223,-88.2259998154172,2
47.80370274489244,-29.822714724280925,-94.24871800230174,2
48.75977679979029,-29.85438046993457,-90.01659703871863,2
49.7349723357861,-29.431578267083545,-90.67094827513222,2
50.72967178250182,-29.335524543720283,-93.1521346081031,2
51.74426521815185,-29.71759841075705,-92.1435897514146,2
52.77915052251489,-28.977293988418182,-92.62491454643909,2
53.83473353296519,-29.45046876419482,-90.58492848249699,2
54.911428203624496,-28.571980508911796,-92.30815535075274,2
56.00965676769699,-28.731452551943963,-91.91414186746391,2
57.12984990305093,-28.217310032566427,-90.45308586320479,2
58.27244690111195,-28.17975446170349,-91.50326346890108,2
59.437895839134185,-28.238547961282123,-93.59006595038626,2
60.62665375591687,-27.796783490628485,-93.16408597263103,2
61.83918683103521,-27.588148564967423,-92.01622720040133,2
63.075970567655915,-27.53891050775424,-91.90938712543198,2
64.33748997900904,-27.155422323175173,-92.44177338657443,2
65.62423977858921,-27.41753440880497,-91.5468311050156,2
66.936724574161,-26.792876696269538,-91.94656972053673,2
68.27545906564423,-26.589935841096796,-90.4973665393684,2
69.64096824695712,-26.71976714799126,-90.7369402834957,2
71.03378761189626,-26.516035156518303,-92.61532888108297,2
72.45446336413418,-26.429298943672453,-91.65115601774255,2
73.90355263141687,-26.253148997869502,-92.67979281446662,2
75.38162368404521,-25.974201000152416,-92.83364879426608,2
76.88925615772611,-25.727414055033954,-92.45340562848506,2
78.42704128088063,-25.596416984295374,-93.55001725635162,2
79.99558210649825,-25.45441413198004,-91.18614904577099,2
81.59549374862821,-25.23932778247894,-92.32311813204285,2
83.22740362360078,-25.21495373689832,-91.40292179411966,2
84.8919516960728,-24.860990493622737,-92.2315396144592,2
86.58979072999425,-24.67012611370338,-91.94240287269571,2
88.32158654459414,-24.53316163651784,-93.76377592764877,2
90.08801827548602,-24.621592724876674,-92.05714281617118,2
91.88977864099574,-24.243335271883144,-92.74139220312145,2
93.72757421381566,-24.066945093299655,-93.66778257425892,2
95.60212569809197,-24.00603985447401,-92.21812538842869,2
97.5141682120538,-23.7486112549054,-92.3431054568124,1
99.46445157629488,-23.379387321801588,-92.56062076473745,1
101.45374060782078,-23.460093479458585,-92.99855014848764,1
103.4828154199772,-23.192044942894093,-92.93530618005542,1
105.55247172837674,-23.151569488734033,-93.76383309891094,1
