Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-31.186920456401797,-92.0077581734426,2
40.8,-30.857004034051986,-90.57467294406462,2
41.616,-31.411083328007464,-88.64235432159272,2
42.44832,-30.99187905049209,-89.97937995613847,2
43.297286400000004,-31.846198286455127,-90.25907813199875,2
44.163232128000004,-30.26564034138011,-89.82651954373955,2
45.046496770560005,-30.347134090425712,-90.7931914686938,2
45.9474267059712,-30.13926719737009,-88.47701090230869,2
46.866375240090626,-30.11591124125673,-92.07923034060882,2
47.80370274489244,-29.56104581570713,-92.63569712049424,2
48.75977679979029,-29.68245996355241,-87.81516363211861,2
49.7349723357861,-29.51187378963324,-89.10601967118717,2
50.72967178250182,-28.596739357860535,-91.57512340063474,2
51.74426521815185,-29.230980344918574,-91.88831271099104,2
52.77915052251489,-28.49633257500681,-89.82744047859742,2
53.83473353296519,-28.93326491427448,-89.71255346889745,2
54.911428203624496,-28.14687407671826,-88.75911814877392,2
56.00965676769699,-28.600767241930296,-90.88823985093916,2
57.12984990305093,-28.238792078296512,-92.44833177711432,2
58.27244690111195,-28.304978815666477,-92.17275864321935,2
59.437895839134185,-27.56212009237181,-92.79770018323411,2
60.62665375591687,-27.969715899779857,-90.42641251168817,2
61.83918683103521,-27.697822691631934,-89.79717862336426,2
63.075970567655915,-27.390899203740396,-91.93835489929286,2
64.33748997900904,-27.06273395483307,-92.58885110064651,2
65.62423977858921,-27.101111450364662,-90.37819922526148,2
66.936724574161,-26.775244463829633,-90.79876879566484,2
68.27545906564423,-26.597268350942798,-91.3461470199055,2
69.64096824695712,-26.352835025393954,-91.42607134846972,2
71.03378761189626,-26.702439181045786,-92.23048967328958,2
72.45446336413418,-25.89336108776499,-91.10176659006152,2
73.90355263141687,-25.97720065568931,-91.38979579503005,1
75.38162368404521,-25.983086356213185,-91.08617089330596,2
76.88925615772611,-25.70199758691215,-92.28113675455141,2
78.42704128088063,-25.426968077534312,-91.01729282724709,2
79.99558210649825,-25.343646425195942,-91.84556579299422,2
81.59549374862821,-25.025142936247683,-92.16619316563238,2
83.22740362360078,-24.99944786889807,-92.67535082319193,1
84.8919516960728,-24.80946372832015,-91.47200146367295,1
86.58979072999425,-24.75288380746375,-91.99748297963386,2
88.32158654459414,-24.556517755580824,-91.50752948319034,1
90.08801827548602,-24.353362905876953,-91.77778942220175,2
91.88977864099574,-24.100331250844036,-93.88046874117228,2
93.72757421381566,-23.796928750255532,-91.98258154940066,1
95.60212569809197,-23.66010617918827,-92.10375935968335,1
97.5141682120538,-23.669102030191308,-93.56059946460739,1
99.46445157629488,-23.33817683699728,-91.67650805423136,1
101.45374060782078,-23.072163960195375,-92.49855154078499,1
103.4828154199772,-23.016846979666873,-91.9499939647261,1
105.55247172837674,-22.576231336010128,-91.79580071802516,1
107.66352116294428,-22.849582319289528,-92.91154592848176,1
109.81679158620317,-22.484634872112757,-91.85619994084877,2
112.01312741792724,-22.47695201849446,-92.72823033926625,1
114.25338996628578,-22.052940512030794,-92.36272020243298,1
116.5384577656115,-21.960064627922225,-91.87162999147567,1
118.86922692092372,-21.81054113727684,-92.39659440743135,1
121.2466114593422,-21.625446913733473,-92.21338857427742,1
123.67154368852906,-21.37972760078454,-92.98208609520726,1
126.14497456229964,-21.25420399278741,-93.51617197607482,1
128.66787405354563,-21.103253259765026,-92.68405877607132,1
131.24123153461656,-20.968864237059936,-93.06186867295179,1
133.8660561653089,-20.54778797917178,-92.64574223315584,1
136.54337728861506,-20.675844354529076,-92.90613322987298,1
139.27424483438736,-20.357071410009315,-93.90611817213852,1
142.05972973107512,-20.409901853707808,-92.71023649400252,1
