Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-31.17109284403237,91.01972422522233,1
40.8,-30.58618492558796,90.2214948228825,1
41.616,-30.478173212676605,87.59688649431784,1
42.44832,-30.561703931648704,89.7709863738165,1
43.297286400000004,-30.042223566994743,90.50777826102579,2
44.163232128000004,-30.009752732004653,89.9283693230886,1
45.046496770560005,-30.15270782673165,89.50598666517678,1
45.9474267059712,-29.87926684258329,89.25952840284258,2
46.866375240090626,-29.465342841074566,92.48772175312803,1
47.80370274489244,-29.133803645192145,88.68664581215904,1
48.75977679979029,-29.41969807865479,88.67810667256589,2
49.7349723357861,-28.98172776211906,90.35541480096381,1
50.72967178250182,-28.67889498146591,89.90229340120004,1
51.74426521815185,-28.623192955518657,87.89227122751335,1
52.77915052251489,-28.559885522999316,88.02292330944272,2
53.83473353296519,-29.06563860477032,84.57197318349486,2
54.911428203624496,-28.159199758510557,90.08008417165784,2
56.00965676769699,-27.97934886392251,89.99253429795621,2
57.12984990305093,-27.79862006937137,88.67161278252678,2
58.27244690111195,-27.910868378954316,87.53712229736196,2
59.437895839134185,-28.080974580457564,86.77479852983598,2
60.62665375591687,-27.65400562669813,88.39147424365021,2
61.83918683103521,-27.12336827851531,89.54892180378613,2
63.075970567655915,-27.086172911970582,88.78333286841917,2
64.33748997900904,-26.649021236520543,88.70823129908825,2
65.62423977858921,-26.750527358893255,87.73096005672477,2
66.936724574161,-26.37660075223455,89.0710155039414,2
68.27545906564423,-26.228487459998185,88.79578156734108,2
69.64096824695712,-26.079112575714582,90.10552842349946,2
71.03378761189626,-25.959341993640177,89.50511705045521,2
72.45446336413418,-25.89907391980659,87.20938135734934,2
73.90355263141687,-25.666794976849896,88.92061868035879,2
75.38162368404521,-25.670147692942123,88.6821113152435,2
76.88925615772611,-25.15702367715908,88.8571329017962,2
78.42704128088063,-25.336762959025446,87.99001116181884,2
79.99558210649825,-24.86643111298047,86.92763380169585,2
81.59549374862821,-24.57239118114857,88.28299466200406,2
83.22740362360078,-24.741610489861007,87.85389341872896,2
84.8919516960728,-24.419704244751202,88.24075298276212,2
86.58979072999425,-24.44543075012825,88.16520344349175,1
88.32158654459414,-24.118111732070542,87.46842522475234,1
90.08801827548602,-23.903512068944085,87.44927436065002,1
91.88977864099574,-23.689003768427618,88.07438733985168,1
93.72757421381566,-23.5437723678745,88.58375591885003,1
95.60212569809197,-23.502358170121568,88.13491971670392,1
97.5141682120538,-23.203099616063234,87.4562437605477,1
99.46445157629488,-23.192843256868713,87.73948866916612,1
101.45374060782078,-22.783282611235062,87.38952281351521,1
103.4828154199772,-22.70671245663722,86.37034005881458,1
105.55247172837674,-22.459443243619926,88.42245763150913,1
107.66352116294428,-22.421075197203653,89.76436092311363,1
109.81679158620317,-22.013542745075902,87.93722948803101,1
112.01312741792724,-22.169773181321005,87.29364827739914,1
114.25338996628578,-21.785298738361274,87.93163824582928,1
116.5384577656115,-21.618490716668926,87.1506816527463,1
118.86922692092372,-21.373564388327807,87.49970868804455,1
121.2466114593422,-21.34180382118428,87.23973672924447,1
123.67154368852906,-21.048761112221374,87.8361353319197,1
126.14497456229964,-20.95653713269879,86.36340946893394,1
128.66787405354563,-20.6720577857093,86.80021483210281,1
131.24123153461656,-20.80796752769032,87.70392870179634,1
133.8660561653089,-20.40288202854184,86.68902333475359,1
136.54337728861506,-20.450427848996377,86.31691169071142,1
139.27424483438736,-20.12763588635699,86.92319339781548,1
142.05972973107512,-20.04137430484921,86.90512590440783,1
144.90092432569662,-19.73856381020235,86.96419635712448,1
147.79894281221056,-19.670249020407674,87.12036882403717,1
150.75492166845476,-19.403784184228048,86.6838103664947,1
153.77002010182386,-19.256314943484178,86.43553130419582,1
156.84542050386034,-19.31027299571012,86.47381966486762,1
159.98232891393755,-18.913408565105488,86.46663207793704,1
163.1819754922163,-18.757331041807355,86.6588659964874,1
166.44561500206063,-18.67086376659938,86.13262057781091,1
169.77452730210186,-18.40288632538545,86.1953381463542,1
173.17001784814389,-18.2054086714313,86.11881237812423,1
176.63341820510678,-18.207915109639046,86.2342523905343,1
180.16608656920891,-17.887588374265647,86.23946413950651,1
183.76940830059308,-17.673742162232813,85.90025267004052,1
187.44479646660494,-17.551221925697565,85.9084960083874,1
191.19369239593703,-17.50460346828774,85.88217497542641,1
195.01756624385578,-17.21414241287074,85.27991329555861,1
198.9179175687329,-17.000317033436197,85.06629346784135,1
202.89627592010754,-16.900360215998816,85.8170165110767,1
206.9542014385097,-16.67885161944238,85.87813460378486,1
211.09328546727988,-16.55345093529962,85.62404510365789,1
215.31515117662548,-16.602054640908523,84.89660931414589,1
219.62145420015798,-16.06066001742619,85.5129368487262,1
224.01388328416115,-16.246323202734512,85.17130783123605,1
228.49416094984437,-15.790343167269045,85.32146381566213,1
233.06404416884126,-15.768737001862899,84.68046561750577,1
237.7253250522181,-15.457854052861437,85.02468617651733,1
