Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.116433098461865,88.42401154775656,2
40.8,-24.76550270298464,88.06230450219687,2
41.616,-24.607192803949893,88.27560435927234,2
42.44832,-24.42419015279464,87.87139781273278,2
43.297286400000004,-24.320260198183,86.87744477254552,2
44.163232128000004,-24.419399648630097,85.62089257195518,1
45.046496770560005,-24.157846702727245,86.50450772985425,2
45.9474267059712,-24.035846453026934,86.36476129408999,1
46.866375240090626,-23.427600026280185,88.19932040550634,1
47.80370274489244,-23.488702724524494,85.98812950068285,2
48.75977679979029,-23.316364844330824,86.24258039109861,1
49.7349723357861,-23.145579389455328,87.07944699558178,1
50.72967178250182,-22.865200038447888,88.51780942305356,1
51.74426521815185,-22.931109418504082,87.47061625841249,1
52.77915052251489,-22.76570950069689,87.43233694868985,1
53.83473353296519,-22.535851824763398,86.86578313841842,1
54.911428203624496,-22.23247932766636,87.36956351571772,1
56.00965676769699,-22.312203578807953,87.13208075478967,1
57.12984990305093,-21.81491387000839,86.7337528202525,1
58.27244690111195,-21.865201796727735,86.66933173286806,1
59.437895839134185,-21.587953015296257,86.69318653171318,1
60.62665375591687,-21.483420301370593,86.78228945087656,1
61.83918683103521,-21.213861702202347,86.91983726532749,1
63.075970567655915,-20.954644830512994,87.68049234074647,1
64.33748997900904,-20.964354304699885,86.5575987953953,1
65.62423977858921,-20.746879298050576,85.91807041686998,1
66.936724574161,-20.309955312045687,86.77438622303544,1
68.27545906564423,-20.41607347978929,86.17290750591205,1
69.64096824695712,-20.192075455294578,86.84223144807515,1
71.03378761189626,-20.17425310231025,86.01709586451338,1
72.45446336413418,-19.85191048000357,86.08649876554387,1
73.90355263141687,-19.75558969171556,86.02997214244418,1
75.38162368404521,-19.591586787809376,86.00625536505477,1
76.88925615772611,-19.35581779004033,85.75875940257396,1
78.42704128088063,-19.214487023460574,85.98976529270865,1
79.99558210649825,-18.872611921517443,85.54916536066334,1
81.59549374862821,-18.726157037563752,85.5620997934302,1
83.22740362360078,-18.690270345724525,85.80108813359134,1
84.8919516960728,-18.498197985815946,85.2557219947926,1
86.58979072999425,-18.164416954052683,85.34807282972241,1
88.32158654459414,-18.17180860528723,84.79055941519843,1
90.08801827548602,-17.887221416518372,85.54106073599374,1
91.88977864099574,-17.68306078117279,84.52427926533767,1
93.72757421381566,-17.58816989612388,85.49648208987166,1
95.60212569809197,-17.425692401873885,85.518876174593,1
97.5141682120538,-17.134521696856662,85.1453587091948,1
99.46445157629488,-16.969811844151277,84.63543963746687,1
101.45374060782078,-16.822438218470744,84.89414279426592,1
103.4828154199772,-16.736311642480214,84.90504938309226,1
105.55247172837674,-16.384747772668412,84.18415457904229,1
107.66352116294428,-16.426546485927435,84.27421321035166,1
109.81679158620317,-16.03034607981872,84.48262967374173,1
112.01312741792724,-16.140621143271673,83.39733471257071,1
114.25338996628578,-15.702687674878051,84.03912508521995,1
116.5384577656115,-15.627485028927076,83.70542301320964,1
118.86922692092372,-15.409544782728641,83.68625216731567,1
121.2466114593422,-15.225027445198561,83.06665455849415,1
123.67154368852906,-14.962073462911242,83.56982430175174,1
126.14497456229964,-14.988851496559812,83.04117103265285,1
128.66787405354563,-14.660924751852338,83.2982902028714,1
131.24123153461656,-14.551705522811822,83.0724175222801,1
133.8660561653089,-14.217037845840416,83.05570692889444,1
136.54337728861506,-14.176127923171352,82.28741459713716,1
139.27424483438736,-13.86827478560459,82.25958898446558,1
142.05972973107512,-13.89266592552132,81.96132456499822,1
144.90092432569662,-13.515610620150323,82.36884852039594,1
147.79894281221056,-13.381556454175296,82.07782350765378,1
150.75492166845476,-13.258695772293285,81.79490625663857,1
153.77002010182386,-12.98206605666036,82.02888508258684,1
156.84542050386034,-12.903025442109804,81.60424694976413,1
159.98232891393755,-12.605495446378395,81.32754959883475,1
163.1819754922163,-12.430589123101074,80.91165159799806,1
166.44561500206063,-12.36404739304502,80.43972958401716,1
169.77452730210186,-12.0295382357635,80.80393619169669,1
173.17001784814389,-11.826522377742403,80.85940048856952,1
176.63341820510678,-11.729447926492623,80.07962195038263,1
180.16608656920891,-11.487236336328634,80.34272325259582,1
183.76940830059308,-11.267256732699925,79.94560277195922,1
187.44479646660494,-11.103796906960719,79.43954604376839,1
191.19369239593703,-10.961955116175448,79.33442705952004,1
195.01756624385578,-10.732310627724047,79.17385780482616,1
198.9179175687329,-10.52437491618291,79.15471753161785,1
202.89627592010754,-10.237178816655645,78.77662521218247,1
206.9542014385097,-10.158916159502402,78.2690414437649,1
211.09328546727988,-9.989606593718397,78.18287146399311,1
215.31515117662548,-9.863746670854827,77.64673526038214,1
219.62145420015798,-9.427193929723868,78.08928941783802,1
224.01388328416115,-9.433851679396026,77.0791728492313,1
228.49416094984437,-9.070078223165874,77.09234236927489,1
233.06404416884126,-9.002303954217455,76.51875745335076,1
237.7253250522181,-8.657942646585886,76.66499347437141,1
242.47983155326247,-8.502302342849207,75.98612512492427,1
247.32942818432772,-8.23510344375075,75.76428650915022,1
252.27601674801429,-8.121607724143693,75.15895703906946,1
257.3215370829746,-7.808947718546304,75.25118172684515,1
262.4679678246341,-7.655916154178446,74.41859534416477,1
267.7173271811268,-7.343578787404682,74.48132197850481,1
273.07167372474936,-7.231583760024714,73.9290834310377,1
278.53310719924434,-6.85621622238816,73.67418518569042,1
284.10376934322926,-6.796253030159156,72.89492242481167,1
289.78584473009386,-6.437101606089571,72.86104670555903,1
295.5815616246957,-6.277519976811886,72.12120093147514,1
301.4931928571896,-6.0385911762157125,71.61078480017821,1
307.52305671433345,-5.706434559938661,71.51841066661461,1
313.6735178486201,-5.636620196927008,70.48970658336118,1
319.9469882055925,-5.241116520380771,70.24535301714023,1
326.34592796970435,-5.019511504094217,69.73343057454917,1
332.87284652909847,-4.8591830011366515,68.89324192825227,1
339.53030345968045,-4.480693380609917,68.64496884551274,1
346.3209095288741,-4.227004539051595,67.80482660050211,1
353.24732771945156,-4.082244032832113,66.90967921361906,1
360.3122742738406,-3.7100360314113403,66.3673427299657,1
367.5185197593174,-3.4040357519004703,66.02597471162096,1
374.8688901545038,-3.2014559379442993,64.99875411288994,1
382.3662679575939,-2.9279327537054898,63.87570139687932,1
390.01359331674576,-2.6003253589493562,63.37149209050655,1
397.8138651830807,-2.2570112856202864,62.50719191108848,1
405.7701424867423,-1.9927795707037157,61.611245768313665,1
413.88554533647715,-1.7453548800878127,60.47304815409816,1
422.1632562432067,-1.4448576851093005,59.269716735889574,1
430.60652136807084,-1.1133490746920987,58.285312372337515,1
439.21865179543227,-0.7632192141166476,57.18509279700399,1
448.0030248313409,-0.38364797456417443,56.032253569988995,1
456.96308532796775,-0.053015209504307804,54.88290668056305,1
466.1023470345271,0.29247354317338337,53.370911781503764,1
475.42439397521764,0.6414605292170069,51.77769354762866,1
484.932881854722,0.970231010811704,50.060110054419624,1
494.63153949181645,1.3617692517358657,48.45765051463384,1
504.5241702816528,1.7171149824362184,46.40541729868323,1
514.6146536872859,2.048912945763227,43.85629932435961,1
524.9069467610317,2.4850738200651796,42.4889583387114,1
535.4050856962523,2.7673223547576007,39.21550114687288,1
546.1131874101774,3.220748053734031,37.32727148592062,1
557.035451158381,3.552490603641899,34.05354202903584,1
568.1761601815485,3.941010368196885,31.324563243054968,1
579.5396833851795,4.306031021804755,27.72572499628869,1
591.1304770528831,4.637174507033493,24.16414456020845,1
602.9530865939407,4.985328002073417,20.464139617195528,1
615.0121483258196,5.299110649367675,16.290278315830108,1
627.312391292336,5.554576806693104,12.042851647713391,1
639.8586391181827,5.7809160315967,7.231904847993077,1
652.6558119005464,5.929464291749586,2.409299073999037,1
665.7089281385573,6.070328323006667,-2.7035186085404916,1
679.0231067013285,6.11231245770726,-7.777505405649663,1
692.6035688353551,6.107996701440157,-12.953298547017951,1
706.4556402120622,6.022362287001608,-17.807119281895453,1
720.5847530163035,5.9048879098426745,-23.28535487231717,1
734.9964480766296,5.676370767149517,-27.610848180006258,1
749.6963770381622,5.437787190742089,-32.79569759414123,1
764.6903045789254,5.164200956834668,-36.81711687952816,1
779.9841106705039,4.794860601908276,-40.79414880190346,1
795.583792883914,4.546294427653514,-45.08442205640839,1
811.4954687415924,4.105330158226192,-48.093205173568435,1
827.7253781164243,3.7451563821022384,-51.5409696838788,1
844.2798856787527,3.445940740131974,-54.85532893244131,1
861.1654833923278,2.96269063381724,-57.492503104613434,1
878.3887930601744,2.5642641932729795,-60.105624236446445,1
895.9565689213779,2.267818057845029,-63.049010421536785,1
913.8757002998054,1.8680380466959057,-65.15436577998179,1
932.1532143058016,1.4072511226542286,-66.94283558668471,1
950.7962785919177,1.0546572052306977,-69.08357647823038,1
969.8122041637561,0.7571964072176985,-71.05539451611361,1
989.2084482470312,0.3885307072069248,-72.6846974217419,1
1008.9926172119718,-0.045046116221528154,-74.31554442414358,1
1029.1724695562114,-0.4275286399930803,-75.79495135757496,1
1049.7559189473357,-0.7375437462829265,-77.35348136438691,1
1070.7510373262824,-1.003311125179606,-78.69501128211023,1
1092.166058072808,-1.350062917540294,-80.25462327405734,1
1114.0093792342643,-1.6578711677669786,-81.50765305280093,1
1136.2895668189497,-2.0160724527236566,-82.6521050654948,1
1159.0153581553286,-2.3646250554593187,-83.75466359260622,1
1182.1956653184352,-2.672013446313258,-84.90632949752775,1
1205.8395786248038,-3.006100335068393,-85.95361312951701,1
1229.9563701973,-3.319265220928513,-87.01299698308941,1
1254.555497601246,-3.618984194503265,-87.87388779302512,1
1279.646607553271,-3.8931073493193407,-88.90179682589527,1
1305.2395397043365,-4.183489289275841,-89.9573484631344,1
1331.3443304984232,-4.420271812316337,-90.90476535568956,1
1357.9712171083918,-4.71679197578414,-91.80424801612514,1
1385.1306414505596,-4.957908634833182,-92.64722263802581,1
1412.8332542795708,-5.2254538981998735,-93.52755002101884,1
1441.0899193651624,-5.526150283538627,-94.3836851227957,1
1469.9117177524656,-5.858486608867009,-95.30808584646253,1
1499.3099521075148,-6.134762939771689,-96.07416378898995,1
1529.296151149665,-6.373205549201352,-96.86414035462546,1
1559.8820741726583,-6.568061006628501,-97.70574226409073,1
1591.0797156561116,-6.860802337624273,-98.57945271229005,1
1622.9013099692338,-7.18146690231679,-99.18447957649647,1
1655.3593361686185,-7.3557155657247,-100.10098627045386,1
1688.466522891991,-7.611224015791912,-101.01372162410581,1
1722.235853349831,-7.911346570201882,-101.69226437714138,1
1756.6805704168275,-8.134158471556658,-102.28166588697957,1
1791.814181825164,-8.395972826436413,-103.19860306323972,1
1827.6504654616674,-8.659103704811656,-103.83235530961328,1
1864.2034747709008,-8.902388604279613,-104.5418221448185,1
1901.4875442663188,-9.130393787576832,-105.41805545232043,1
1939.5172951516452,-9.40761936159379,-105.98401497567278,1
1978.307641054678,-9.619184105942566,-106.82617896210924,1
2017.8737938757715,-9.916646690876949,-107.40596886843548,1
2058.231269753287,-10.169800345021828,-108.73512267240409,1
2099.395895148353,-10.517627242149128,-111.08100843441855,1
2141.38381305132,-10.723863932365242,-110.5720726741344,1
2184.211489312346,-10.826653949591746,-109.96115790759143,1
2227.895719098593,-11.036160426212373,-109.39267424712345,1
2272.453633480565,-11.33454464673461,-111.15544468056972,1
2317.902706150176,-11.623115686527782,-113.83552681595795,1
2364.2607602731796,-11.90949846772602,-115.30375204404396,1
2411.5459754786434,-12.120395520051785,-114.3157268853602,1
2459.776894988216,-12.343960117906313,-113.48348130163342,1
2508.9724328879806,-12.561139971037102,-114.86668400335901,1
2559.1518815457403,-12.861344652767148,-117.27991249906944,1
2610.334919176655,-13.149022237248191,-118.28666128367371,1
2662.541617560188,-13.329878557659022,-117.62425552662728,1
2715.792449911392,-13.547933688660288,-116.80240152929095,1
2770.10829890962,-13.820267717744999,-119.15467991987475,1
2825.5104648878123,-14.153868807740286,-121.1379869471225,1
2882.0206741855686,-14.307542919222744,-121.45127205342715,1
2939.66108766928,-14.624671666379506,-120.70315942754652,1
2998.4543094226656,-14.827976129328569,-121.2133286940985,1
3058.423395611119,-15.080860754576419,-124.08778114977216,1
3119.591863523341,-15.31500684044682,-123.88689910909184,1
3181.983700793808,-15.562639414457603,-123.26075326673505,1
3245.6233748096843,-15.846144755880877,-125.28666989007095,1
3310.535842305878,-16.0679174199913,-126.83314781187893,1
3376.7465591519954,-16.362235878981068,-126.69300369258312,1
3444.2814903350354,-16.634258416023737,-126.28630881554744,1
3513.167120141736,-16.88468155423863,-128.2474001408097,1
3583.430462544571,-17.171365992341947,-129.36312194717877,1
3655.099071795463,-17.464218787382908,-128.73214148707325,1
3728.201053231372,-17.69907767136216,-130.13427853630316,1
3802.7650742959995,-17.960073719134474,-131.5377920476024,1
3878.8203757819197,-18.19174629546713,-131.43631777433407,1
3956.396783297558,-18.504739672435825,-132.05051796969673,1
4035.5247189635093,-18.750773592081828,-133.93564346593502,1
4116.235213342779,-19.053565809494252,-134.25195945257707,1
4198.559917609635,-19.299468533809968,-134.33730290900866,1
4282.531115961828,-19.501797988740194,-136.5908981224834,1
4368.181738281064,-19.85624044770989,-136.13270111363224,1
4455.545373046685,-20.084435632754772,-137.11729914104262,1
4544.656280507619,-20.349551632301573,-137.7810356603779,1
4635.5494061177715,-20.69898925996894,-137.52541159536418,1
4728.260394240127,-20.965888499063208,-139.64991216091272,1
4822.82560212493,-21.276467901240643,-140.27518897919367,1
4919.2821141674285,-21.582197327284128,-140.58968141429338,1
5017.667756450777,-21.791727470154274,-142.1251283804586,1
5118.021111579793,-22.071114143730604,-142.2296437706013,1
5220.381533811389,-22.483740871605352,-144.32167618183865,1
5324.789164487617,-22.74525096378676,-144.09798562477962,1
5431.28494777737,-22.99572690857571,-143.51265708253553,1
5539.9106467329175,-23.254069223720336,-145.3944330255851,1
5650.708859667576,-23.49850503353683,-146.6482845321438,1
5763.723036860927,-23.888337176473524,-147.5281840590138,1
5878.997497598146,-24.194341489108965,-147.86627341354819,1
5996.577447550108,-24.528696635715896,-148.61630267824654,1
6116.508996501111,-24.822194804642063,-150.43381905581074,1
6238.839176431134,-25.154623227841245,-149.8383036379569,1
