Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.598181265519262,89.83088835972015,2
40.8,-25.125651209706305,89.48495922536648,2
41.616,-25.297061402273286,88.17201921438627,2
42.44832,-24.89943330351105,88.67549164283085,2
43.297286400000004,-24.790638898797617,88.52471656388086,2
44.163232128000004,-24.514640723153967,88.90445452766082,2
45.046496770560005,-24.373203748620732,89.27412406039258,2
45.9474267059712,-24.22356537859632,87.16656500619324,1
46.866375240090626,-24.085486836501694,87.42210341795999,1
47.80370274489244,-23.875068084470048,89.24491341015886,1
48.75977679979029,-23.39912991865133,88.91868811450092,1
49.7349723357861,-23.47278668231912,87.55798771007241,1
50.72967178250182,-23.329153193031726,88.42540144921071,1
51.74426521815185,-23.25117015557659,88.72955400871945,1
52.77915052251489,-22.92575558363032,88.69545935189478,1
53.83473353296519,-23.19237225818107,87.57731618657314,1
54.911428203624496,-22.598624724731046,88.61455955749955,1
56.00965676769699,-22.601875852945465,87.36766466804318,1
57.12984990305093,-22.11776832928586,88.30398659386242,1
58.27244690111195,-22.37635860152476,87.8872700075417,1
59.437895839134185,-22.048701452682245,88.25002305356135,1
60.62665375591687,-21.687051228505837,87.83497946452356,1
61.83918683103521,-21.62881393789501,88.34087830305458,1
63.075970567655915,-21.539940074574005,88.10233086429204,1
64.33748997900904,-21.257836354898174,88.35483262853178,1
65.62423977858921,-21.143482119663854,87.65279234489208,1
66.936724574161,-20.850909657471668,88.80298349279354,1
68.27545906564423,-20.848960583696233,86.82661029974612,1
69.64096824695712,-20.50200047776332,87.58475600899285,1
71.03378761189626,-20.55354868225975,87.53071868002533,1
72.45446336413418,-20.234958405407003,87.90784130903654,1
73.90355263141687,-20.245730433712893,87.11263306588981,1
75.38162368404521,-20.068876172347455,87.01483814364737,1
76.88925615772611,-19.71786872952687,87.63465967660687,1
78.42704128088063,-19.588995818725294,87.61105073434226,1
79.99558210649825,-19.393514058469947,87.45606299688434,1
81.59549374862821,-19.193815385538983,87.38381012611774,1
83.22740362360078,-19.233084079201983,87.53508878449934,1
84.8919516960728,-18.81179977672075,87.64574497177469,1
86.58979072999425,-18.73444687486687,87.81145206591776,1
88.32158654459414,-18.6784550616838,86.82727552439488,1
90.08801827548602,-18.341920612873654,86.75856973018647,1
91.88977864099574,-18.24882878119003,87.21739275971589,1
93.72757421381566,-18.074544303241883,87.00484164333399,1
95.60212569809197,-17.962641090718467,87.42929871738998,1
97.5141682120538,-17.597604662141656,86.87392846989631,1
99.46445157629488,-17.509936715408244,86.56445423636134,1
101.45374060782078,-17.402778529020146,86.53763614511718,1
103.4828154199772,-17.278615912569535,86.51798774620863,1
105.55247172837674,-16.899498463140063,86.92273536918606,1
107.66352116294428,-17.018389304531688,86.54109345067344,1
109.81679158620317,-16.568257605554468,87.07185856931014,1
112.01312741792724,-16.686762213151905,85.85835413665414,1
114.25338996628578,-16.290692588568362,86.13195977569058,1
116.5384577656115,-16.310188946795016,86.42612037599167,1
118.86922692092372,-15.920498682435161,86.05224120703267,1
121.2466114593422,-15.881999652348096,86.05270456404534,1
123.67154368852906,-15.571511359980821,85.93448285092495,1
126.14497456229964,-15.59665206857999,86.14993422531766,1
128.66787405354563,-15.250534373437683,85.66202486489988,1
131.24123153461656,-15.169493390660941,86.1414798742256,1
133.8660561653089,-14.943761319054914,85.98284055266367,1
136.54337728861506,-14.939209363765547,85.53960659340218,1
139.27424483438736,-14.531875569353883,85.8414393415006,1
142.05972973107512,-14.57008815891383,85.2061603996572,1
144.90092432569662,-14.25885607025118,85.58860619618054,1
147.79894281221056,-14.18886890617948,85.28691583887456,1
150.75492166845476,-14.011267930410824,84.8264496412506,1
153.77002010182386,-13.68922516694092,85.27708477032485,1
156.84542050386034,-13.655136694484243,85.2923314485632,1
159.98232891393755,-13.412777237500402,84.70432497496485,1
