Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-20.497161554165693,-93.84334349106973,1
40.4,-20.469623898674133,-94.03576629880291,1
40.804,-20.35801167873531,-94.40321003166538,1
41.21204,-20.283381864592744,-93.85554083814115,1
41.6241604,-20.231572650018386,-93.84031098136484,1
42.040402004,-20.145821203875357,-93.6352258665795,1
42.460806024040004,-20.03405307972909,-93.24857223403933,1
42.885414084280406,-19.686398136510693,-94.30349997617316,1
43.31426822512321,-19.905580456854114,-93.58557657796138,1
43.74741090737444,-19.618867368303256,-93.94562699786563,1
44.184885016448185,-19.83502369921187,-94.04782727732083,1
44.62673386661267,-19.573839975874794,-93.57802756920765,1
45.07300120527879,-19.550758622606228,-94.29668328920009,1
45.52373121733158,-19.364669486552152,-94.39168385284655,1
45.9789685295049,-19.32784712305209,-94.7729718666746,1
46.43875821479995,-19.33799235013839,-95.52005277505162,1
46.903145796947946,-18.982455369292865,-94.00143366726482,1
47.372177254917425,-19.19102991397716,-95.63373103820446,1
47.8458990274666,-19.028549082310278,-94.6322023691243,1
48.32435801774127,-18.919997428418547,-94.25219664637177,1
48.80760159791868,-18.85809868251716,-95.23244412053242,1
49.29567761389787,-18.71568949839485,-94.86229120184693,1
49.788634390036854,-18.580354109112854,-95.00877861783863,1
50.28652073393722,-18.666616607442666,-95.05392704866392,1
50.7893859412766,-18.473979692532755,-95.09315025654207,1
51.29727980068937,-18.51824946438928,-94.91250974531545,1
51.81025259869626,-18.20106935457796,-95.01621045415328,1
52.32835512468322,-18.11039268894363,-94.59604028687876,1
52.851638675930054,-18.032926285041317,-95.06318722939618,1
53.380155062689354,-18.068655068746725,-94.83093008966708,1
53.91395661331625,-18.176362348408702,-95.13418483405007,1
54.45309617944942,-17.835973323062177,-94.54434136051857,1
54.99762714124391,-17.628009986104914,-94.73531724338727,1
55.54760341265635,-17.656763020125744,-95.15162065635042,1
56.103079446782914,-17.691387518424055,-96.02161725713194,1
56.66411024125075,-17.59166968571614,-95.9717393475056,1
57.23075134366326,-17.361936292009396,-95.86186537715105,1
57.80305885709989,-17.33467776348533,-95.37995485116751,1
58.38108944567089,-17.344018538734794,-95.44121683293392,1
58.9649003401276,-17.16874972218176,-96.19463808555516,1
59.554549343528876,-16.99606969667523,-95.84606572253942,1
60.150094836964165,-16.897849360531353,-95.24742764492582,1
60.751595785333805,-16.965801283321976,-96.11257650847608,1
61.35911174318714,-16.85157699456545,-96.16907453049197,1
61.972702860619016,-16.728113144815914,-96.13675559850672,1
62.59242988922521,-16.565375308303153,-95.90124195486733,1
63.21835418811746,-16.585283328981696,-95.99980650719424,1
63.850537729998635,-16.52392799645565,-95.72395625619507,1
64.48904310729863,-16.24853280973506,-96.01837260692253,1
65.13393353837161,-16.246203142499272,-96.36521789862356,1
65.78527287375532,-16.304464563465526,-95.96122399423518,1
66.44312560249287,-16.080264345316987,-96.10123318391476,1
67.1075568585178,-15.923256232766033,-96.12185295704832,1
67.77863242710298,-15.909861842873099,-96.53490625869111,1
68.456418751374,-15.879441481022097,-96.3561120406675,1
69.14098293888775,-15.768595659578668,-96.31557728869532,1
69.83239276827662,-15.581801746478664,-96.57005877457387,1
70.53071669595938,-15.625812124970544,-96.60647204606863,1
71.23602386291898,-15.54944484233793,-96.93053898436722,1
71.94838410154817,-15.240129906116822,-97.01878617871948,1
72.66786794256366,-15.291839120127504,-97.21673004757861,1
73.39454662198929,-15.389138720708685,-97.38133122609986,1
74.12849208820919,-15.053843908561111,-96.97110491778237,1
74.86977700909128,-14.9405754879619,-97.18813824452275,1
75.6184747791822,-15.018135968869709,-97.31695392526234,1
76.37465952697401,-14.955258894326441,-97.21272715024509,1
77.13840612224375,-14.648843738727154,-97.1553105125669,1
77.90979018346619,-14.707892252034528,-97.33116062315119,1
78.68888808530085,-14.694191047098924,-97.83963555009123,1
79.47577696615386,-14.434466376438559,-97.61317747619715,1
80.2705347358154,-14.388784142113428,-98.05905450949388,1
81.07324008317356,-14.370425144180267,-97.47567685639814,1
81.8839724840053,-14.190519168606679,-98.07911286873724,1
82.70281220884536,-14.125317413013248,-98.16050212991783,1
83.52984033093381,-14.13633974194796,-98.01826273015382,1
84.36513873424315,-13.872908352164748,-97.79938058847054,1
85.20879012158558,-13.859039762858467,-98.15914654410199,1
86.06087802280143,-13.838982329826413,-98.71143992009723,1
86.92148680302945,-13.610939011756276,-98.0124973427452,1
87.79070167105975,-13.552507624486003,-98.63756806924475,1
88.66860868777034,-13.56494678357634,-98.54550104905066,1
89.55529477464805,-13.35006801661857,-98.41622867166151,1
90.45084772239453,-13.408575871315454,-99.14775301129202,1
91.35535619961847,-13.273434026856052,-98.57271475206636,1
92.26890976161465,-13.055417300184782,-98.82343759810674,1
93.1915988592308,-13.10364998321095,-98.74032293087939,1
94.1235148478231,-12.913234192070608,-99.30046573654863,1
95.06474999630133,-12.931877516227573,-99.49733753767907,1
96.01539749626434,-12.839985003368007,-99.34371458205624,1
96.97555147122699,-12.604053759103554,-99.27534454596315,1
97.94530698593927,-12.695087357424823,-99.44262768004342,1
98.92476005579866,-12.455681581224122,-99.4777589893909,1
99.91400765635665,-12.430480982768799,-99.76879976908435,1
100.91314773292021,-12.365958380132923,-99.91381036862344,1
101.92227921024941,-12.20148746753021,-100.11364310840499,1
102.94150200235191,-12.188891349570019,-99.9562315507068,1
103.97091702237543,-12.001802409132683,-100.33964371488621,1
105.01062619259919,-11.869110354038895,-100.25778827295613,1
106.06073245452518,-11.840090341313605,-100.21141595631481,1
107.12133977907044,-11.904257278142621,-101.0431310065126,1
108.19255317686114,-11.710619431094326,-100.46933821077185,1
109.27447870862976,-11.493436933115705,-100.66119136583562,1
110.36722349571606,-11.459350811450777,-100.7476134576704,1
111.47089573067322,-11.480457200024212,-100.9438929713491,1
112.58560468797995,-11.441270633964542,-101.26353179769615,1
113.71146073485976,-11.230311336831388,-101.2945080335466,1
114.84857534220835,-11.073471451812386,-101.03833937098427,1
115.99706109563043,-10.993549864143393,-101.41120634400174,1
117.15703170658674,-11.041357267885527,-101.75584634212967,1
118.3286020236526,-10.909118690914152,-101.54935491543546,1
119.51188804388913,-10.696971217132669,-101.54369851694806,1
120.70700692432803,-10.603406160217373,-101.79499803628755,1
121.91407699357131,-10.693267267705615,-102.32033447587065,1
123.13321776350703,-10.509084296275523,-102.27400779450414,1
124.3645499411421,-10.279288607754982,-102.14154582216536,1
125.60819544055353,-10.242878418747766,-102.52724334895193,1
126.86427739495906,-10.277458444752467,-102.84524584446072,1
128.13292016890864,-10.064569405922875,-102.6876328401893,1
129.41424937059773,-9.942306867707012,-102.73546435416065,1
130.7083918643037,-9.895017842658055,-103.1168000344826,1
132.01547578294674,-9.938729985264363,-103.46817531158166,1
133.3356305407762,-9.737257935572051,-103.30828129784464,1
134.66898684618397,-9.568748766470735,-103.54346178350461,1
136.01567671464582,-9.567049760576213,-103.54419380374372,1
137.37583348179228,-9.525665821528031,-103.99735252382638,1
138.7495918166102,-9.24618250556969,-103.7147808455139,1
140.13708773477632,-9.22840305488124,-103.93998903578492,1
141.5384586121241,-9.241381846557022,-104.27441397474144,1
142.95384319824532,-9.079789262849427,-104.44934243208957,1
144.38338163022777,-8.920143028963928,-104.16174676255628,1
145.82721544653006,-8.90866694112405,-104.58880993897414,1
147.28548760099537,-8.827656265887914,-105.06813119413621,1
148.75834247700533,-8.606947926033598,-104.77886362524464,1
150.2459259017754,-8.52162566184214,-105.21445609837036,1
151.74838516079316,-8.553582771132538,-105.71649245460927,1
