Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-20.69817092963806,-90.59221978181847,1
40.4,-20.524092902394962,-90.40771363074958,1
40.804,-20.477992185828835,-90.83676240308102,1
41.21204,-20.53387954909989,-91.10047288477827,1
41.6241604,-20.164010433504156,-91.55066208821417,1
42.040402004,-20.232432083856196,-91.30966532098793,1
42.460806024040004,-20.13519228147431,-91.59244643030013,1
42.885414084280406,-19.96880463224192,-91.39524213736107,1
43.31426822512321,-20.001561078029592,-91.65879341026677,1
43.74741090737444,-19.812890409363334,-91.04027326731573,1
44.184885016448185,-19.849816911076296,-91.82607590879843,1
44.62673386661267,-19.653872217802814,-92.61857242039687,1
45.07300120527879,-19.77387941952476,-91.34207437084189,1
45.52373121733158,-19.438600215805696,-90.89881543915791,1
45.9789685295049,-19.619214940439615,-91.89814288676894,1
46.43875821479995,-19.22178388251299,-91.81422432443884,1
46.903145796947946,-19.241082722737726,-91.39662584825946,1
47.372177254917425,-18.78304117780058,-90.57921136276575,1
47.8458990274666,-18.987382132196068,-91.98472515624711,1
48.32435801774127,-19.0365658589208,-91.78701735183324,1
48.80760159791868,-18.77285378043098,-91.60327351528844,1
49.29567761389787,-18.784944688973948,-95.56248535721922,1
49.788634390036854,-18.64127921070319,-92.46284523719693,1
50.28652073393722,-18.655884374116177,-91.1832357647944,1
50.7893859412766,-18.552372601737723,-91.52987122121718,1
51.29727980068937,-18.63165640390254,-92.48326848379935,1
51.81025259869626,-18.33385867921931,-91.20939754596156,1
52.32835512468322,-18.111560768472003,-91.93720149683135,1
52.851638675930054,-18.05131260196491,-91.70355232371446,1
53.380155062689354,-18.26703780957651,-91.66659960313581,1
53.91395661331625,-18.145510418103605,-91.03499668158008,1
54.45309617944942,-17.892631919829235,-91.33794969335038,1
54.99762714124391,-17.76064106544171,-91.95442759559859,1
55.54760341265635,-17.777033656914934,-91.01455974466592,1
56.103079446782914,-17.794374112623085,-91.7516099516335,1
56.66411024125075,-17.516488283247753,-91.84254960790156,1
57.23075134366326,-17.363009755784446,-91.6124710833769,1
57.80305885709989,-17.340126296016706,-92.0537668158935,1
58.38108944567089,-17.44352338213081,-91.85080340590699,1
58.9649003401276,-17.29675290245329,-91.69346364005807,1
59.554549343528876,-17.19368814037041,-91.8112935516743,1
60.150094836964165,-16.94667684356465,-91.5936940466753,1
60.751595785333805,-17.065092810699415,-92.07833300272756,1
61.35911174318714,-16.960206816475665,-91.80266649076282,1
61.972702860619016,-16.757415162963017,-91.62057660358151,1
62.59242988922521,-16.687611915086887,-91.9902247590083,1
63.21835418811746,-16.751672988171055,-91.82512018509256,1
63.850537729998635,-16.626651559232617,-91.86030901968256,1
