Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.884769022783402,88.72501272749628,1
40.4,-22.7969202745054,87.13922459420314,1
40.804,-22.565671803285028,88.01696921993249,1
41.21204,-22.833306734716246,87.8787052449199,1
41.6241604,-22.42899857094211,87.11317572270019,1
42.040402004,-22.496626614361567,87.44536963440342,1
42.460806024040004,-22.398769223978192,87.03636870234727,1
42.885414084280406,-22.275168995599117,87.77270086156886,1
43.31426822512321,-22.3068795360336,87.75275335477153,1
43.74741090737444,-21.957995171454357,87.93970830342116,1
44.184885016448185,-21.976174871919554,86.19754257907996,1
44.62673386661267,-21.77756176849222,87.06616832793748,1
45.07300120527879,-21.846492688951972,87.90973908478941,1
45.52373121733158,-21.780322397988712,87.49577925161913,1
45.9789685295049,-21.78647041347271,86.9393539584299,1
46.43875821479995,-21.34947328468866,87.40847033503792,1
46.903145796947946,-21.48619776536887,86.22381086497784,1
47.372177254917425,-21.298730814701553,86.89583999108098,1
47.8458990274666,-21.238116635453938,88.39322318663011,1
48.32435801774127,-21.245508713703714,87.7707156612745,1
48.80760159791868,-21.13679408389279,87.3372710115928,1
49.29567761389787,-20.982935106376257,87.54995435452464,1
49.788634390036854,-21.00434798034578,87.65763917672663,1
50.28652073393722,-20.90256881510913,87.54721082327796,1
50.7893859412766,-20.751131507057252,86.78567861713154,1
51.29727980068937,-20.84293907045495,86.91288543406507,1
51.81025259869626,-20.47900889040072,87.35319544036531,1
52.32835512468322,-20.4591521287885,87.0940783853755,1
52.851638675930054,-20.470721517343456,86.85187096588618,1
53.380155062689354,-20.594405027106507,86.96392145184828,1
53.91395661331625,-20.31531079764701,86.90337527442179,1
54.45309617944942,-20.04055055471242,87.87377645195951,1
54.99762714124391,-19.989249242030855,86.87434638725897,1
55.54760341265635,-20.154216474790086,86.52122013027731,1
56.103079446782914,-20.015732070641793,86.76959399860093,1
56.66411024125075,-19.86483653947904,87.11587677647594,1
57.23075134366326,-19.567773958583714,87.1436564115184,1
57.80305885709989,-19.694573497052954,87.06910752190363,1
58.38108944567089,-19.617966230130122,87.71451865746319,1
58.9649003401276,-19.650455892008242,87.15131295063902,1
59.554549343528876,-19.23780497092144,86.98122570212067,1
60.150094836964165,-19.279218500964287,86.88089513686715,1
