Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.009938671016446,-92.96283074083789,1
40.4,-21.77993681717147,-94.09222259500274,1
40.804,-21.61916043816673,-93.51482541425034,1
41.21204,-21.741626327503056,-93.88489267552427,1
41.6241604,-21.311686541639748,-94.0872777031253,1
42.040402004,-21.44188602840216,-93.89731353557849,1
42.460806024040004,-21.40440324776969,-94.6184871133774,1
42.885414084280406,-21.270808072861243,-93.4862477909467,1
43.31426822512321,-21.175731477899784,-94.0900414808581,1
43.74741090737444,-21.077151181784618,-94.45394446248562,1
44.184885016448185,-21.017135416800926,-95.0994463021172,1
44.62673386661267,-20.933954913848545,-93.95806008297805,1
45.07300120527879,-20.939417177048632,-93.73690004328631,1
45.52373121733158,-20.776171100204408,-93.86849280164654,1
45.9789685295049,-20.62847650564652,-93.7115213821599,1
46.43875821479995,-20.46156583229177,-94.95341911852512,1
46.903145796947946,-20.55885904244787,-94.96787888362171,1
47.372177254917425,-20.476930778226894,-94.75521107212273,1
47.8458990274666,-20.428282046708222,-94.46865442885843,1
48.32435801774127,-20.422561721426625,-94.8265726217241,1
48.80760159791868,-20.30871273975316,-94.75670925461051,1
49.29567761389787,-20.048660231835385,-94.60768843629944,1
49.788634390036854,-19.8341442149406,-94.5231336182736,1
50.28652073393722,-19.92629409407999,-95.01260797570308,1
50.7893859412766,-19.762765055082635,-94.50750326490544,1
51.29727980068937,-19.89817954846634,-95.42469090999259,1
51.81025259869626,-19.587284881684855,-95.16317361792952,1
52.32835512468322,-19.413274054358006,-94.49190853946217,1
52.851638675930054,-19.343318751221425,-94.6778816005799,1
53.380155062689354,-19.394335259944604,-95.2101010345116,1
53.91395661331625,-19.36944889071134,-95.80756340539943,1
54.45309617944942,-19.08015235381138,-95.20510765005903,1
54.99762714124391,-18.868766704896252,-94.54921210275566,1
55.54760341265635,-19.01617985226353,-95.74458236962363,1
56.103079446782914,-19.081920608460873,-96.00619887977894,1
56.66411024125075,-18.884799332071054,-95.79571293076083,1
57.23075134366326,-18.656835321662793,-95.09195318954299,1
57.80305885709989,-18.659083115516438,-95.89264679744034,1
58.38108944567089,-18.623502255608283,-95.70554355381066,1
58.9649003401276,-18.54988255770533,-95.49325790436532,1
59.554549343528876,-18.3444677639107,-96.07198258424657,1
60.150094836964165,-18.300276865656148,-95.00930670273645,1
60.751595785333805,-18.35011138061266,-95.94060979797314,1
61.35911174318714,-18.18316241535495,-95.72541991096102,1
61.972702860619016,-18.067157883531433,-95.67976310908047,1
62.59242988922521,-17.807708356371517,-95.80348367010636,1
63.21835418811746,-17.995738140292847,-95.84947270487325,1
63.850537729998635,-17.903076356688146,-96.53308991436565,1
64.48904310729863,-17.64250882867851,-95.69015959928646,1
65.13393353837161,-17.527869221032397,-96.22457449581232,1
65.78527287375532,-17.65716984209891,-96.05462911088034,1
66.44312560249287,-17.47949512717114,-96.2964503367536,1
67.1075568585178,-17.214025588360382,-96.643095529135,1
67.77863242710298,-17.236055768880256,-96.58631233823478,1
68.456418751374,-17.274200690478203,-96.511182069352,1
69.14098293888775,-17.09822045022037,-96.16841256522423,1
69.83239276827662,-16.971799458681836,-96.90091117016576,1
70.53071669595938,-16.995457575033935,-96.44640315582501,1
71.23602386291898,-16.970770989578114,-97.2899182147803,1
71.94838410154817,-16.6669449868539,-96.82144821772236,1
72.66786794256366,-16.655820171074378,-97.28844976584385,1
73.39454662198929,-16.598759671568253,-97.16405212104274,1
74.12849208820919,-16.415436105636505,-96.6336646936937,1
74.86977700909128,-16.285328632842432,-97.30091459595005,1
75.6184747791822,-16.300542297133873,-97.07752644616767,1
76.37465952697401,-16.224495811225992,-97.19853680755853,1
77.13840612224375,-15.971506567416867,-97.26466857548272,1
77.90979018346619,-16.050536149980307,-97.60275277620408,1
78.68888808530085,-15.946641802043303,-97.51847139250536,1
79.47577696615386,-15.794654566775472,-97.98860615487959,1
80.2705347358154,-15.767748365001593,-97.66994437992281,1
81.07324008317356,-15.679234688485716,-97.43351555014726,1
81.8839724840053,-15.492576143166616,-97.7663341340333,1
82.70281220884536,-15.503796666020321,-97.77843310989964,1
83.52984033093381,-15.488884429360944,-98.1309581474411,1
84.36513873424315,-15.168686449193332,-97.89476165496049,1
85.20879012158558,-15.233312436227816,-97.92744122983555,1
86.06087802280143,-15.23294148325257,-98.71300261207995,1
86.92148680302945,-14.925638278476377,-98.37227136323565,1
87.79070167105975,-14.897358996175187,-98.70278422507378,1
88.66860868777034,-14.914437114674659,-98.90381201052475,1
89.55529477464805,-14.64835668718828,-98.57248730439365,1
90.45084772239453,-14.71125175973088,-98.9632400354036,1
91.35535619961847,-14.54344048780867,-99.13094983717258,1
92.26890976161465,-14.400739332886758,-99.06245517633837,1
93.1915988592308,-14.461282153848309,-98.94548629319877,1
94.1235148478231,-14.218111712926229,-98.83407387709282,1
95.06474999630133,-14.198552107349643,-98.84909940155558,1
96.01539749626434,-14.14300063199233,-99.2447388041623,1
96.97555147122699,-13.979405648035675,-98.91740757978516,1
97.94530698593927,-13.982743173320099,-99.5570720579122,1
