Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-21.927218383859056,-92.4520956262549,1
40.4,-22.338433075511947,-89.71773901350832,1
40.804,-21.649950842753636,-91.8175489374736,1
41.21204,-21.94416236803455,-90.65971374182563,1
41.6241604,-21.731849790331843,-90.9387222855858,1
42.040402004,-21.66461760356948,-91.89196416939359,1
42.460806024040004,-21.622757856016364,-91.29078181309126,1
42.885414084280406,-21.301443304838294,-91.21887296826996,1
43.31426822512321,-21.383720897147228,-91.41849275754979,1
43.74741090737444,-21.212180277554424,-91.66876020916622,1
44.184885016448185,-21.270243298282146,-91.42220239377804,1
44.62673386661267,-20.926730154368617,-90.8795124861563,1
45.07300120527879,-21.104415608533117,-91.18092520381126,1
45.52373121733158,-20.790355539649994,-90.3532638640759,1
45.9789685295049,-20.984891726727977,-92.60393666639345,1
46.43875821479995,-20.860549818893382,-92.19700670377131,1
46.903145796947946,-20.571715156333827,-90.51052864462723,1
47.372177254917425,-20.53875204373474,-91.16326755838355,1
47.8458990274666,-20.364512001914502,-91.249226629631,1
48.32435801774127,-20.6489615381426,-92.35879305682698,1
48.80760159791868,-20.258885404869407,-92.4377031724743,1
49.29567761389787,-20.269099464882203,-96.05400187335643,1
49.788634390036854,-20.10127482126143,-92.19639134072962,1
50.28652073393722,-20.192329351843437,-91.75160717033373,1
50.7893859412766,-20.00316396169805,-91.7871096349854,1
51.29727980068937,-19.93620325615635,-92.64346735405934,1
51.81025259869626,-19.86410896732702,-91.96240531988514,1
52.32835512468322,-19.58698096055452,-90.96339446987903,1
52.851638675930054,-19.622875198788442,-91.59672656624332,1
53.380155062689354,-19.696918343440206,-91.6328788984227,1
53.91395661331625,-19.580356334575498,-88.63134868287014,1
54.45309617944942,-19.434042311224324,-91.23801002364489,1
54.99762714124391,-19.210639690620294,-91.33570549063059,1
55.54760341265635,-19.16163839729602,-91.80101391532196,1
56.103079446782914,-19.1777898161386,-92.4785599684576,1
56.66411024125075,-19.173794469140756,-92.1380131728074,1
57.23075134366326,-18.78126388010511,-91.28528397095852,1
57.80305885709989,-18.80816108579989,-91.35999440381303,1
58.38108944567089,-18.87490608888708,-92.05175226174347,1
58.9649003401276,-18.76452466674803,-91.97709604087984,1
59.554549343528876,-18.557769701616213,-91.56056287928038,1
60.150094836964165,-18.400176451581107,-92.42345272822502,1
60.751595785333805,-18.452967262236992,-91.94895263103223,1
