Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.698675460066664,-91.90995606380966,2
40.4,-23.803287799696278,-91.94873122831058,2
40.804,-23.392096165270196,-91.40456408675229,1
41.21204,-23.48283016149776,-91.95082963547075,2
41.6241604,-23.197112803744158,-92.23780698798375,2
42.040402004,-23.285558678784025,-91.31889888058102,1
42.460806024040004,-23.278463238490374,-92.15253648481007,1
42.885414084280406,-23.047820398078194,-92.36675969972282,2
43.31426822512321,-23.032455126361313,-93.09597667212074,1
43.74741090737444,-22.804723937575954,-92.39435055745516,1
44.184885016448185,-22.89500079673354,-92.31200557068286,1
44.62673386661267,-22.618188240792925,-92.78424192898622,1
45.07300120527879,-22.614899478883,-92.95416966825832,1
45.52373121733158,-22.335342879755043,-92.12389897331607,1
45.9789685295049,-22.259723699569804,-91.1001671992114,1
46.43875821479995,-22.396001652704097,-91.82316590996106,1
46.903145796947946,-22.090063895147455,-92.86923060343447,1
47.372177254917425,-22.148251338022234,-92.29956629186037,1
47.8458990274666,-22.093503311623213,-92.33057752408973,1
48.32435801774127,-22.07683361245905,-93.12514404290232,1
48.80760159791868,-21.886068778005413,-93.58670700226642,1
49.29567761389787,-21.743688351881378,-91.43740041342897,1
49.788634390036854,-21.704225104252888,-92.31761465240952,1
50.28652073393722,-21.68120052783828,-93.08113798487716,1
50.7893859412766,-21.47468215076588,-93.09972359887242,1
51.29727980068937,-21.47022810924863,-93.36161348002719,1
51.81025259869626,-21.350671566163744,-93.01393910473323,1
52.32835512468322,-21.240500154494466,-92.80603640279148,1
52.851638675930054,-21.230670190019573,-92.85430088599493,1
53.380155062689354,-21.24498809925502,-93.10717572197902,1
53.91395661331625,-21.05342077518853,-92.26561168650773,1
54.45309617944942,-20.89979018101377,-92.69927593947455,1
54.99762714124391,-20.585085200739655,-92.63034284385432,1
55.54760341265635,-20.725108622768307,-92.41543670653431,1
56.103079446782914,-20.886875713814856,-93.68599088341387,1
56.66411024125075,-20.599152569160037,-92.78404582659078,1
57.23075134366326,-20.456198435994796,-92.92848730083765,1
57.80305885709989,-20.281678438323105,-93.106402506061,1
58.38108944567089,-20.40975938124928,-92.73893400379347,1
58.9649003401276,-20.41625836033526,-92.64876769199878,1
59.554549343528876,-20.099540609253378,-92.47214846913047,1
60.150094836964165,-20.074606800123057,-92.0187050319103,1
60.751595785333805,-20.188976435640328,-92.88108875770877,1
61.35911174318714,-19.9109269273257,-93.39684998292398,1
61.972702860619016,-19.75882718542953,-93.10947127297196,1
62.59242988922521,-19.66146558457108,-93.08784805047719,1
63.21835418811746,-19.705730350758728,-93.11341941444267,1
63.850537729998635,-19.64789821041119,-92.68283680205079,1
64.48904310729863,-19.39397731253537,-93.04770682843215,1
65.13393353837161,-19.39334292316738,-93.76719244363974,1
65.78527287375532,-19.398257517999408,-93.17681795756516,1
66.44312560249287,-19.27640856516007,-91.74780424690266,1
67.1075568585178,-18.96598519642395,-93.08332718270731,1
67.77863242710298,-18.95410053154504,-93.59526389741829,1
68.456418751374,-19.10432796117986,-93.21455599191293,1
69.14098293888775,-18.833220481525853,-93.78106211593331,1
69.83239276827662,-18.724170672261916,-93.55893426453508,1
70.53071669595938,-18.81017588152713,-94.37509896605434,1
71.23602386291898,-18.695234239989414,-93.29108638548382,1
71.94838410154817,-18.47738198616077,-93.80553453205854,1
72.66786794256366,-18.544962032719166,-93.38850605055681,1
73.39454662198929,-18.495448048700066,-94.08717838263874,1
74.12849208820919,-18.234176976224926,-93.65585068000755,1
74.86977700909128,-18.103698343468125,-93.24126508859959,1
75.6184747791822,-18.185773620160607,-93.83654430104838,1
76.37465952697401,-18.08966140951332,-93.75729700312877,1
77.13840612224375,-17.92141839653294,-93.94448990991725,1
77.90979018346619,-17.937920946753263,-93.78943542973224,1
78.68888808530085,-17.84794648496862,-94.01491501669923,1
79.47577696615386,-17.571560682932223,-93.6038181396224,1
80.2705347358154,-17.5966308497878,-94.46190128890771,1
81.07324008317356,-17.459831221025865,-93.59408169983004,1
81.8839724840053,-17.453935262745606,-93.82716510014637,1
82.70281220884536,-17.4755680758399,-93.93555674635192,1
83.52984033093381,-17.281989423689836,-94.2796861945593,1
84.36513873424315,-17.12020696408433,-93.65285669647852,1
85.20879012158558,-17.048362763307512,-93.84801432014842,1
86.06087802280143,-17.11558901749424,-94.22139086603852,1
86.92148680302945,-16.857366146025768,-93.94941163323162,1
87.79070167105975,-16.84100303316031,-93.97504806845116,1
88.66860868777034,-16.824642711640127,-94.19343744726918,1
89.55529477464805,-16.60558415043298,-94.24345438843264,1
90.45084772239453,-16.680135854951036,-94.45981960702181,1
91.35535619961847,-16.52818889648249,-94.89602159612787,1
