Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.201995949679542,85.88381860961286,1
40.4,-22.042632583344812,87.01628820010478,1
40.804,-21.88005186104489,85.4674231682742,1
41.21204,-21.961838085339984,86.06191171434358,1
41.6241604,-21.754152299028597,85.25981446330519,1
42.040402004,-21.59208794698871,86.40557608749648,1
42.460806024040004,-21.672543418084587,85.4067701592873,1
42.885414084280406,-21.531217283097657,85.32866758825315,1
43.31426822512321,-21.475381241790764,86.16766540671965,1
43.74741090737444,-21.29967014321945,85.094858372684,1
44.184885016448185,-21.339284450769153,85.77817355686926,1
44.62673386661267,-21.149559875273685,85.68436110656353,1
45.07300120527879,-21.236571115105495,85.5488554628502,1
45.52373121733158,-21.034774951017077,85.35654564805061,1
45.9789685295049,-21.03319544566158,85.12625802442847,1
46.43875821479995,-20.716337192388252,84.22954508297238,1
46.903145796947946,-20.641012476056517,84.49751380074463,1
47.372177254917425,-20.62444621659321,85.2770722299379,1
47.8458990274666,-20.557212338553988,85.057679263251,1
48.32435801774127,-20.445816447282496,84.4856145053117,1
48.80760159791868,-20.291523934847962,84.25247058865153,1
49.29567761389787,-20.284155892489142,85.24878349675586,1
49.788634390036854,-20.275202160176654,84.85838729307808,1
50.28652073393722,-20.197830953123255,84.29629020667551,1
50.7893859412766,-20.01046831786653,84.63158728984381,1
51.29727980068937,-20.021174050895088,84.73574504158647,1
51.81025259869626,-19.783766063292454,84.85198108808652,1
52.32835512468322,-19.575957978675092,84.1059372401316,1
52.851638675930054,-19.70950177740228,84.55882934941405,1
53.380155062689354,-19.708638266900216,84.1716912241716,1
53.91395661331625,-19.649693798463748,84.4458362040639,1
54.45309617944942,-19.342229714143546,84.59184890219115,1
54.99762714124391,-19.27889856736824,84.87195028340655,1
55.54760341265635,-19.23601477208208,84.43227497435728,1
56.103079446782914,-19.23400890646614,84.05234125703606,1
56.66411024125075,-19.035156620635966,84.20301044519928,1
57.23075134366326,-18.82673979635772,84.53175260161231,1
57.80305885709989,-18.850214920483293,84.20542340358692,1
58.38108944567089,-18.76429118393774,83.72585524328798,1
58.9649003401276,-18.810436229587953,83.59872832135451,1
59.554549343528876,-18.538069829191492,84.31168638569618,1
60.150094836964165,-18.401865470861328,84.46512433170032,1
60.751595785333805,-18.492416027378212,83.16878717969294,1
61.35911174318714,-18.422185738160806,83.43683870292932,1
61.972702860619016,-18.234057503532505,83.74338193984721,1
62.59242988922521,-18.171029588652573,83.45890111313741,1
63.21835418811746,-18.23402083736005,83.62468280437878,1
63.850537729998635,-18.168773698753224,82.87993280431947,1
64.48904310729863,-17.735187208773294,83.59653234749337,1
65.13393353837161,-17.694838230553884,83.34455522082328,1
65.78527287375532,-17.881308524464295,83.25061816464535,1
66.44312560249287,-17.717309911987673,82.82742501856377,1
67.1075568585178,-17.47124660982494,83.26158662514774,1
67.77863242710298,-17.45768021219515,83.03644849255322,1
68.456418751374,-17.483283704853303,82.59765303680456,1
69.14098293888775,-17.329042066364906,82.99179299874777,1
69.83239276827662,-17.1079076070132,83.15092071870707,1
70.53071669595938,-17.24612780348824,82.88518660404418,1
71.23602386291898,-17.116473446447397,82.6266680235205,1
71.94838410154817,-16.8447063455994,83.15444921882636,1
72.66786794256366,-16.871337146993202,82.98677350326773,1
73.39454662198929,-16.892466788533234,82.46225017002986,1
74.12849208820919,-16.683915725829603,82.4591665602508,1
74.86977700909128,-16.490554584644176,82.17974411264069,1
75.6184747791822,-16.52363858912148,82.03996684739178,1
76.37465952697401,-16.52503141827099,81.78881274160871,1
77.13840612224375,-16.29741420517449,81.93524395751251,1
77.90979018346619,-16.244725581353677,81.96412139732672,1
78.68888808530085,-16.214805064479982,82.06035044563433,1
79.47577696615386,-15.946331195689577,81.75046069871365,1
80.2705347358154,-15.971369247737263,81.48960827148903,1
81.07324008317356,-15.937364331035656,81.68368304345096,1
81.8839724840053,-15.770748989900484,81.83050119497,1
82.70281220884536,-15.746552541889248,81.77433154477886,1
83.52984033093381,-15.685730655140235,81.67298343162196,1
84.36513873424315,-15.479701096723032,81.39198717175988,1
85.20879012158558,-15.490016948981099,81.26956925959495,1
86.06087802280143,-15.367570247028407,80.84433515718933,1
86.92148680302945,-15.245682336680536,81.17073827971808,1
87.79070167105975,-15.229439248531236,80.97978759008377,1
88.66860868777034,-15.145500976453771,80.80637989401696,1
89.55529477464805,-14.966578946100542,80.662981182304,1
90.45084772239453,-14.968636394766834,80.41497934242472,1
91.35535619961847,-14.79949242252499,80.76815459444433,1
92.26890976161465,-14.716686753719241,80.49556989482517,1
93.1915988592308,-14.76308982572975,80.37265268187902,1
94.1235148478231,-14.483235807468947,80.305521155932,1
95.06474999630133,-14.56561023287379,79.7339109124943,1
96.01539749626434,-14.401607655743778,80.05647756337649,1
96.97555147122699,-14.250392300920426,80.11518213146473,1
97.94530698593927,-14.244100864060908,80.04354658758919,1
98.92476005579866,-14.062204261579796,79.69636048485378,1
99.91400765635665,-14.013334322433801,79.67564238124903,1
100.91314773292021,-14.00267806134061,79.83102044917396,1
101.92227921024941,-13.785452044084563,79.21456368233504,1
102.94150200235191,-13.820465193081633,79.11813636853498,1
103.97091702237543,-13.618841795944867,79.49147439655036,1
