Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.849355525967244,-92.2141431087183,1
40.4,-22.772926817416,-92.88493238108641,1
40.804,-22.71037341807122,-91.39560166312876,2
41.21204,-22.611452946406054,-91.58080933849986,1
41.6241604,-22.3892199086542,-91.79026337642958,1
42.040402004,-22.388315132109522,-93.02230367819789,1
42.460806024040004,-22.118370152289014,-92.63860080686209,1
42.885414084280406,-22.17257858073365,-92.38922690775058,1
43.31426822512321,-22.148114342305618,-91.74796166378019,1
43.74741090737444,-21.8990724422478,-91.90153818107886,1
44.184885016448185,-21.97157762624973,-92.16278869769394,1
44.62673386661267,-21.907909019269173,-92.72232189523754,1
45.07300120527879,-21.710693942387135,-93.29614085208182,1
45.52373121733158,-21.61107917671285,-91.15291896471062,1
45.9789685295049,-21.408858499785882,-93.656955192807,1
46.43875821479995,-21.649776620681383,-92.61764654204148,1
46.903145796947946,-21.343586714548103,-92.87551154345086,1
47.372177254917425,-21.16154109296895,-91.10725803369726,1
47.8458990274666,-21.11525852589818,-92.36084988915547,1
48.32435801774127,-21.32808796337209,-92.49888822462765,1
48.80760159791868,-21.108300931923658,-92.68927579125652,1
49.29567761389787,-21.03143933896915,-92.20741802247905,1
49.788634390036854,-20.80114328476287,-92.17881466323692,1
50.28652073393722,-20.861346498741394,-91.9616318765323,1
50.7893859412766,-20.792656600781964,-92.78377405237094,1
51.29727980068937,-20.81159398888236,-93.54280679918986,1
51.81025259869626,-20.60444550159874,-92.34397976123704,1
52.32835512468322,-20.30048334273808,-92.12524938454081,1
52.851638675930054,-20.57463210615018,-92.1688599081959,1
53.380155062689354,-20.396822162061042,-93.15659903489575,1
53.91395661331625,-20.307409349184542,-93.31375188040272,1
54.45309617944942,-20.011107031400027,-91.88666106569895,1
54.99762714124391,-19.97680892885987,-92.55927757914975,1
55.54760341265635,-19.90278519822768,-92.53278829284797,1
56.103079446782914,-20.089377478675292,-93.21120042733037,1
56.66411024125075,-19.916100028540843,-92.57824417116177,1
57.23075134366326,-19.634510055817735,-93.66569733605363,1
57.80305885709989,-19.566557071049765,-92.6587630006939,1
58.38108944567089,-19.705939087044722,-93.0581504091929,1
58.9649003401276,-19.614883055031,-92.10126889273907,1
59.554549343528876,-19.270501238362606,-93.12310609536834,1
60.150094836964165,-19.159119039401755,-93.95637581816084,1
60.751595785333805,-19.27987702776908,-93.39612184571007,1
61.35911174318714,-19.16664637889995,-93.0595475541835,1
61.972702860619016,-19.042266675907033,-92.93832678204063,1
62.59242988922521,-18.79561336050248,-93.02522588733753,1
63.21835418811746,-18.831075714075144,-93.28744892393831,1
63.850537729998635,-18.86251156121175,-93.2068829339063,1
64.48904310729863,-18.698005668911573,-93.0510090986616,1
65.13393353837161,-18.50713264210929,-93.24644185501714,1
65.78527287375532,-18.661974861839095,-92.99645321772505,1
66.44312560249287,-18.359917309787328,-93.46097636128815,1
67.1075568585178,-18.18665056887358,-93.35939610793223,1
67.77863242710298,-18.25351641957775,-93.48620726473843,1
68.456418751374,-18.225838680616278,-93.4714718184064,1
69.14098293888775,-18.157258277720583,-93.7105189896831,1
69.83239276827662,-17.870919846310407,-92.98673632693928,1
70.53071669595938,-17.932853689603082,-93.46929974606843,1
71.23602386291898,-17.96667402983991,-93.0234607029289,1
71.94838410154817,-17.644144049266387,-93.6842934297543,1
72.66786794256366,-17.61910034883938,-93.14009353772435,1
73.39454662198929,-17.66234217239679,-93.8569389664581,1
74.12849208820919,-17.42646558261727,-94.07903153364755,1
74.86977700909128,-17.29238127062551,-93.54999260691226,1
75.6184747791822,-17.39305813587395,-93.29221750572509,1
76.37465952697401,-17.248806126762837,-94.3237361102689,1
77.13840612224375,-16.999138092474357,-93.49473670584135,1
77.90979018346619,-17.070836453927264,-93.25175964995921,1
78.68888808530085,-16.970042189540344,-94.04095867795206,1
79.47577696615386,-16.72370279964943,-93.68241338487064,1
80.2705347358154,-16.79327615693671,-93.74417566703448,1
81.07324008317356,-16.778278448362208,-94.3444477909814,1
81.8839724840053,-16.573478351226942,-93.97432567659953,1
82.70281220884536,-16.50212952764837,-93.97481625451238,1
83.52984033093381,-16.577617966545237,-94.19706806335131,1
84.36513873424315,-16.237776421717967,-94.14791701695518,1
85.20879012158558,-16.34686060272313,-94.03897858662515,1
86.06087802280143,-16.234105532506263,-93.90157083145351,1
86.92148680302945,-16.02875939914148,-93.98000145440665,1
87.79070167105975,-16.029059226887334,-93.40613508154006,1
88.66860868777034,-16.004889132441527,-94.56577179528597,1
89.55529477464805,-15.709816922779154,-94.6121091274754,1
90.45084772239453,-15.8149884517829,-95.08030942358573,1
91.35535619961847,-15.66145204454131,-93.87684693776879,1
92.26890976161465,-15.520897136640986,-94.46812848462045,1
93.1915988592308,-15.496518254849498,-94.69571444362408,1
94.1235148478231,-15.386450596651192,-94.47898490563696,1
95.06474999630133,-15.300777782000049,-94.57604160331589,1
96.01539749626434,-15.36751889796761,-94.43316133835873,1
96.97555147122699,-15.149512595597184,-94.97009170136616,1
97.94530698593927,-15.17546201080614,-94.3636513092739,1
98.92476005579866,-14.985377955434219,-94.72605209038977,1
99.91400765635665,-14.92885951090979,-94.93388999320642,1
100.91314773292021,-14.854089916681906,-95.16111843204874,1
101.92227921024941,-14.634172434063634,-94.80250122332602,1
102.94150200235191,-14.691706060166101,-95.37971574094345,1
103.97091702237543,-14.499002745136531,-95.04093622586251,1
105.01062619259919,-14.367532915403736,-94.66205269573933,1
106.06073245452518,-14.382294368077675,-95.02351980296072,1
107.12133977907044,-14.441273141936142,-95.69153530297655,1
108.19255317686114,-14.27881697943175,-95.58703764110174,1
109.27447870862976,-14.02254183541867,-94.95786814400354,1
110.36722349571606,-13.922301343443387,-95.33427825032922,1
111.47089573067322,-14.016730519657777,-95.5542235807593,1
112.58560468797995,-13.978348465121782,-95.66625069644869,1
113.71146073485976,-13.772329019282232,-95.21601991923157,1
114.84857534220835,-13.586791445593033,-95.3327578588434,1
115.99706109563043,-13.584205937104775,-95.61732468031323,1
117.15703170658674,-13.62867303440965,-95.66254128088181,1
118.3286020236526,-13.489781486508335,-95.72017637126444,1
119.51188804388913,-13.271395599042693,-95.6864525267772,1
120.70700692432803,-13.208156867929665,-95.93281056224971,1
121.91407699357131,-13.321043232606316,-95.92579774916396,1
123.13321776350703,-13.102431000099633,-95.88888423607199,1
124.3645499411421,-12.922814169201486,-96.03034924238952,1
125.60819544055353,-12.894686467141446,-96.34838560969995,1
126.86427739495906,-12.918147591762033,-96.15163782365264,1
128.13292016890864,-12.821095763758775,-96.05875127954522,1
129.41424937059773,-12.616492112737115,-96.13778362120104,1
130.7083918643037,-12.566520316396529,-96.6044749746974,1
132.01547578294674,-12.518956478526484,-96.54526437299006,1
133.3356305407762,-12.38200337291513,-96.69571031638374,1
134.66898684618397,-12.241503856849214,-96.45620739796406,1
136.01567671464582,-12.252735799744878,-96.92937618868268,1
137.37583348179228,-12.182643407342738,-96.87029000430806,1
138.7495918166102,-11.972358399264566,-96.46515962676287,1
140.13708773477632,-11.906217057208885,-96.73389698056621,1
141.5384586121241,-11.998790846531543,-97.00461182205527,1
142.95384319824532,-11.808540729963706,-96.81567421388286,1
144.38338163022777,-11.619377059844647,-97.01033316236287,1
145.82721544653006,-11.633594881029461,-96.86876831069421,1
147.28548760099537,-11.639073698697967,-97.43052723789972,1
148.75834247700533,-11.384887502835756,-97.30445961875407,1
150.2459259017754,-11.368904229642602,-97.08795056048504,1
151.74838516079316,-11.376184037855912,-97.48095874640552,1
153.26586901240108,-11.199417312306988,-97.51403047214036,1
154.7985277025251,-11.067188759537398,-97.3813511338302,1
156.34651297955034,-11.08726181274889,-97.30720455471784,1
157.90997810934584,-10.993582750913081,-97.41836028299902,1
159.4890778904393,-10.787226055107883,-97.61866371856445,1
161.08396866934368,-10.826168967412311,-97.65917482107483,1
162.6948083560371,-10.66007888069694,-97.87902630136784,1
164.32175643959746,-10.541635159290843,-98.07753748470304,1
165.96497400399343,-10.597135312059367,-98.11396472692842,1
167.62462374403336,-10.47711264514804,-97.83563510867236,1
169.30086998147368,-10.316791230660474,-97.96643304393281,1
170.9938786812884,-10.290517020946176,-98.46693275758633,1
172.7038174681013,-10.171961615831087,-98.4797518490318,1
174.43085564278232,-10.031981039439522,-98.3653200503495,1
176.17516419921014,-10.044009827121407,-98.36053261743913,1
177.93691584120225,-9.899331785946952,-98.77093930395804,1
179.7162849996143,-9.817323621108274,-98.58638605610795,1
181.51344784961043,-9.829552160572154,-98.73408784082153,1
183.32858232810653,-9.631502457637266,-98.80145555948033,1
185.1618681513876,-9.619069998904783,-98.77024417893101,1
187.0134868329015,-9.584313367955698,-99.04141995736279,1
188.8836217012305,-9.38038195686982,-98.98699468350326,1
190.77245791824282,-9.395362775152515,-99.18658445578069,1
