Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.33864876434805,-93.56275985780792,1
40.4,-22.209097906925646,-94.66340236103338,2
40.804,-22.094302378432317,-93.66343065956755,1
41.21204,-22.24286257484139,-93.94555277300866,1
41.6241604,-22.00053497134814,-93.88441893728756,1
42.040402004,-21.966187731366674,-93.99363715911525,1
42.460806024040004,-21.883690846214336,-94.24722080683006,1
42.885414084280406,-21.64256709598713,-93.68094757960623,1
43.31426822512321,-21.83000925470689,-93.51520126305338,1
43.74741090737444,-21.509760171717062,-93.93796646129422,1
44.184885016448185,-21.59733521201502,-93.53131117566647,1
44.62673386661267,-21.284431140987344,-93.69918156391432,1
45.07300120527879,-21.305997855308828,-93.84977118828057,1
45.52373121733158,-21.24309547691842,-93.6467506539267,1
45.9789685295049,-21.017211333912435,-95.73799242876157,1
46.43875821479995,-21.00215229274182,-93.29546223992202,1
46.903145796947946,-21.07691811064177,-93.84590690832634,1
47.372177254917425,-20.80462978661887,-94.19515920693142,1
47.8458990274666,-20.895092095348794,-94.38331996454917,1
48.32435801774127,-20.737698378653928,-94.19783782009415,1
48.80760159791868,-20.586392224351368,-94.45632068130716,1
49.29567761389787,-20.69503851911862,-95.55128695769376,1
49.788634390036854,-20.48982983632908,-94.2438345385707,1
50.28652073393722,-20.48708976764772,-94.89217330530948,1
50.7893859412766,-20.21573737709757,-94.80160464334321,1
51.29727980068937,-20.272619795556448,-96.009129080918,1
51.81025259869626,-20.027920284604075,-94.87913490471256,1
52.32835512468322,-19.90092383756859,-95.10018053547515,1
52.851638675930054,-19.86902781627486,-95.29869190237426,1
53.380155062689354,-19.91816609861152,-95.51642613908434,1
53.91395661331625,-19.84750359181718,-95.35377525469123,1
54.45309617944942,-19.659955489650297,-95.16463228367778,1
54.99762714124391,-19.408967515314938,-95.23844976095602,1
55.54760341265635,-19.491864745057583,-95.94383574367703,1
56.103079446782914,-19.41976967679716,-95.9727496181971,1
56.66411024125075,-19.31684637052768,-95.3446199685693,1
57.23075134366326,-18.985634388758672,-95.26077291018645,1
57.80305885709989,-18.980302288654894,-94.98397146293117,1
58.38108944567089,-18.965154031885444,-94.79903030476734,1
58.9649003401276,-18.99973592095411,-95.04102838147702,1
59.554549343528876,-18.660749483089003,-94.839276576826,1
60.150094836964165,-18.628436493160226,-95.2659397509137,1
60.751595785333805,-18.637668245412083,-96.12494772833338,1
61.35911174318714,-18.499664747648403,-95.5798218244417,1
61.972702860619016,-18.299132623747706,-95.19265134528516,1
62.59242988922521,-18.276368577080362,-95.4841970124063,1
63.21835418811746,-18.285460387360803,-95.62236326188447,1
63.850537729998635,-18.245884733767905,-95.75994229269907,1
64.48904310729863,-17.996556009930423,-95.78245050590868,1
65.13393353837161,-17.875031052882925,-95.804270120516,1
