Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.046266647493443,-91.66058527297423,1
40.4,-22.363557161941703,-90.30144847961247,1
40.804,-22.482133117660148,-91.8621020934898,1
41.21204,-22.60735897934119,-90.96975531922621,1
41.6241604,-22.548655636569816,-91.64628101064628,1
42.040402004,-22.48938295839351,-91.26020924258991,1
42.460806024040004,-22.348053731853362,-92.29950211435903,1
42.885414084280406,-22.420495515616537,-91.12725575472486,1
43.31426822512321,-22.286371928749915,-91.59094590479611,1
43.74741090737444,-22.07585708635096,-91.13297764038016,1
44.184885016448185,-21.943084802099897,-91.64635776878629,1
44.62673386661267,-21.99324308984554,-91.3577071811554,1
45.07300120527879,-21.900320105069703,-91.13395857999348,1
45.52373121733158,-21.70774847932763,-91.21870889528888,1
45.9789685295049,-22.232031768596162,-85.63799100572726,1
46.43875821479995,-21.620847819101442,-91.86922283561165,1
46.903145796947946,-21.32538612035703,-92.57629730899379,1
47.372177254917425,-21.139185310506797,-92.60743101526765,1
47.8458990274666,-21.281168368259344,-91.1352379835561,1
48.32435801774127,-21.114073609947276,-91.58974084295545,1
48.80760159791868,-20.944250610811903,-91.34367928047297,1
49.29567761389787,-21.026540699382416,-90.28729249252612,1
49.788634390036854,-20.887437316124128,-91.90362793526165,1
50.28652073393722,-20.80992585378228,-91.2347510939669,1
50.7893859412766,-20.740509065962993,-91.87743471662871,1
51.29727980068937,-20.685260028766482,-90.66930487994864,1
51.81025259869626,-20.576375258926124,-90.49936724760046,1
52.32835512468322,-20.45965377294342,-91.39612102738104,1
52.851638675930054,-20.46595000039379,-91.41919272199094,1
53.380155062689354,-20.49001429016273,-91.40675802038747,1
53.91395661331625,-20.439334536718555,-92.77135117434534,1
54.45309617944942,-20.13623020747076,-91.26335085670719,1
54.99762714124391,-19.915883721458385,-91.91173915583423,1
55.54760341265635,-19.958035614228358,-91.43225488393011,1
56.103079446782914,-19.879484712652907,-90.98198723345439,1
56.66411024125075,-19.902595975681518,-92.21870539825352,1
57.23075134366326,-19.63562088914301,-91.30524025951709,1
57.80305885709989,-19.594687318348566,-91.97880579061086,1
58.38108944567089,-19.607033514242193,-92.20194674727203,1
58.9649003401276,-19.599832060157215,-91.94354164346015,1
59.554549343528876,-19.3120985084151,-91.39586111105226,1
60.150094836964165,-19.498030952942116,-90.25439615843375,1
60.751595785333805,-19.3050898366695,-91.64025695268231,1
61.35911174318714,-19.115174313625356,-92.13287331235074,1
61.972702860619016,-18.912048922778148,-91.48076385083944,1
62.59242988922521,-18.971359009309563,-92.49286814108862,1
63.21835418811746,-18.957943125491038,-91.43357387158889,1
63.850537729998635,-18.90629827988317,-91.58892343688078,1
64.48904310729863,-18.666200297061103,-91.65942437448872,1
65.13393353837161,-18.588833941184838,-91.52304379179853,1
65.78527287375532,-18.71132472222713,-92.05253939966553,1
66.44312560249287,-18.828193098446565,-94.23928573634748,1
67.1075568585178,-18.35342702411098,-92.01931344074694,1
67.77863242710298,-18.31593682006597,-92.20952833490729,1
68.456418751374,-18.288171375133235,-92.3267036961357,1
69.14098293888775,-18.279988554653418,-91.54156344732023,1
69.83239276827662,-17.954365709009135,-92.18580513569967,1
70.53071669595938,-17.94000917479436,-92.39688917238271,1
71.23602386291898,-18.096131935687552,-92.78068865879374,1
71.94838410154817,-17.679123967319995,-91.96928917537363,1
72.66786794256366,-17.756066817909097,-92.29067832480364,1
73.39454662198929,-17.781500143423678,-91.93517063861586,1
74.12849208820919,-17.458534526561717,-92.51232218630237,1
74.86977700909128,-17.37715579672564,-92.40610777873479,1
75.6184747791822,-17.46349863876046,-92.16335784093161,1
76.37465952697401,-17.340148447324637,-92.54661600147807,1
77.13840612224375,-17.13926611606336,-92.16070890038013,1
77.90979018346619,-17.196441223665293,-92.4514801765153,1
78.68888808530085,-17.134833933333947,-91.91504429059236,1
79.47577696615386,-16.812900194886904,-92.23024431640044,1
80.2705347358154,-16.91630388148774,-92.25655338891448,1
81.07324008317356,-16.80255740009071,-92.40262700917697,1
81.8839724840053,-16.591607094259178,-92.56815087819916,1
82.70281220884536,-16.56995760072309,-92.34390023343283,1
83.52984033093381,-16.5736876445418,-92.32495468009417,1
84.36513873424315,-16.140413407280697,-93.99434519914224,1
85.20879012158558,-16.397381096147736,-93.32780943016465,1
86.06087802280143,-16.287851177931625,-92.77199921106717,1
86.92148680302945,-16.105454480841974,-92.56046434947868,1
87.79070167105975,-16.12368078882949,-92.85435503644975,1
88.66860868777034,-15.971648721566362,-92.35996919352428,1
89.55529477464805,-15.962823337259207,-92.81498300514144,1
90.45084772239453,-15.829265799563808,-92.26075046798309,1
91.35535619961847,-15.725367920811571,-92.35543841095125,1
92.26890976161465,-15.58317587151056,-92.85149578918856,1
93.1915988592308,-15.639122885041727,-92.65577960773658,1
94.1235148478231,-15.37985026606805,-92.69767190476439,1
95.06474999630133,-15.369999527920568,-92.84493293065134,1
96.01539749626434,-15.293486331258167,-92.91137640695433,1
96.97555147122699,-15.141303058425926,-92.90986531982296,1
97.94530698593927,-15.180062134871648,-93.06963084174303,1
98.92476005579866,-14.984614199521314,-92.9777664202408,1
99.91400765635665,-15.013186110748427,-92.95867523578846,1
100.91314773292021,-14.895393485849315,-93.16831514505088,1
101.92227921024941,-14.702893168313002,-93.01213186046527,1
102.94150200235191,-14.777223217364238,-92.97984670604028,1
103.97091702237543,-14.571569307654082,-93.1874568528142,1
105.01062619259919,-14.455239646787296,-92.84033148166944,1
106.06073245452518,-14.454807549144316,-93.0754353284169,1
107.12133977907044,-14.535812433726544,-93.30139643584889,1
108.19255317686114,-14.347074718122919,-93.07841573938073,1
109.27447870862976,-14.03296068793498,-93.44767133747544,1
110.36722349571606,-14.012561050963683,-92.71064726342891,1
111.47089573067322,-14.143809256650092,-93.33814571039835,1
112.58560468797995,-14.069356173291057,-93.68326789552071,1
113.71146073485976,-13.823217836141799,-93.07984855345853,1
114.84857534220835,-13.62597087490174,-93.23347763689678,1
115.99706109563043,-13.674302372799223,-93.3506413385308,1
117.15703170658674,-13.724911843473441,-93.36070981160115,1
118.3286020236526,-13.544696463910698,-93.70206856524014,1
119.51188804388913,-13.277985701757482,-93.37598733936119,1
120.70700692432803,-13.287682152519062,-93.38650353145135,1
121.91407699357131,-13.293861255220643,-93.85541123069191,1
123.13321776350703,-13.190002275393882,-93.96702518212828,1
124.3645499411421,-12.966676086874445,-93.64735938312617,1
125.60819544055353,-12.92659985872617,-93.66715497199154,1
126.86427739495906,-12.956738372430571,-93.63189356637358,1
128.13292016890864,-12.75098745512973,-93.64522598676622,1
129.41424937059773,-12.644814934882085,-93.80739788371964,1
130.7083918643037,-12.66959071678717,-93.9886881327538,1
132.01547578294674,-12.689076715090916,-94.22681999199307,1
133.3356305407762,-12.448618204580084,-93.1958456780684,1
134.66898684618397,-12.285641464363707,-94.08310337114497,1
136.01567671464582,-12.347437005347855,-94.13746111989538,1
137.37583348179228,-12.318560532402206,-93.94620673822604,1
138.7495918166102,-12.068768607526296,-93.95038874514083,1
140.13708773477632,-12.022085722764533,-94.16168519016531,1
141.5384586121241,-12.023757821233716,-94.12617033451494,1
142.95384319824532,-11.866200353365574,-94.30313755639793,1
144.38338163022777,-11.63548426722961,-94.14919202307813,1
145.82721544653006,-11.718849993633729,-94.41657568567881,1
147.28548760099537,-11.721303290738364,-94.51201279243318,1
148.75834247700533,-11.348539387024351,-94.80003823258204,1
150.2459259017754,-11.413738092095857,-94.23255016565948,1
151.74838516079316,-11.43474907299454,-94.51041118603496,1
153.26586901240108,-11.304614442320856,-94.66708563778752,1
154.7985277025251,-11.162481865835437,-94.5605969615094,1
156.34651297955034,-11.170695579979695,-94.50912985777731,1
157.90997810934584,-10.987134874458814,-94.72438252970525,1
159.4890778904393,-10.839344566688762,-94.5419777550896,1
