Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-26.997067173411267,87.746970097609,2
40.8,-26.893264268547505,87.93328461767499,2
41.616,-26.604724532037398,88.17843552375834,2
42.44832,-26.47158207240626,90.1346790570592,2
43.297286400000004,-26.28170980894399,88.37890552875429,2
44.163232128000004,-26.41659832199331,88.08758979511153,2
45.046496770560005,-26.19989496474633,87.6608704842786,2
45.9474267059712,-25.82522914393226,88.80547079282748,2
46.866375240090626,-25.63218215666192,88.26499975528367,2
47.80370274489244,-25.424147037257278,87.39146357911744,2
48.75977679979029,-25.512719524700447,85.31318667162157,2
49.7349723357861,-25.212682154668574,87.83733601546068,2
50.72967178250182,-24.805681245280404,87.14664820630526,2
51.74426521815185,-24.64106624546003,87.85831659972234,2
52.77915052251489,-24.740470666277165,89.16863940041935,2
53.83473353296519,-24.560925988772222,88.79736401968412,2
54.911428203624496,-24.100232281706784,88.22795048386969,2
56.00965676769699,-24.14946599178359,88.38525745732619,2
57.12984990305093,-23.87306845939485,88.86345640410411,2
58.27244690111195,-23.885320088880206,86.89397355508066,1
59.437895839134185,-23.568418700791746,86.90640481232278,2
60.62665375591687,-23.415301741809213,87.01427986384982,1
61.83918683103521,-23.173544631367403,87.41586423175073,1
63.075970567655915,-23.182248895096528,87.71842609911515,1
64.33748997900904,-22.76190698507062,86.715895850602,1
65.62423977858921,-22.604080538717465,86.9818726233,1
66.936724574161,-22.43180548497507,88.17458035026584,1
68.27545906564423,-22.485203076300028,87.26647803890424,1
69.64096824695712,-21.994863746719826,86.2315848633711,1
71.03378761189626,-22.072411188665672,87.16475092567853,1
72.45446336413418,-21.574697020787703,87.34229886935111,1
73.90355263141687,-21.518680514687155,86.2571180920705,1
75.38162368404521,-21.441019882401008,87.26690308351934,1
76.88925615772611,-21.17321681845332,87.04953574367107,1
78.42704128088063,-21.23457566298812,87.53650609811677,1
79.99558210649825,-20.902715589988897,86.7489193484372,1
81.59549374862821,-20.64686831272213,86.27344049651742,1
83.22740362360078,-20.630107252804308,87.16415580392672,1
84.8919516960728,-20.351580892264117,86.4173311385702,1
86.58979072999425,-20.126185775110397,86.19982236194483,1
88.32158654459414,-20.16935114014247,85.69967275368515,1
90.08801827548602,-19.792683530609892,86.69356374066683,1
91.88977864099574,-19.431237710172276,86.99799790688553,1
93.72757421381566,-19.438599245058978,87.01631099829078,1
95.60212569809197,-19.32775830546608,86.02975575854094,1
97.5141682120538,-19.125077597372833,85.64793556494271,1
99.46445157629488,-18.811010231440175,86.0786291012353,1
101.45374060782078,-18.6719969195608,85.36691554970548,1
103.4828154199772,-18.60352966058783,85.72997730377813,1
105.55247172837674,-18.33816154476039,85.84656238405711,1
107.66352116294428,-18.37823121851653,85.6095892184432,1
109.81679158620317,-17.96828485935115,85.32692179789649,1
112.01312741792724,-17.973252809261574,85.38031255947726,1
114.25338996628578,-17.664438595444807,85.42687372876509,1
116.5384577656115,-17.635985447115882,85.36075001248254,1
118.86922692092372,-17.348482462335976,85.40664415031549,1
121.2466114593422,-17.15685217982572,84.66821735949219,1
123.67154368852906,-16.95117262882524,84.66610598879788,1
126.14497456229964,-16.804441531905507,85.52625679129444,1
128.66787405354563,-16.552614733296217,84.67669885581519,1
131.24123153461656,-16.605421753007235,84.36215397775614,1
133.8660561653089,-16.202623868757268,84.86253347173374,1
136.54337728861506,-16.087585587011386,84.21024478074364,1
139.27424483438736,-15.862248768633487,84.53973641714418,1
142.05972973107512,-15.840224164657396,83.97454168411898,1
144.90092432569662,-15.561237836263546,84.13084240188806,1
147.79894281221056,-15.463540150244889,84.21519390926532,1
150.75492166845476,-15.27817418975503,84.09490290742008,1
153.77002010182386,-14.980941864101975,83.97214650038461,1
156.84542050386034,-14.981744186860611,84.01615287695881,1
159.98232891393755,-14.648787121209294,83.5620200342339,1
163.1819754922163,-14.441638269157165,83.5139956772249,1
166.44561500206063,-14.443797687696133,82.86362308316154,1
169.77452730210186,-14.172957109460935,83.23149199391577,1
173.17001784814389,-13.967244603848076,83.1704886981505,1
176.63341820510678,-13.827933834348533,82.45706176632521,1
180.16608656920891,-13.626011741457338,83.03710134916406,1
183.76940830059308,-13.344899993937885,82.85727892662817,1
187.44479646660494,-13.258219349060614,82.37443127381867,1
191.19369239593703,-13.133953745307625,82.331163603143,1
195.01756624385578,-12.921187058544282,82.18583108333632,1
198.9179175687329,-12.64909026324536,82.05559316453414,1
202.89627592010754,-12.471389586081362,81.84563535936536,1
206.9542014385097,-12.322003642248744,81.69023756430647,1
211.09328546727988,-12.23805789162646,81.32473023771735,1
215.31515117662548,-12.090620426887837,81.21198144950448,1
219.62145420015798,-11.633709309825962,81.26868070542614,1
224.01388328416115,-11.69576921099578,80.52392766081621,1
228.49416094984437,-11.285158966500635,81.34493774422356,1
233.06404416884126,-11.224124601523746,80.50290775935508,1
237.7253250522181,-11.02146042416718,80.40376467777145,1
242.47983155326247,-10.816522575889108,80.36280581898268,1
247.32942818432772,-10.562031886839316,80.1474429267601,1
252.27601674801429,-10.459047080851331,79.55513898532874,1
257.3215370829746,-10.155634945411439,79.63478384043222,1
262.4679678246341,-10.038246900576278,79.27083792155028,1
267.7173271811268,-9.823566751274544,79.26016413420223,1
273.07167372474936,-9.771655587142805,78.46386331191064,1
278.53310719924434,-9.461054052653743,78.5586326295461,1
284.10376934322926,-9.39710816620057,77.97542468440118,1
289.78584473009386,-9.077099830516497,78.02673657782651,1
295.5815616246957,-8.953020255858162,77.75140272894792,1
301.4931928571896,-8.776267332997483,77.34219126434652,1
307.52305671433345,-8.43970735160709,76.87294001276632,1
313.6735178486201,-8.443402560938937,76.63216808744068,1
319.9469882055925,-8.061319445595876,76.46314984646718,1
326.34592796970435,-7.82124705207295,75.93090791803752,1
332.87284652909847,-7.758230570024104,75.58033237092722,1
339.53030345968045,-7.445715197823719,75.63288926002761,1
346.3209095288741,-7.201930516194952,75.47024921626814,1
353.24732771945156,-7.091647094990358,74.59368278461062,1
360.3122742738406,-6.840324079477389,74.45071248940387,1
367.5185197593174,-6.5419439977743545,74.25557719167546,1
