Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-27.55609634071015,89.91712779310721,2
40.8,-27.089754209634517,88.68732593306277,2
41.616,-26.879554718786384,88.16685960923932,2
42.44832,-26.789963873528208,89.37849317609178,2
43.297286400000004,-26.646577417762636,87.49262865686032,2
44.163232128000004,-26.56241730109352,88.14044918215649,2
45.046496770560005,-26.170768928673482,90.21851755487661,2
45.9474267059712,-26.123853987947996,90.90940700141131,2
46.866375240090626,-26.202368897842884,86.18955413702133,2
47.80370274489244,-25.719943510579256,88.15534300420354,2
48.75977679979029,-25.627298686260207,88.5235983245546,2
49.7349723357861,-25.294928735007563,87.69424077318233,2
50.72967178250182,-24.993507285765443,89.47793927468456,2
51.74426521815185,-25.366617346749898,89.67954056144028,2
52.77915052251489,-24.970656590604342,89.45782680899447,2
53.83473353296519,-24.923720477612797,88.82983131095298,2
54.911428203624496,-24.579719515207582,88.2092067415463,1
56.00965676769699,-24.532597849902114,88.73260254774293,2
57.12984990305093,-24.18555517569811,88.77924869185006,2
58.27244690111195,-24.36065106165992,88.4576073870372,2
59.437895839134185,-23.888114698840724,88.9403774681785,1
60.62665375591687,-23.92732636784508,89.19468195017326,2
61.83918683103521,-23.610194127389,89.3472984324527,2
63.075970567655915,-23.622935000309717,88.8852753286941,1
64.33748997900904,-23.313948800027386,88.10314307160492,1
65.62423977858921,-23.198374559687537,87.37079660740378,1
66.936724574161,-22.93793363915613,88.20746120955965,1
68.27545906564423,-22.920243397318394,88.4827870389554,1
69.64096824695712,-22.579481511836164,87.93501939245995,1
71.03378761189626,-22.58736319516968,87.40882855277368,1
72.45446336413418,-22.217646323657195,88.73994978550576,1
73.90355263141687,-22.091357086087253,89.12880767800667,1
75.38162368404521,-21.997040374417892,88.11769873139407,1
76.88925615772611,-21.58197289010309,87.77587288517202,1
78.42704128088063,-21.751258902156366,87.36103163291361,1
79.99558210649825,-21.51400034837557,87.85510332224548,1
81.59549374862821,-21.439030148683912,88.11262602631871,1
83.22740362360078,-21.226194635002837,88.5138265593616,1
84.8919516960728,-20.927645747968263,88.27383844993311,1
86.58979072999425,-20.78463427991651,87.56688007949253,1
88.32158654459414,-20.763549717582098,87.48597359286595,1
90.08801827548602,-20.766645688262592,88.01770254974466,1
91.88977864099574,-20.352503657922348,87.79663496749527,1
93.72757421381566,-20.233201482273525,87.23471423622952,1
95.60212569809197,-20.12154863132059,87.97306956253544,1
97.5141682120538,-19.955317449420747,88.06633977658697,1
99.46445157629488,-19.66592049096391,87.13034510168379,1
101.45374060782078,-19.53152615202632,87.98673066064293,1
103.4828154199772,-19.405925037724685,87.19507836092846,1
105.55247172837674,-19.132932281101745,87.33082420104677,1
107.66352116294428,-19.103850860502767,87.19013587945311,1
109.81679158620317,-18.802484511046785,87.4778264207873,1
112.01312741792724,-18.783023947538616,86.64436316261327,1
114.25338996628578,-18.37068699217991,87.44715279118702,1
116.5384577656115,-18.410277563667986,86.74550487773524,1
118.86922692092372,-18.01987093603692,87.2680368568769,1
121.2466114593422,-18.05612361055044,86.99123656741412,1
123.67154368852906,-17.836617219325735,86.79795897630709,1
126.14497456229964,-17.72201076189031,86.138791110114,1
128.66787405354563,-17.51225348929629,86.45311677394668,1
131.24123153461656,-17.41132257996662,86.67378391053384,1
133.8660561653089,-17.016222909926988,86.51925315473125,1
136.54337728861506,-17.000692504723627,86.33743289224836,1
139.27424483438736,-16.693319652562003,86.8286251942547,1
142.05972973107512,-16.64272277951703,86.21833376210589,1
144.90092432569662,-16.382674678301786,86.31518872939728,1
147.79894281221056,-16.34105534729387,85.89991391143323,1
150.75492166845476,-16.105687691517662,86.62684437648448,1
153.77002010182386,-15.85663570550291,86.2473020232029,1
156.84542050386034,-15.841716656701786,86.2121135599769,1
159.98232891393755,-15.60119085490334,85.82783243075153,1
163.1819754922163,-15.345500080288417,86.31058580596721,1
