Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.198799466206665,6.366463773513061,2
41.6,-30.918725259525598,2.7092977279381785,2
43.264,-28.21731200461201,9.77117783998311,2
44.99456000000001,-26.668279478763466,2.8653175548857917,2
46.79434240000001,-26.7386582365126,1.8127797833979358,2
48.66611609600002,-24.997335597823465,-1.2050861628295344,2
50.61276073984002,-24.747830536122553,-4.116012202308987,2
52.637271169433625,-25.26549509749365,-2.484048411544336,2
54.742762016210975,-25.028088718071793,-3.528641741543936,2
56.93247249685942,-22.87295146572128,-12.01991930365618,2
59.2097713967338,-22.052215294938925,-10.058738091059048,2
61.57816225260316,-22.03032685697753,-4.511722599212817,2
64.04128874270728,-21.02047422380408,-5.032456509858903,2
66.60294029241557,-20.74608774508157,-7.238739156838832,2
69.26705790411219,-20.45974540734385,-8.733245035682529,2
72.03774022027669,-18.99069357687856,-4.695061303903913,2
74.91924982908776,-19.275061088710494,-5.1778382045913105,2
77.91601982225127,-17.56738307029574,-6.7454441906682945,2
81.03266061514132,-17.13670888558072,-10.26214089227804,2
84.27396703974698,-16.80918113382137,-12.047403782255287,2
87.64492572133686,-15.699984152671686,-12.196967122671388,2
91.15072275019034,-15.204645526578377,-12.076657075399204,2
94.79675166019796,-14.185099558076915,-15.903250818079755,2
98.58862172660588,-13.684872294784252,-15.28837316623651,2
102.53216659567012,-12.83229553595956,-14.599406075863925,2
106.63345325949693,-12.308831454933571,-18.684832778698464,2
110.89879138987682,-11.647654379492923,-19.712204322540487,2
115.3347430454719,-10.905463013394161,-20.44360566361508,2
119.94813276729077,-10.143066399339997,-20.692909575819584,2
124.74605807798241,-9.451127984257418,-23.526460671703205,2
129.7359004011017,-8.78989513220982,-22.91281786634468,1
134.9253364171458,-8.421422184388446,-23.70429413338134,1
140.32234987383163,-7.581355467883257,-26.687404926070904,1
145.9352438687849,-7.131955604279632,-27.104810604756672,1
151.7726536235363,-6.283781054474724,-28.97355279206598,1
157.84355976847777,-5.677442006534917,-31.057908187870858,1
164.1573021592169,-5.2031072578894975,-32.456688849115906,1
170.7235942455856,-4.428429244273395,-34.188619257222896,1
177.55253801540903,-3.796086186761303,-35.56580293254946,1
184.6546395360254,-3.2573801803530817,-37.57497148075487,1
192.04082511746643,-2.7824476210545805,-39.13340117560239,1
199.72245812216508,-2.1099234065102492,-40.703571225844996,1
207.71135644705168,-1.5433293998005908,-42.70529656803118,1
216.01981070493375,-0.9540987765174539,-44.40411519658227,1
224.6606031331311,-0.45537718066042365,-45.309072404053296,1
233.64702725845635,-0.027122970906770114,-47.527117021906506,1
242.9929083487946,0.6753190059335911,-49.352683286384604,1
252.7126246827464,1.165875160025416,-51.64879951761054,1
262.8211296700563,1.6523601700230042,-53.67225053205863,1
273.33397485685856,2.196407147391233,-56.022697755117804,1
284.2673338511329,2.6024561448169874,-57.44069932125818,1
295.6380272051782,3.0947681497280684,-59.491416370372114,1
307.4635482933854,3.570324217188294,-60.75451694104774,1
319.7620902251208,4.087182181583741,-62.838092473455205,1
332.55257383412567,4.538666963845817,-65.21589165741602,1
345.8546767874907,5.12369515673708,-66.44947066119073,1
359.6888638589903,5.462931561119973,-68.82472156164127,1
374.0764184133499,5.942737646073131,-71.23006270095615,1
389.0394751498839,6.462029209015325,-72.98640671454557,1
404.6010541558793,6.791766092741196,-75.06237229153244,1
420.7850963221145,7.20707535315612,-77.6846306855434,1
437.6165001749991,7.625810800992741,-78.9705976445758,1
455.1211601819991,8.058871828989384,-81.10028967629273,1
473.3260065892791,8.439769102712074,-83.05222108325306,1
492.25904685285025,8.82273455613884,-85.00148872245924,1
511.9494087269643,9.188565259644475,-87.84773759083149,1
532.4273850760429,9.495687539664916,-89.5652907307155,1
553.7244804790846,9.97685128055352,-91.45846653261533,1
575.873459698248,10.171759074783234,-92.63124335168288,1
598.908398086178,10.68093733808152,-94.62782283880998,1
622.8647340096251,10.822419908842699,-96.80072753538998,1
647.77932337001,11.293142895866934,-98.51761492742183,1
673.6904963048105,11.631367953732816,-101.0203724534773,1
700.638116157003,11.781848734256426,-103.93572707589867,1
728.6636408032831,12.061903338227227,-105.02559488341912,1
757.8101864354145,12.370544410459607,-108.05951269249044,1
788.1225938928311,12.72340963242042,-109.71160829523635,1
819.6474976485443,13.005731898303509,-111.32830952304107,1
852.4333975544862,13.217465429653116,-114.26227515909912,1
886.5307334566656,13.51790326520817,-116.22829860774971,1
921.9919627949323,13.800665233072912,-118.33040969710606,1
958.8716413067297,13.959236560697004,-120.27014547885,1
997.2265069589989,14.153864719153383,-122.22631767423732,1
1037.1155672373588,14.436706174270547,-124.74566315760279,1
1078.6001899268533,14.712141859394087,-126.70988032061553,1
1121.7441975239276,14.883539137832782,-128.69548114030403,1
1166.6139654248848,15.143540182934226,-130.93106564849248,1
1213.2785240418802,15.18954558013567,-132.9881503453232,1
1261.8096650035554,15.44091829734253,-135.50662626767587,1
1312.2820516036977,15.59418631773863,-137.3393043310552,1
1364.7733336678457,15.74545182928798,-139.18391409727124,1
1419.3642670145596,15.93507562060732,-141.83333597675983,1
1476.138837695142,16.04027685162453,-143.97656380575188,1
1535.1843912029478,16.553595215201856,-142.8015176012931,1
1596.5917668510658,16.49942433908163,-146.70611431687382,1
1660.4554375251084,16.408196887949178,-150.94143209253207,1
1726.8736550261128,16.55332808565765,-152.40007642295376,1
1795.9486012271575,16.79128392305292,-153.7025512212188,1
1867.786545276244,16.955924827758192,-156.56488790438894,1
1942.4980070872937,16.950427851547676,-158.21998549231483,1
2020.1979273707855,16.987914667832545,-160.89333253379033,1
2101.005844465617,17.103025345307387,-162.8620495636901,1
2185.046078244242,17.155066072172517,-164.48340799232977,1
2272.4479213740115,17.246156096920178,-166.8405050317176,1
2363.345838228972,17.29923893621278,-168.71765372277258,1
2457.879671758131,17.206251600587176,-171.9617005838367,1
2556.194858628456,17.161406373129843,-174.2252932654863,1
2658.4426529735942,17.193144403054113,-176.5169368801378,1
2764.780359092538,17.19450089236599,-178.46885177407643,1
2875.3715734562397,17.10491065654837,179.61866091316344,1
2990.3864363944895,17.201095871496154,177.51295994222133,1
3110.001893850269,17.13669647316376,176.20836204702832,1
3234.4019696042797,17.164559379565144,173.68695970199474,1
3363.7780483884508,17.06089111951277,171.7762555587308,1
3498.329170323989,17.10787451417839,169.95224457055266,1
3638.2623371369486,17.04620063788396,168.37284012884754,1
3783.7928306224267,16.927798100383217,165.8988790570948,1
3935.144543847324,16.764941503197793,163.69523622431,1
4092.550325601217,16.704409062350784,161.5309386018055,1
4256.252338625266,16.553346778797987,160.0347592089072,1
4426.502432170277,16.543980887767848,157.99040120373706,1
4603.562529457088,16.392226362477086,155.80269318486972,1
4787.705030635372,16.045999128177215,153.15628882073946,1
4979.213231860787,15.865979211834018,150.95124453441335,1
5178.381761135219,15.651945998200452,149.1918938167685,1
5385.517031580628,15.581485829280053,146.56497493595464,1
5600.937712843854,15.38305269407683,144.0252326900405,1
5824.975221357608,15.238875095381841,143.1668126734139,1
6057.974230211912,14.942940273314093,141.27201910313352,1
6300.293199420389,14.89495403937903,140.7559272152153,1
6552.304927397205,14.493603493007255,138.49139334427502,1
6814.397124493093,14.458597030164418,137.80125162269695,1
7086.973009472817,14.14159340847989,134.40305650887234,1
7370.45192985173,13.961800880059448,134.21555221841737,1
7665.2700070457995,13.675681487464495,130.96546690529198,1
7971.880807327631,13.45381738859633,130.14785126109777,1
8290.756039620737,13.28443924728084,129.14947103903032,1
8622.386281205567,13.12718401440655,127.16865348752131,1
8967.28173245379,12.885330537964178,126.09308078501859,1
9325.973001751941,12.618182349028562,125.22974557112406,1
9699.011921822019,12.357064617562482,123.81085615074194,1
10086.9723986949,12.149314223539061,121.71707789952058,1
10490.451294642695,12.0975943613627,120.14778739451357,1
10910.069346428403,11.776273550625042,118.42297989467934,1
11346.47212028554,11.662600356817517,117.36368172997858,1
11800.331005096961,11.48385061105979,116.43361393630033,1
12272.34424530084,11.506782726300814,115.55999509533682,1
12763.238015112873,11.286661600257318,113.22800785141985,1
13273.767535717388,11.180654013341039,111.62713566211892,1
13804.718237146084,11.021082058995779,108.77244510108747,1
14356.906966631928,10.891491122910885,106.27796270070428,1
14931.183245297207,10.719999275301404,104.75367370483181,1
15528.430575109096,9.460225764807488,98.62438896055427,1
16149.567798113461,9.47314613466658,96.89741510895894,1
16795.550510038,9.437795299620626,94.30109841251442,1
17467.37253043952,9.629395992428236,93.56025162105178,1
18166.067431657102,9.385467856625029,89.39633135806643,1
18892.710128923387,9.232225122177521,86.7824177807839,1
19648.418534080323,9.154690887017038,83.77275351760449,1
