Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.545043572603912,-4.66998734842953,2
41.6,-28.740276340076917,4.101733408452418,2
43.264,-28.755845179982956,-1.7523166731397488,2
44.99456000000001,-28.091354879999095,-1.3710393817454758,2
46.79434240000001,-28.389367884320627,-1.1625373656918327,2
48.66611609600002,-26.266275311855576,-6.7672464045409555,2
50.61276073984002,-25.533071052564175,-2.2549600242085575,2
52.637271169433625,-25.158551971808368,-3.106174610294559,2
54.742762016210975,-24.14035648917371,-5.309341270187311,2
56.93247249685942,-23.109208626682726,-4.46374706006776,2
59.2097713967338,-22.552393747875772,-3.7964939597183243,2
61.57816225260316,-22.16475603837862,-3.3367405933840075,2
64.04128874270728,-21.2870490362462,-6.727779954337739,2
66.60294029241557,-20.76042410801348,-6.7297086281696465,2
69.26705790411219,-19.754273896189808,-7.01964848716915,2
72.03774022027669,-19.28405376034095,-7.942029716087916,2
74.91924982908776,-18.538155276256617,-9.57256158061962,2
77.91601982225127,-17.984803723455492,-10.536099447008482,1
81.03266061514132,-16.972912008588267,-10.628087837787035,2
84.27396703974698,-16.548838139667474,-11.559205077101083,2
87.64492572133686,-15.771609192889313,-12.870796364242409,2
91.15072275019034,-15.114798541262182,-14.02378297768061,1
94.79675166019796,-14.180599725088653,-15.568173275351697,1
98.58862172660588,-13.795228732851744,-15.47131464176482,1
102.53216659567012,-12.950463661027959,-16.76060680698049,1
106.63345325949693,-12.328433773775965,-17.813665225387467,1
110.89879138987682,-11.589924729858671,-19.137690759532802,1
115.3347430454719,-10.890254559560594,-20.809408409600948,1
119.94813276729077,-10.170775481584899,-22.114240759976255,1
124.74605807798241,-9.44848501812251,-23.621603611475663,1
129.7359004011017,-8.864398629620183,-24.470108018522623,1
134.9253364171458,-8.224799639123667,-26.189238016253213,1
140.32234987383163,-7.64224238843239,-27.81277003055679,1
145.9352438687849,-6.948473093659195,-28.874238485075814,1
151.7726536235363,-6.407196116578328,-30.4633706323892,1
157.84355976847777,-5.747686990284433,-31.79987478036918,1
164.1573021592169,-5.095847267722794,-33.80933749520112,1
170.7235942455856,-4.550742326769254,-35.23849913508495,1
177.55253801540903,-3.894364031907573,-36.978080981781346,1
184.6546395360254,-3.3847163406943137,-38.41699578435609,1
192.04082511746643,-2.804065735331251,-40.18496458873312,1
199.72245812216508,-2.212213369542599,-41.74354386242061,1
207.71135644705168,-1.5531920580319027,-43.4756673548994,1
216.01981070493375,-1.0724653432880622,-45.056996575517395,1
224.6606031331311,-0.6061159623044796,-46.48028381207757,1
233.64702725845635,-0.01647536132861386,-49.029966067021704,1
242.9929083487946,0.48548130336891765,-50.676456455322935,1
252.7126246827464,1.0536639720526524,-52.738915339225265,1
262.8211296700563,1.5810940158391853,-54.29256934980039,1
273.33397485685856,2.041716839208034,-56.26619011370996,1
284.2673338511329,2.61263443765244,-58.45658622292581,1
295.6380272051782,3.15173708309652,-60.21134560535607,1
307.4635482933854,3.7126732429229077,-62.218793148654186,1
319.7620902251208,4.122852921629126,-64.32525010433348,1
332.55257383412567,4.469351203436484,-66.13457796954472,1
345.8546767874907,5.079593908335871,-68.01289222749276,1
359.6888638589903,5.463694863224779,-70.18409644354011,1
374.0764184133499,5.868956627926345,-72.29199234682733,1
389.0394751498839,6.344101177615427,-73.97532929106937,1
404.6010541558793,6.771824074696227,-76.56035505711971,1
420.7850963221145,7.106191671382034,-78.5232575701167,1
437.6165001749991,7.561440765449653,-80.58970894025023,1
455.1211601819991,8.024021063385298,-82.54683853421892,1
473.3260065892791,8.30098963175265,-84.61814346264784,1
492.25904685285025,8.705239897108243,-86.94753052421761,1
511.9494087269643,8.994022647433095,-89.2867251242277,1
532.4273850760429,9.370795549176867,-91.12912084914063,1
553.7244804790846,9.805724588235561,-93.01922028904164,1
575.873459698248,10.222999741787513,-94.94360229984804,1
598.908398086178,10.535461226615475,-96.89278920697878,1
622.8647340096251,10.863362689772417,-99.03778273065211,1
647.77932337001,11.154180385703066,-101.16088778138698,1
673.6904963048105,11.445723969512198,-103.25214522306992,1
700.638116157003,11.715162810544843,-105.50186168279598,1
728.6636408032831,11.95801948087341,-107.8944349282588,1
757.8101864354145,12.232362878869512,-110.31330890019137,1
788.1225938928311,12.561034396644578,-112.33811216818636,1
819.6474976485443,12.870011070694009,-113.91474957680006,1
852.4333975544862,13.089648599139776,-116.83966608777968,1
886.5307334566656,13.341390791807441,-118.96564262945837,1
921.9919627949323,13.624473553156268,-120.82173863771017,1
958.8716413067297,13.836908545513726,-123.34931541164707,1
997.2265069589989,14.085835615209055,-125.34968302921806,1
1037.1155672373588,14.321911926796618,-127.55044773930324,1
1078.6001899268533,14.490910293051979,-130.37001809778383,1
1121.7441975239276,14.689636501532604,-132.24473302575637,1
1166.6139654248848,14.896566752675856,-134.4038708021905,1
1213.2785240418802,15.14665733609603,-136.47713463975305,1
1261.8096650035554,15.270127946070335,-138.82840075147902,1
1312.2820516036977,15.378975133479774,-141.25632938403695,1
1364.7733336678457,15.488836688285579,-143.60270993163044,1
1419.3642670145596,15.519434918966898,-146.19929532012466,1
1476.138837695142,15.568802430920504,-148.21131740105596,1
1535.1843912029478,15.570283812217134,-150.24345304539503,1
1596.5917668510658,15.607971069629997,-152.48198196606882,1
1660.4554375251084,15.625857301975797,-154.61903840866253,1
1726.8736550261128,15.6252068634448,-156.7628928071934,1
1795.9486012271575,15.612556760414936,-159.16655377749484,1
1867.786545276244,15.59347500194114,-161.04031941870807,1
1942.4980070872937,15.674446980649819,-164.4360168213505,1
2020.1979273707855,15.574386664183745,-165.696596440219,1
2101.005844465617,15.539396838063936,-168.31835889835514,1
2185.046078244242,15.475517708505844,-170.39262356258936,1
2272.4479213740115,15.455361161769718,-172.86115510994972,1
2363.345838228972,15.437213298828132,-175.0144329339877,1
2457.879671758131,15.369008574193098,-177.42641990146217,1
2556.194858628456,15.323746109745349,-179.85296931162182,1
2658.4426529735942,15.277955357577547,177.28729602448908,1
2764.780359092538,15.208586290383021,174.74452252135396,1
2875.3715734562397,15.13998950037104,172.1389337459426,1
2990.3864363944895,15.128330165222458,169.26114593892027,1
3110.001893850269,14.985910484100998,166.58823124438456,1
3234.4019696042797,14.982223722760883,163.2706433991143,1
3363.7780483884508,14.86308294687657,160.3970974024347,1
3498.329170323989,14.799647808087673,157.24552661493001,1
3638.2623371369486,14.745601455672503,154.20626222062043,1
3783.7928306224267,14.564305426909886,150.54954913399234,1
3935.144543847324,14.609875425180398,147.4836112998533,1
4092.550325601217,14.474697404340322,143.9677028716196,1
4256.252338625266,14.302163224542797,140.3456212085594,1
4426.502432170277,14.340481592686732,137.65188200294492,1
4603.562529457088,14.180664052732427,134.38370872973255,1
4787.705030635372,13.995329462170462,130.44885595121644,1
4979.213231860787,13.459024307106256,120.73302510130304,1
