Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-38.6626886375252,0.9405228916353963,2
40.8,-30.13759084010801,-2.443294410325251,2
41.616,-35.78575693634496,23.44047720094657,2
42.44832,-31.973690675502425,5.563546198420184,2
43.297286400000004,-31.897052577537924,7.961521702068524,2
44.163232128000004,-32.600657083229365,-7.266612133818393,2
45.046496770560005,-34.123934667346184,10.954035006575065,2
45.9474267059712,-31.040307832794117,7.571811683212104,2
46.866375240090626,-31.133213349249125,-1.393650694631674,2
47.80370274489244,-32.27980180887713,2.4728262894576574,2
48.75977679979029,-32.48551602985987,-8.923557695149597,2
49.7349723357861,-29.23339824410141,11.026035138255196,2
50.72967178250182,-31.035395516844552,-10.328385892090196,2
51.74426521815185,-29.253154789894676,7.079959517915789,2
52.77915052251489,-30.251861356373446,-4.923036230481543,2
53.83473353296519,-29.539918985984063,2.730068718091223,2
54.911428203624496,-28.337459365884026,3.2099952324723517,2
56.00965676769699,-28.724157432958844,2.4296217509764304,2
57.12984990305093,-27.87676258437356,8.268417225856311,2
58.27244690111195,-29.711436222219987,5.658804740834743,2
59.437895839134185,-26.707379255836727,7.149524684786229,2
60.62665375591687,-26.12326084281127,0.21525581711291863,2
61.83918683103521,-26.995471950828094,-4.75903188161606,2
63.075970567655915,-26.034514475883928,-3.942860660804463,2
64.33748997900904,-25.106002285334302,0.42941495917114025,2
65.62423977858921,-25.02217922497631,3.2334121806023006,2
66.936724574161,-25.47993853838872,-2.074981070339561,2
68.27545906564423,-25.029953967191357,-8.222656437401525,2
69.64096824695712,-24.67930109517088,-12.556220508779475,2
71.03378761189626,-24.794939661852926,-4.386495402368871,2
72.45446336413418,-22.425851903959817,-10.239348391997499,2
73.90355263141687,-22.528199345148547,-10.17707690537624,2
75.38162368404521,-23.085088817457077,-8.603910019060763,2
76.88925615772611,-21.82691541402224,-6.471709888419302,2
78.42704128088063,-22.498889145780335,-9.847719832208213,2
79.99558210649825,-21.5006396141201,-9.401715721179244,2
81.59549374862821,-21.72827067430336,-6.521879103772093,2
83.22740362360078,-21.179159012219124,-10.970510233133222,2
84.8919516960728,-20.121108090370623,-10.035649668132123,2
86.58979072999425,-20.448490608331944,-11.111347973517098,2
88.32158654459414,-20.146652295312673,-12.750022458726136,2
90.08801827548602,-19.362456770770613,-14.42069539636502,2
91.88977864099574,-19.29045064971634,-8.886366162373491,2
93.72757421381566,-18.875378855762612,-8.890451224359708,2
95.60212569809197,-18.064028291979323,-14.162452526043253,2
97.5141682120538,-18.28670824372149,-12.783986585014958,2
99.46445157629488,-17.712408447862096,-14.800852784013543,2
101.45374060782078,-17.440158493931722,-16.324843816086783,2
103.4828154199772,-16.817136868941915,-15.434909538691446,2
105.55247172837674,-16.654764868531093,-16.742147599169755,2
107.66352116294428,-16.73746057556855,-16.451913043112015,2
109.81679158620317,-15.9972678640156,-15.75703119718061,2
112.01312741792724,-15.520666407678288,-18.057944500728702,2
114.25338996628578,-15.362601508664982,-17.341034003985754,2
116.5384577656115,-15.22836836314943,-20.566766118090044,2
118.86922692092372,-14.604583636176395,-20.579165455133314,2
121.2466114593422,-14.412686421404427,-20.064273710545862,2
123.67154368852906,-13.97749886526411,-22.090866052899457,2
126.14497456229964,-13.577531841069534,-21.171523305017633,2
128.66787405354563,-13.567609886947233,-22.30233090205911,2
131.24123153461656,-12.88455080025328,-26.01194399115238,2
133.8660561653089,-12.98198886403443,-24.700153658651146,2
136.54337728861506,-12.509901921399763,-24.12768740404013,2
139.27424483438736,-12.087335132418676,-26.360679011237337,2
142.05972973107512,-11.929305579749391,-28.829538564421227,2
144.90092432569662,-11.226826270846727,-29.241564606638732,2
147.79894281221056,-11.382455680449187,-29.96658073542062,2
150.75492166845476,-10.957361180262037,-29.95332577035049,2
153.77002010182386,-10.468103361076194,-30.718732313097362,2
156.84542050386034,-10.080096827961484,-32.56284810093559,2
159.98232891393755,-9.794140074203185,-32.85420678564603,1
163.1819754922163,-9.439629452472882,-33.72190600123287,1
166.44561500206063,-9.356027650067563,-34.12990346419822,1
169.77452730210186,-8.885790680975168,-35.51701669731972,1
173.17001784814389,-8.734263669273698,-35.98798147885933,2
176.63341820510678,-8.392053876657712,-36.57920280051579,1
180.16608656920891,-7.979454994635044,-37.03299519283682,1
183.76940830059308,-7.690735246851812,-38.79836293020861,1
187.44479646660494,-7.332533202289026,-39.47379724962192,1
191.19369239593703,-7.073317642347287,-40.25847404006791,1
195.01756624385578,-6.77342073012255,-40.91207246390115,1
198.9179175687329,-6.5982794916494045,-41.354767313938765,1
202.89627592010754,-6.2122872964431375,-41.86992440429712,1
206.9542014385097,-5.9846136965591885,-44.63997755534314,1
211.09328546727988,-5.581200113907217,-44.311096990548734,1
215.31515117662548,-5.297504654962032,-45.75288983075155,1
219.62145420015798,-5.012008187888071,-45.568170053703454,1
224.01388328416115,-4.93236875732326,-46.98861530315888,1
228.49416094984437,-4.567601230115475,-48.45955794295662,1
233.06404416884126,-4.204036662644113,-50.190822974744115,1
237.7253250522181,-3.9061157835600517,-50.33780940759168,1
242.47983155326247,-3.6849340548631524,-51.66849988191473,1
247.32942818432772,-3.460433962519765,-52.03222406597207,1
252.27601674801429,-3.060929058463205,-53.95495297192848,1
257.3215370829746,-2.9153950026024447,-54.798553670204114,1
262.4679678246341,-2.6027736824688175,-55.69231712712613,1
267.7173271811268,-2.341181431317042,-56.141962858009414,1
273.07167372474936,-2.0132361722782495,-57.7247914855946,1
278.53310719924434,-1.9160917646191553,-59.60258604709381,1
284.10376934322926,-1.7064767544681405,-59.79465142634649,1
289.78584473009386,-1.3710534610595855,-61.173171449601156,1
295.5815616246957,-1.1744764177168916,-62.56744043176354,1
301.4931928571896,-0.7958725946143836,-62.9642132268352,1
307.52305671433345,-0.7028151737127152,-63.835854879999914,1
313.6735178486201,-0.46732883126614655,-65.385710633077,1
319.9469882055925,-0.05594964718934039,-66.3001989659256,1
326.34592796970435,0.16899233387111764,-67.3315229044213,1
332.87284652909847,0.37766939300241,-69.06365837488781,1
339.53030345968045,0.5766248586846118,-70.17784086665984,1
346.3209095288741,0.8219677132027504,-70.2642127677483,1
353.24732771945156,1.0237830873368068,-71.37166435175288,1
360.3122742738406,1.238201626372322,-73.18932967146696,1
367.5185197593174,1.4437969756083737,-74.0421712589361,1
374.8688901545038,1.6905823882085966,-75.44427010873659,1
382.3662679575939,1.8795213200859204,-75.6605370846934,1
390.01359331674576,2.076617630128096,-77.56467860847204,1
397.8138651830807,2.3111548842191554,-78.34216095572896,1
405.7701424867423,2.5020050473817883,-79.64868608298573,1
413.88554533647715,2.7863531072487855,-80.57359967465442,1
422.1632562432067,2.9682626334579676,-81.36856181738472,1
430.60652136807084,3.153063847771117,-83.15350315283104,1
439.21865179543227,3.3401897042531816,-84.18381371586494,1
448.0030248313409,3.601471670734894,-85.21117946260384,1
456.96308532796775,3.8379070877517183,-86.18022833960413,1
466.1023470345271,3.9785293732207347,-87.33108996090435,1
475.42439397521764,4.102565449814657,-88.88880051163562,1
484.932881854722,4.321882745712373,-89.77908056646169,1
494.63153949181645,4.5170256007996255,-91.16238642654241,1
504.5241702816528,4.69555381678923,-92.26562855617551,1
514.6146536872859,4.782753701988697,-93.78688546876062,1
524.9069467610317,5.184556747124001,-95.34345841963814,1
535.4050856962523,5.407194956519176,-96.05191137506539,1
546.1131874101774,5.4647625775678295,-96.24535565174813,1
557.035451158381,5.651981504641386,-98.69709846719903,1
568.1761601815485,5.7109115925224465,-99.20953041422524,1
579.5396833851795,5.891129636229098,-100.21085250212198,1
591.1304770528831,6.0255680688433415,-102.05167162661897,1
602.9530865939407,6.36557450986418,-102.76334461491747,1
615.0121483258196,6.501077298781165,-104.35167951960855,1
627.312391292336,6.529523557609962,-105.57210094782891,1
