Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-32.69862230490282,-2.3358448885720264,2
40.8,-29.581507926412023,14.321794157186048,2
41.616,-30.40654336598538,-14.655063613617635,2
42.44832,-32.19399761350015,-4.842913290724795,2
43.297286400000004,-31.576932934853676,-2.2296797354348143,2
44.163232128000004,-30.789818590539152,3.0016374451071215,2
45.046496770560005,-31.577982096020232,0.25048665212824517,2
45.9474267059712,-29.73286569019857,-2.7083216750552452,2
46.866375240090626,-29.131246088435063,-6.030399852976899,2
47.80370274489244,-30.84620055581186,-13.77746621578163,2
48.75977679979029,-30.941489511433627,-1.3374479556939747,2
49.7349723357861,-27.905854795763034,-5.4278584624966015,2
50.72967178250182,-29.452307235662545,6.052135588650998,2
51.74426521815185,-28.33479209594976,-4.368031573529251,2
52.77915052251489,-29.119055744395055,-6.856346955689219,2
53.83473353296519,-27.397289923069067,-4.937002356762207,2
54.911428203624496,-26.993187990231327,7.685701701656605,2
56.00965676769699,-26.12315859131278,0.1421502979616065,2
57.12984990305093,-25.984095479411476,-14.926035492041422,2
58.27244690111195,-25.23901743467023,-0.03376973025370944,2
59.437895839134185,-25.196177960669004,-10.82108365863752,2
60.62665375591687,-25.488020856704903,-1.467711150232308,2
61.83918683103521,-25.300000148206006,-11.77189683591493,2
63.075970567655915,-24.65150672766497,-9.198228176726117,2
64.33748997900904,-25.21113120739392,-1.62785798662631,2
65.62423977858921,-23.3615460284518,-12.84171461067703,2
66.936724574161,-22.680650352664763,-7.726360388007038,2
68.27545906564423,-22.66826608725386,-11.124507651653715,2
69.64096824695712,-22.798358999207753,-7.967920927077671,2
71.03378761189626,-21.253125036274817,-6.822372970776371,2
72.45446336413418,-21.90222833784827,-4.39660549871239,2
73.90355263141687,-21.142715736777323,-9.847182158760289,2
75.38162368404521,-20.53679490062598,-15.913233274783238,2
76.88925615772611,-20.167403711005594,-10.771274418668057,2
78.42704128088063,-20.355695191783152,-9.035549968713724,2
79.99558210649825,-19.529290036835956,-13.87554648314655,2
81.59549374862821,-19.661151855021433,-11.928033720033312,2
83.22740362360078,-19.39285263608736,-12.880532228723894,2
84.8919516960728,-18.659769286518788,-14.617583255164305,2
86.58979072999425,-18.702576406280162,-13.86968057265576,2
88.32158654459414,-18.18732355298148,-12.370557863836723,2
90.08801827548602,-17.93375521720601,-14.804474835761837,2
91.88977864099574,-17.773724243363656,-15.758923574679557,2
93.72757421381566,-17.03486258130252,-18.200770769295076,2
95.60212569809197,-17.70004806608942,-15.766703238911134,2
97.5141682120538,-16.570496546341335,-16.643117310803973,2
99.46445157629488,-16.70162257767326,-16.51482565414756,2
101.45374060782078,-15.96155436082351,-17.844750728764325,2
103.4828154199772,-15.695807911087313,-18.216760873940345,2
105.55247172837674,-15.438015612809352,-18.64155190618888,2
107.66352116294428,-14.893099774342282,-22.078086383242905,2
109.81679158620317,-14.758949373139066,-22.636975115755373,2
112.01312741792724,-14.517315433412234,-23.17288554343571,2
114.25338996628578,-14.033614846861537,-22.57773393131059,2
116.5384577656115,-13.639577294641075,-22.18609161809664,2
118.86922692092372,-13.278573555020758,-24.543846160185794,2
121.2466114593422,-12.720585609396824,-24.162572399277835,2
123.67154368852906,-12.530507019710884,-24.137333984217662,2
126.14497456229964,-12.086305434181671,-23.059471856478737,2
128.66787405354563,-11.783062782131886,-25.806580621881462,2
131.24123153461656,-11.325756006556055,-25.194973507967553,2
133.8660561653089,-11.255606255082883,-28.44790279265331,2
136.54337728861506,-10.675186497215599,-28.89498883853942,2
139.27424483438736,-10.607120661888363,-30.404435102322275,2
142.05972973107512,-10.257792554199165,-29.574284890128965,2
144.90092432569662,-10.155521991005418,-31.481095840098014,2
147.79894281221056,-9.494430211653366,-31.14917962241688,1
150.75492166845476,-9.56167200373957,-31.979882591315658,1
153.77002010182386,-9.119421348214406,-34.33224197401957,1
156.84542050386034,-8.750670042099934,-33.92400708544702,2
159.98232891393755,-8.500910277240244,-35.36579148890439,1
163.1819754922163,-8.176595646914873,-36.46275658094629,1
166.44561500206063,-7.774088118545868,-36.5317804401446,1
169.77452730210186,-7.562439628880046,-38.49902702422966,1
173.17001784814389,-7.179752676843045,-38.37005799934661,1
176.63341820510678,-6.993643777109488,-40.01486093727086,1
180.16608656920891,-6.505781294700913,-39.858033461780465,1
183.76940830059308,-6.288182095774108,-41.632759506907426,1
187.44479646660494,-5.956158313172762,-42.381028101481085,1
191.19369239593703,-5.508182172556559,-42.963939638809364,1
195.01756624385578,-5.339639674552736,-44.34500529675219,1
198.9179175687329,-5.133857838986902,-44.9644343689954,1
202.89627592010754,-4.73794897197306,-45.879827683343166,1
206.9542014385097,-4.4934268074360615,-46.82568622082374,1
211.09328546727988,-4.069537737315724,-47.668219449268896,1
215.31515117662548,-3.8025084532642697,-48.645558439937545,1
219.62145420015798,-3.6167743507079915,-50.145877304517285,1
224.01388328416115,-3.3237074804433235,-51.677520233215645,1
228.49416094984437,-2.933794876057424,-51.7735444010931,1
233.06404416884126,-2.6304580165824665,-52.65548314036063,1
237.7253250522181,-2.5413070769572044,-54.67628084341641,1
242.47983155326247,-2.0720176785508877,-54.161097655397754,1
247.32942818432772,-1.8286653457134787,-56.33122317535058,1
252.27601674801429,-1.6004061601591426,-57.18912885092428,1
257.3215370829746,-1.346843103735814,-57.792834758041764,1
262.4679678246341,-1.1456675729571988,-59.227377989698695,1
267.7173271811268,-0.9690792914835986,-59.77274459777227,1
273.07167372474936,-0.5561722924702283,-62.313247136934024,1
278.53310719924434,-0.2853957078907954,-61.63628522267995,1
284.10376934322926,-0.12403697018999747,-63.87891130539086,1
289.78584473009386,0.12359484612965237,-63.899430779122156,1
295.5815616246957,0.4204436092464065,-65.14097124421264,1
301.4931928571896,0.7593346156818714,-66.65239340883798,1
307.52305671433345,0.9611409660287199,-68.28163249733056,1
