Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.872844327749778,88.43892709863565,1
40.8,-22.68309409654699,88.66994502105399,1
41.616,-22.540873078413984,88.06991629747516,1
42.44832,-22.342924298279517,88.33279589124477,1
43.297286400000004,-22.15111314686652,88.23817885685307,1
44.163232128000004,-21.962372879454566,88.81860140959742,1
45.046496770560005,-21.909369645817865,87.98807920089189,1
45.9474267059712,-21.61569093382794,88.70532047735227,1
46.866375240090626,-21.546063267641696,86.86263217790952,1
47.80370274489244,-21.229387308240778,88.82710121980574,1
48.75977679979029,-21.209338826662577,88.43787428210419,1
49.7349723357861,-21.042607359441345,88.12549221475513,1
50.72967178250182,-20.864074127045384,87.11058819900722,1
51.74426521815185,-20.633138567982822,87.49374675806725,1
52.77915052251489,-20.404328581383442,88.15798007774862,1
53.83473353296519,-20.475673091297047,87.4989852940256,1
54.911428203624496,-20.21138139198589,88.4903571978661,1
56.00965676769699,-20.171853811762993,87.65109673200251,1
57.12984990305093,-19.668819508248305,87.83940756647672,1
58.27244690111195,-19.825365369739604,87.46496393048524,1
59.437895839134185,-19.488857377053147,88.06506245901605,1
60.62665375591687,-19.336372104364504,87.710309948221,1
61.83918683103521,-19.18777472930903,88.01499145503374,1
63.075970567655915,-18.980516999374974,87.26594157583648,1
64.33748997900904,-18.666792402953362,87.06011900799388,1
65.62423977858921,-18.607769347245114,87.17958615636091,1
66.936724574161,-18.353912985270473,86.29393022027193,1
68.27545906564423,-18.401568181880886,86.63492499009416,1
69.64096824695712,-17.92774885184765,87.020979086067,1
71.03378761189626,-18.05709387905681,87.16208355337557,1
72.45446336413418,-17.650457687663014,86.91886818850003,1
73.90355263141687,-17.54659691167955,87.1935839233299,1
75.38162368404521,-17.415794814865592,87.13792213924613,1
76.88925615772611,-17.24104055701103,86.90990052348309,1
78.42704128088063,-17.061599528291698,86.31881904244935,1
79.99558210649825,-16.92488496620768,86.61132050235494,1
81.59549374862821,-16.63073280881818,86.62229197224826,1
83.22740362360078,-16.707057347891453,86.27546383770992,1
84.8919516960728,-16.354469279792987,86.72351784565647,1
86.58979072999425,-16.180281096291555,86.18544848843328,1
88.32158654459414,-16.11592844403847,86.55646350406244,1
90.08801827548602,-15.827716756054928,86.61935046920361,1
91.88977864099574,-15.663297287253732,86.05057232553293,1
93.72757421381566,-15.57741734580462,86.56436669277218,1
95.60212569809197,-15.481272620170406,85.9258210340206,1
97.5141682120538,-15.147130202093662,86.07619915799668,1
99.46445157629488,-14.97927958690947,85.90328972020598,1
