Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.629312718799454,88.78959131676721,1
40.8,-22.216692105957538,88.44361422247562,1
41.616,-22.270296870019326,88.99599014760645,1
42.44832,-22.05094607005306,88.2321264975868,1
43.297286400000004,-21.97792659021639,88.27962842006725,1
44.163232128000004,-21.687159233023788,89.27412630781741,1
45.046496770560005,-21.518216971528833,87.47200213759086,1
45.9474267059712,-21.660131003113545,87.21719354932888,1
46.866375240090626,-21.300555331420785,87.91861334411874,1
47.80370274489244,-21.040431973738094,88.18642006580949,1
48.75977679979029,-20.929637526949154,87.86414055070372,1
49.7349723357861,-20.704474632364605,88.46714886870734,1
50.72967178250182,-20.43548068170688,88.37367300982305,1
51.74426521815185,-20.363075083585272,88.26899342580317,1
52.77915052251489,-20.214032110597383,87.8461877400386,1
53.83473353296519,-20.027151820736957,88.06042786994955,1
54.911428203624496,-19.722426152982372,88.85360812787258,1
56.00965676769699,-19.827864787200657,88.35713798636016,1
57.12984990305093,-19.361311499493453,88.75132120361275,1
58.27244690111195,-19.428942259258235,87.92964128665267,1
59.437895839134185,-19.13611774818823,89.30663507387582,1
60.62665375591687,-19.092240077525286,87.88319954506478,1
61.83918683103521,-18.668322749605863,88.75709870058154,1
63.075970567655915,-18.768362619413253,88.07706916631332,1
64.33748997900904,-18.339411541348774,88.71237557798503,1
65.62423977858921,-18.32476240331818,88.47553827374333,1
66.936724574161,-18.041276405370148,87.9201665893587,1
68.27545906564423,-18.052362715491473,87.59986615245764,1
69.64096824695712,-17.615683439579723,88.50797660781897,1
71.03378761189626,-17.669480823384315,87.65788336073852,1
72.45446336413418,-17.428642170765627,88.13156491122987,1
73.90355263141687,-17.203299336424962,87.65158640665838,1
75.38162368404521,-17.12940763448001,87.49512621396083,1
76.88925615772611,-16.78592150280363,87.40050972396813,1
78.42704128088063,-16.750190443147805,87.76033187536098,1
79.99558210649825,-16.525976341532687,87.57480923028649,1
81.59549374862821,-16.45769707539582,87.71164556345803,1
83.22740362360078,-16.35015915046092,87.76136320650002,1
84.8919516960728,-15.91239709695334,87.55801465692524,1
86.58979072999425,-15.900278276535106,87.52872810623228,1
88.32158654459414,-15.79847643204911,86.95067747938859,1
90.08801827548602,-15.53305983437025,87.43273833331062,1
91.88977864099574,-15.326328548426071,87.33395715979049,1
93.72757421381566,-15.213971023954178,87.11640561686383,1
95.60212569809197,-15.069322549850424,87.50943741362178,1
97.5141682120538,-14.876671294282524,86.9936636665212,1
99.46445157629488,-14.61899646085405,87.24480369898296,1
101.45374060782078,-14.461736406068086,86.69233560300916,1
103.4828154199772,-14.459122384553536,87.08522350453302,1
105.55247172837674,-14.099672102351299,87.34077764906249,1
107.66352116294428,-14.130057201980218,86.84778379168043,1
109.81679158620317,-13.686445526603471,87.82410921785058,1
