Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.613521760235603,88.1771930177228,2
41.6,-28.342409357727647,91.33534063235241,2
43.264,-28.119811778809456,90.12385223201503,2
44.99456000000001,-27.753104183027617,90.18159026638256,2
46.79434240000001,-27.43588586113658,89.85547205663045,2
48.66611609600002,-27.15512259447639,87.16048972480382,2
50.61276073984002,-26.583863328891823,87.68246162517232,2
52.637271169433625,-26.075308120288703,87.99274197670525,2
54.742762016210975,-26.006399497521144,87.87418154797322,2
56.93247249685942,-25.476734309832718,87.6979296746681,2
59.2097713967338,-25.22416877591859,87.88470996854093,2
61.57816225260316,-24.99600217109962,87.70271228561646,2
64.04128874270728,-24.674881086185263,88.11766552997895,2
66.60294029241557,-24.25902166981959,88.91425254739407,2
69.26705790411219,-23.839802484647556,87.85511449365784,1
72.03774022027669,-23.49971755605639,87.04355801054112,2
74.91924982908776,-22.94410360657324,88.18112036558414,1
77.91601982225127,-22.853118332261975,87.40898836679405,1
81.03266061514132,-22.591423397640845,87.87112454120506,1
84.27396703974698,-22.114740508206467,86.93219776756041,1
87.64492572133686,-21.898367676583838,86.8322168176243,1
91.15072275019034,-21.563619571925827,86.03374556996933,1
94.79675166019796,-21.1193374421753,87.41848058167122,1
98.58862172660588,-20.824602901623717,86.2032263142327,1
102.53216659567012,-20.43099932978738,86.12799399878777,1
106.63345325949693,-20.218639806074556,86.14725874131383,1
110.89879138987682,-19.80136886119821,85.2880126097532,1
115.3347430454719,-19.31265814780094,86.15126471138115,1
119.94813276729077,-19.03400110474837,86.14411626538981,1
124.74605807798241,-18.75582914109905,86.14836591284643,1
129.7359004011017,-18.33724577510186,85.77950156198497,1
134.9253364171458,-17.95377498312698,84.51080265859537,1
140.32234987383163,-17.8874656521318,85.03920811752143,1
145.9352438687849,-17.483811341457553,84.68409186363074,1
151.7726536235363,-17.165197468987813,84.58279237035553,1
157.84355976847777,-16.75358944714913,84.2667341241728,1
164.1573021592169,-16.241324872503007,83.83276478090431,1
170.7235942455856,-16.176203965252036,83.96344029101735,1
177.55253801540903,-15.714630553827273,83.58977781867226,1
184.6546395360254,-15.407988308072786,83.57230908857014,1
192.04082511746643,-15.054364266804363,83.43003506310066,1
199.72245812216508,-14.703664326328257,83.0053026862455,1
207.71135644705168,-14.322109952525956,82.49129081710204,1
216.01981070493375,-14.135927576481237,82.01942576040358,1
224.6606031331311,-13.818402615083112,82.04542717306595,1
233.64702725845635,-13.500105355626031,81.40174668516714,1
242.9929083487946,-13.16500129624804,81.15432146286612,1
252.7126246827464,-12.787692987563842,80.44527364982663,1
262.8211296700563,-12.429922160105399,80.40186063932983,1
273.33397485685856,-12.105652318892556,80.14821252571551,1
284.2673338511329,-11.760844090549067,79.47714704933165,1
295.6380272051782,-11.40440672694799,79.36106265516779,1
307.4635482933854,-10.990228279581368,79.19679745893416,1
319.7620902251208,-10.670553944730544,78.70947513867326,1
332.55257383412567,-10.480092368448085,78.01564745469808,1
345.8546767874907,-10.003657514009374,77.64725421530983,1
359.6888638589903,-9.699994016890384,77.4989928543006,1
374.0764184133499,-9.42278747563061,76.74584165620986,1
389.0394751498839,-9.057710933593205,76.53580761581834,1
404.6010541558793,-8.739866979915018,75.87917981428717,1
420.7850963221145,-8.440808641650396,75.05377241934336,1
437.6165001749991,-8.051738281826431,74.93363467061884,1
455.1211601819991,-7.706749850967222,74.22393050957919,1
473.3260065892791,-7.398853057329976,73.67713280575964,1
492.25904685285025,-7.11217196527932,72.95045661343471,1
511.9494087269643,-6.8803452220857215,72.06547025895186,1
532.4273850760429,-6.524037032156228,71.54413304051903,1
553.7244804790846,-6.144251261249198,71.19311347725171,1
575.873459698248,-5.719381841244189,70.59961252610799,1
598.908398086178,-5.386556884176113,70.19317363644312,1
622.8647340096251,-5.074590833434209,69.24567833378273,1
647.77932337001,-4.757334065952253,68.41226942311248,1
673.6904963048105,-4.389839874955382,67.72911179091426,1
700.638116157003,-4.136793486829298,66.8210224777569,1
728.6636408032831,-3.8538722903370437,65.69108260945129,1
757.8101864354145,-3.5984962647048957,64.56011329537237,1
788.1225938928311,-3.199761616298552,63.83318972676675,1
819.6474976485443,-2.8158394643415705,63.32703656147032,1
852.4333975544862,-2.5996308549119016,61.95533665837887,1
886.5307334566656,-2.232950786802067,61.135595085518126,1
921.9919627949323,-1.8555105535247152,60.088750409992386,1
958.8716413067297,-1.598033678963171,58.85097591378755,1
997.2265069589989,-1.260805524472463,57.795167409662874,1
1037.1155672373588,-0.9093123069431426,56.8420748876033,1
1078.6001899268533,-0.6624370629310347,55.24415336755558,1
1121.7441975239276,-0.2795055365420623,54.229056329443,1
1166.6139654248848,0.06666734473805964,53.12844925735591,1
1213.2785240418802,0.41217765990179617,51.74329657923374,1
1261.8096650035554,0.7283617496877207,50.408890775781174,1
1312.2820516036977,1.0750718300487558,48.95847291585261,1
1364.7733336678457,1.3926193548079882,47.43685087507768,1
1419.3642670145596,1.6908464793646063,45.61151297877008,1
1476.138837695142,2.016519566787782,44.078085938057,1
1535.1843912029478,2.386680700190953,42.50697971732385,1
1596.5917668510658,2.6868482200025565,40.43503458360131,1
1660.4554375251084,3.074876852262034,38.758039446488965,1
1726.8736550261128,3.413333762396331,36.677334087316595,1
1795.9486012271575,3.7644769056278844,34.473263644043115,1
1867.786545276244,4.130765067839843,32.36487657028677,1
1942.4980070872937,4.4902165124128315,30.102271167896134,1
2020.1979273707855,4.8804576220990175,27.573990468587724,1
2101.005844465617,5.311239402431575,23.903073704817317,1
2185.046078244242,5.644951398277223,22.295826221839263,1
2272.4479213740115,6.021137416215099,19.160790671454222,1
2363.345838228972,6.503640772472266,15.166720110122897,1
2457.879671758131,6.821678668320455,12.462365354533617,1
2556.194858628456,7.26388822840563,8.253907857790864,1
2658.4426529735942,7.652739037622849,4.23131130639328,1
2764.780359092538,8.044888396661612,-0.2364731712776802,1
2875.3715734562397,8.41755048484392,-5.1382435160614754,1
2990.3864363944895,8.802610249014752,-10.506655003990232,1
3110.001893850269,9.07615622635021,-16.158934093151203,1
3234.4019696042797,9.420098035798802,-22.45214169847479,1
3363.7780483884508,9.574518907276277,-29.094035970879595,1
3498.329170323989,9.717763381003932,-36.15284346979587,1
3638.2623371369486,9.827351587227227,-43.333286556868245,1
3783.7928306224267,9.567158688913567,-51.365369112307064,1
3935.144543847324,9.635765489868474,-58.06124730362336,1
4092.550325601217,9.22745553810754,-66.03485075226025,1
4256.252338625266,8.807504794257682,-73.71209691750823,1
4426.502432170277,8.485937649886655,-79.2245708443902,1
4603.562529457088,7.947439729877595,-86.02842190922226,1
4787.705030635372,7.337748299289974,-93.31789810516626,1
4979.213231860787,6.7593772258416545,-98.9158609626586,1
5178.381761135219,6.030012424761189,-105.05790389632193,1
5385.517031580628,5.635978418364245,-107.37226196764198,1
5600.937712843854,4.876084765564435,-114.16849516143732,1
5824.975221357608,4.352457814975837,-117.20943151311167,1
6057.974230211912,3.753242529850022,-122.54002243029885,1
6300.293199420389,3.202443943643631,-125.8841848825169,1
6552.304927397205,2.6796184186376117,-130.9837340874886,1
