Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.492976048610902,88.2825277868507,1
41.6,-28.055767928889193,86.9688010111046,2
43.264,-27.84264343603182,87.12964901357304,2
44.99456000000001,-27.480918176912073,92.08003930213562,2
46.79434240000001,-27.258769152555853,89.45946860395856,2
48.66611609600002,-27.21583995097654,88.27261399073666,2
50.61276073984002,-26.325799271028522,88.55644069949773,2
52.637271169433625,-26.299889121833026,87.57038826311555,2
54.742762016210975,-25.834305837920304,90.11069218520808,2
56.93247249685942,-25.755820757103525,87.43835541216657,1
59.2097713967338,-25.205890657478864,88.06311339779644,2
61.57816225260316,-24.67009330778724,87.74600018594742,2
64.04128874270728,-24.620734800536592,87.73617659801124,1
66.60294029241557,-24.031612960353026,87.6382484167083,2
69.26705790411219,-23.628947158909472,87.53136612271803,2
72.03774022027669,-23.452095521605717,87.98884291807144,1
74.91924982908776,-23.002776047369434,87.163643896796,1
77.91601982225127,-22.67740062852571,87.68843410362237,1
81.03266061514132,-22.581056906632845,87.28560321371464,1
84.27396703974698,-22.007283398382206,86.81901640547315,1
87.64492572133686,-21.797151233739715,87.19218227133788,1
91.15072275019034,-21.474560888363026,87.85521922018997,1
94.79675166019796,-21.012265635098817,87.05419793767221,1
98.58862172660588,-20.70072723833803,87.2911573150359,1
102.53216659567012,-20.414757563664203,86.64551593516785,1
106.63345325949693,-20.246463938253626,85.90156159650495,1
110.89879138987682,-19.75422902159504,86.38042484894379,1
115.3347430454719,-19.301639863036893,86.25868695164809,1
119.94813276729077,-19.040636675852568,86.37986773898297,1
124.74605807798241,-18.650177984804948,86.53384917411256,1
129.7359004011017,-18.316991667984095,85.79661307219487,1
134.9253364171458,-18.01385893343846,86.00835218263029,1
140.32234987383163,-17.63945070240497,85.96835572368572,1
145.9352438687849,-17.446122897401423,85.87941693509767,1
151.7726536235363,-17.097861137072783,85.50871829023386,1
157.84355976847777,-16.66870022695887,85.05076397304938,1
164.1573021592169,-16.344673667353963,84.88033916311116,1
170.7235942455856,-16.123107891319407,84.59236911392095,1
177.55253801540903,-15.63215410673812,84.32590408196096,1
184.6546395360254,-15.370415291664889,83.94106492975652,1
192.04082511746643,-15.053134763949163,84.28783111803305,1
199.72245812216508,-14.667017904604771,83.63787605147328,1
207.71135644705168,-14.275381142503774,83.58029354106455,1
216.01981070493375,-14.051650874047278,83.37098493321395,1
224.6606031331311,-13.765755205690121,82.30594157937331,1
233.64702725845635,-13.44114959254247,82.51479862699227,1
242.9929083487946,-13.085345223524035,82.26880235412375,1
252.7126246827464,-12.805427134954474,81.89935970391238,1
262.8211296700563,-12.407773010196589,82.01526453865873,1
273.33397485685856,-12.072927203492604,81.66636633628218,1
284.2673338511329,-11.746333833464211,81.29322501652905,1
295.6380272051782,-11.349097501148854,80.67375496986479,1
307.4635482933854,-10.925808542433494,80.76733382768555,1
319.7620902251208,-10.67683613501893,80.42368060114124,1
332.55257383412567,-10.412949421310916,79.94317419695084,1
345.8546767874907,-10.018216829841275,79.51420231361516,1
359.6888638589903,-9.706556080528669,79.3760519500648,1
374.0764184133499,-9.40740292929015,78.76880825423596,1
