Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.88341028013867,-91.64710932117976,2
41.6,-28.839159740672006,-91.96825682843915,2
43.264,-28.435897302977057,-92.61499087382765,2
44.99456000000001,-28.096063578608504,-93.18844386735333,2
46.79434240000001,-27.630547392860212,-92.72171187949645,2
48.66611609600002,-27.13463837965752,-94.5163798363319,2
50.61276073984002,-26.925461596952236,-94.17589125084123,2
52.637271169433625,-26.214494691621063,-92.33952073463513,2
54.742762016210975,-26.252676083878484,-93.86543510606089,2
56.93247249685942,-25.80272339618288,-93.08253501233594,2
59.2097713967338,-25.488828434052692,-92.49171012970862,2
61.57816225260316,-25.12719654999529,-93.68116321438993,2
64.04128874270728,-24.895816235334863,-93.43984389621541,2
66.60294029241557,-24.66201874071392,-92.6809763698165,2
69.26705790411219,-23.9667533071236,-93.25405591551717,2
72.03774022027669,-23.808906131027225,-93.85843056804345,2
74.91924982908776,-23.545229235770844,-93.5950308046612,2
77.91601982225127,-23.15590507289247,-94.04533739785259,2
81.03266061514132,-22.929773107524277,-94.52477612782661,1
84.27396703974698,-22.258432915493962,-94.25911180074866,1
87.64492572133686,-22.074754398606515,-94.09157015658262,1
91.15072275019034,-21.774957988729295,-95.1032087380309,1
94.79675166019796,-21.4956739706528,-95.76258700874321,1
98.58862172660588,-21.060169728805587,-95.76243429671443,1
102.53216659567012,-20.653234621479672,-95.2907147711225,1
106.63345325949693,-20.443662918787084,-95.27763837060552,1
110.89879138987682,-20.039115523527833,-96.57595623071177,1
115.3347430454719,-19.537350802486287,-96.23803444348098,1
119.94813276729077,-19.25632951479207,-96.0861464855251,1
124.74605807798241,-18.845236270183193,-96.55327185844364,1
129.7359004011017,-18.50676833197055,-97.1390445610321,1
134.9253364171458,-18.182555559608026,-97.1988157341246,1
140.32234987383163,-17.866195238716067,-97.19273403734181,1
145.9352438687849,-17.688907873115184,-97.90914618334345,1
151.7726536235363,-17.269497521780046,-98.31485475198645,1
157.84355976847777,-16.821924660290062,-98.41695237224292,1
164.1573021592169,-16.313905815245153,-98.51000135778085,1
170.7235942455856,-16.117956663486314,-99.47110404554013,1
177.55253801540903,-15.73888418527839,-99.84694189549353,1
184.6546395360254,-15.325920304047768,-99.98621460157341,1
192.04082511746643,-14.983874798008417,-100.66138923863019,1
199.72245812216508,-14.609397776783082,-100.7441517702859,1
207.71135644705168,-14.269962610535556,-101.32146611993433,1
216.01981070493375,-13.962469654287457,-101.83473446714227,1
224.6606031331311,-13.596133482490957,-102.39463237880057,1
233.64702725845635,-13.256578023179744,-102.97359057335377,1
242.9929083487946,-12.817504333672733,-103.51445829429161,1
252.7126246827464,-12.394746321952201,-104.0190199395454,1
262.8211296700563,-12.03126327854592,-104.83133967820237,1
