Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.413910408758746,88.1697108746935,2
41.6,-28.978489388081535,88.16011329345679,2
43.264,-28.79078937391059,88.99461850593687,2
44.99456000000001,-28.199179299128684,91.0878133474701,2
46.79434240000001,-27.831662545676217,89.70647334928299,2
48.66611609600002,-27.648509095650468,87.88305432677726,2
50.61276073984002,-27.143515195601545,89.39896168538257,2
52.637271169433625,-26.85812876367489,87.92898093014202,2
54.742762016210975,-26.4815357795303,88.3898320127208,2
56.93247249685942,-26.149501689163948,89.19004758532259,2
59.2097713967338,-25.686478950475056,87.47111201555687,2
61.57816225260316,-25.389215227551624,88.10361501572572,2
64.04128874270728,-25.29621331527073,87.5037553859699,2
66.60294029241557,-24.88012500919283,89.88050379529409,2
69.26705790411219,-24.596768496704076,87.31552033340073,2
72.03774022027669,-24.119478100738935,87.03537671453125,2
74.91924982908776,-23.781903062468757,87.72348691796964,2
77.91601982225127,-23.474738674673684,86.3616299632797,1
81.03266061514132,-23.2013696532331,87.89510084949539,1
84.27396703974698,-22.71854392683166,87.45487511941532,1
87.64492572133686,-22.340129330030493,88.04945719410902,1
91.15072275019034,-22.10238168980308,86.97220370756506,1
94.79675166019796,-21.677669980295647,87.14843044662177,1
98.58862172660588,-21.407087103020114,86.29552978299004,1
102.53216659567012,-21.12721569055599,86.57870821555719,1
106.63345325949693,-20.842079669412243,86.26349470593746,1
110.89879138987682,-20.382386113696377,86.27231741307496,1
115.3347430454719,-19.995018340746977,86.35432089130501,1
119.94813276729077,-19.576570373703156,86.87495614556197,1
124.74605807798241,-19.229519976763793,86.45840271452721,1
129.7359004011017,-18.905676584611413,85.59881005336229,1
134.9253364171458,-18.580322360871683,84.90644316431019,1
140.32234987383163,-18.414505068751566,85.47852187706238,1
145.9352438687849,-18.087551027508205,85.65899510366461,1
151.7726536235363,-17.826687745915436,84.82096196842926,1
157.84355976847777,-17.359617625240467,84.52441472907248,1
164.1573021592169,-16.888726794061835,84.04948071266352,1
170.7235942455856,-16.705071437154125,84.14893074656194,1
177.55253801540903,-16.397708042327867,83.7079011585591,1
184.6546395360254,-16.056491832248764,83.60096182466009,1
192.04082511746643,-15.69761126956222,83.70061467872817,1
199.72245812216508,-15.358956022494034,83.26084090025527,1
207.71135644705168,-14.935450568676524,83.40812715935209,1
216.01981070493375,-14.770368552281763,82.23084682429462,1
224.6606031331311,-14.446521252873149,81.7296067074715,1
233.64702725845635,-14.07793817866231,81.90074806090276,1
242.9929083487946,-13.75846780898434,81.41466153141464,1
252.7126246827464,-13.410566241100762,81.58466394738475,1
262.8211296700563,-13.010937361564917,81.07160394664214,1
273.33397485685856,-12.756277475771222,80.85128582788343,1
284.2673338511329,-12.406061208239498,80.64579315034999,1
295.6380272051782,-12.029602617435266,79.8840231224762,1
307.4635482933854,-11.591148763486391,80.1265885588748,1
319.7620902251208,-11.130999206583395,79.84502830817291,1
332.55257383412567,-11.035236940276373,78.85651305313272,1
345.8546767874907,-10.607418833756144,78.67256706229813,1
359.6888638589903,-10.310257689001531,78.59032983899912,1
