Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.663985191904757,-92.1246869032426,2
41.6,-28.63643483709121,-92.1253017212062,2
43.264,-28.380271828570212,-92.11198234970573,2
44.99456000000001,-27.792507089985374,-90.57110150037047,2
46.79434240000001,-27.295542366044923,-91.74865011053211,1
48.66611609600002,-26.86999310225341,-91.67556473096701,2
50.61276073984002,-26.67478910328759,-90.08740464172098,2
52.637271169433625,-26.0064765924417,-90.73617693990641,2
54.742762016210975,-25.77022876522638,-91.75060796540171,1
56.93247249685942,-25.60309301686234,-89.76110798535235,2
59.2097713967338,-25.129239967412552,-90.87067461150502,2
61.57816225260316,-25.07684952796364,-91.49898829214,2
64.04128874270728,-24.66186703869109,-93.54794392202999,2
66.60294029241557,-24.053138402313028,-89.68184200325186,2
69.26705790411219,-23.97230054651971,-91.09214319810437,1
72.03774022027669,-23.374420356001092,-91.75628027312142,2
74.91924982908776,-23.22962736243875,-92.51684139195252,1
77.91601982225127,-22.929943769233574,-92.21977050438136,1
81.03266061514132,-22.638609210269408,-92.44225951433714,1
84.27396703974698,-22.373423895857556,-90.61660644150265,1
87.64492572133686,-21.886404456947886,-91.04513245290077,1
91.15072275019034,-21.60803529428402,-92.102540538781,1
94.79675166019796,-21.23966923144789,-91.76854654861611,1
98.58862172660588,-20.942049387147662,-93.17748464299883,1
102.53216659567012,-20.50271256796474,-92.76314956732347,1
106.63345325949693,-20.329172616160402,-92.95248165177664,1
110.89879138987682,-19.869135029470215,-93.33069038234363,1
115.3347430454719,-19.385040739057327,-93.0975886568444,1
119.94813276729077,-19.05980759035929,-92.7510427712046,1
124.74605807798241,-18.699614856149253,-93.42240401945847,1
129.7359004011017,-18.444582003908437,-93.83877475031925,1
134.9253364171458,-18.085477829257115,-93.4938487603633,1
140.32234987383163,-17.718613362607833,-94.02735138478447,1
145.9352438687849,-17.509780409086208,-93.30139220577493,1
151.7726536235363,-17.246277057324,-93.90629221641348,1
157.84355976847777,-16.790102936948045,-93.93281789092799,1
164.1573021592169,-16.4243657679307,-93.2431818120199,1
170.7235942455856,-16.186471015952524,-93.99467209160355,1
177.55253801540903,-15.792257763044084,-94.76062270465331,1
184.6546395360254,-15.403120704354604,-94.27904087052949,1
192.04082511746643,-15.163114106350479,-94.59006126363107,1
199.72245812216508,-14.75710590128616,-95.10463992372965,1
207.71135644705168,-14.507008649531617,-95.34067580677738,1
216.01981070493375,-14.275661584856318,-95.36984066761582,1
224.6606031331311,-13.966694010230103,-95.53812421457354,1
233.64702725845635,-13.592076685263041,-96.03948705111497,1
242.9929083487946,-13.221868210118883,-95.95210749106616,1
252.7126246827464,-12.937508385937983,-96.20628147533353,1
262.8211296700563,-12.583974722518334,-96.5727776462981,1
273.33397485685856,-12.214001097075451,-96.56786356408301,1
284.2673338511329,-11.952491776666445,-97.16048091971345,1
295.6380272051782,-11.562651203597866,-97.31043068656162,1
307.4635482933854,-11.126500549283907,-97.41303924520598,1
319.7620902251208,-10.865190337142147,-97.65381518548787,1
332.55257383412567,-10.666498532272755,-98.18833338408473,1
345.8546767874907,-10.248495682005505,-98.69151817688692,1
359.6888638589903,-9.955001649305194,-98.80252551158226,1
374.0764184133499,-9.62712026193014,-98.9219981549503,1
389.0394751498839,-9.225275586456837,-99.4141620299655,1
404.6010541558793,-8.955880376908556,-99.56848747824142,1
420.7850963221145,-8.620547106086475,-99.78703746554413,1
437.6165001749991,-8.155529312444521,-100.15368097689267,1
455.1211601819991,-7.8240602086301685,-100.3363835239667,1
473.3260065892791,-7.541415270675832,-100.84139666885056,1
492.25904685285025,-7.280480900307233,-101.05144602108594,1
511.9494087269643,-6.969271053277012,-101.90293244251586,1
532.4273850760429,-6.626147703384356,-101.95050490716173,1
553.7244804790846,-6.2220826973766075,-102.22039902975047,1
575.873459698248,-5.804692658022933,-102.71484207949942,1
598.908398086178,-5.487114711467982,-103.0668937815093,1
622.8647340096251,-5.158898999203173,-103.59757284427748,1
647.77932337001,-4.8395231951944515,-104.24225934318488,1
673.6904963048105,-4.532921020005778,-104.50516622520323,1
700.638116157003,-4.254314123352241,-105.00404333213436,1
728.6636408032831,-3.987221074421299,-105.93697777762412,1
757.8101864354145,-3.7387375134236227,-106.51647218463347,1
788.1225938928311,-3.3369200478880323,-106.74080219782066,1
819.6474976485443,-2.9337573180853402,-107.01091212182098,1
852.4333975544862,-2.7139074463385704,-108.15014790875841,1
