Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-21.99319851169227,-93.22335131376161,1
40.8,-21.874812526618104,-93.5326103019509,1
41.616,-21.71262143776849,-92.73146960499767,1
42.44832,-21.5985609322806,-92.8617715168449,1
43.297286400000004,-21.288354467976728,-93.28623643925329,1
44.163232128000004,-21.210473035500303,-93.46513075896218,1
45.046496770560005,-21.007161328986435,-93.41216280722608,1
45.9474267059712,-20.795936673055053,-93.10078158568126,1
46.866375240090626,-20.660932647753874,-92.7489217999389,1
47.80370274489244,-20.484629810638385,-93.01266214764057,1
48.75977679979029,-20.178874148672918,-95.20389779751068,1
49.7349723357861,-20.190283971176054,-93.90485657322895,1
50.72967178250182,-19.836396383007763,-94.52358786898637,1
51.74426521815185,-19.882683187200467,-93.03294265846262,1
52.77915052251489,-19.618284966059516,-94.02493420028107,1
53.83473353296519,-19.645686388090592,-94.14659992462221,1
54.911428203624496,-19.207482038513483,-94.75606661411707,1
56.00965676769699,-19.173031918107498,-94.55580626198372,1
57.12984990305093,-18.785069377462467,-94.18881667425804,1
58.27244690111195,-18.92488197516323,-94.56159460496546,1
59.437895839134185,-18.50714019841352,-94.94835171168356,1
60.62665375591687,-18.454360527935634,-94.37016038778421,1
61.83918683103521,-18.218727613781606,-95.06628285763806,1
63.075970567655915,-18.191651774390802,-94.91104938099076,1
64.33748997900904,-17.847233604723133,-94.90316475709812,1
65.62423977858921,-17.760566251862404,-95.26420768575332,1
66.936724574161,-17.470649658021927,-95.5756356076561,1
68.27545906564423,-17.43851303874093,-95.14726567522536,1
69.64096824695712,-16.976548109908855,-94.94921762883419,1
71.03378761189626,-17.07333562121472,-96.04387929329044,1
72.45446336413418,-16.65693869632285,-95.4413416363994,1
73.90355263141687,-16.64589083763298,-95.69075446484412,1
75.38162368404521,-16.52670095852623,-95.8357460796845,1
76.88925615772611,-16.176035395838255,-95.35587769846717,1
78.42704128088063,-16.165118690952117,-95.85221542397407,1
79.99558210649825,-15.882404531083889,-96.3557399929127,1
81.59549374862821,-15.769759539618484,-95.88350883811175,1
83.22740362360078,-15.617257647343997,-96.20255008626587,1
84.8919516960728,-15.395437519265391,-96.38071171971878,1
86.58979072999425,-15.212928234484409,-96.32010878030445,1
88.32158654459414,-15.14035975342358,-96.47822377443181,1
90.08801827548602,-14.890677353337752,-96.75326371307835,1
91.88977864099574,-14.640413706962132,-96.63392185451848,1
93.72757421381566,-14.575112678059446,-96.87548385641783,1
95.60212569809197,-14.424910478131432,-97.39878604976877,1
97.5141682120538,-14.149700831813142,-97.81858641677609,1
99.46445157629488,-14.00589186703729,-97.43056719801424,1
101.45374060782078,-13.742124537638047,-97.8194726073792,1
103.4828154199772,-13.608323029151384,-97.74067143056608,1
105.55247172837674,-13.389717522398861,-98.35220401940241,1
107.66352116294428,-13.403196472360538,-98.2007004927774,1
109.81679158620317,-12.992540144128117,-97.97087671610228,1
112.01312741792724,-13.010319043795485,-99.02587974348438,1
114.25338996628578,-12.595439368632809,-98.35636187499031,1
116.5384577656115,-12.623923122728387,-99.0046952715513,1
118.86922692092372,-12.274438667579016,-99.14882279411279,1
121.2466114593422,-12.182261152443676,-99.52953872740824,1
123.67154368852906,-11.889416041311847,-99.60470155816532,1
126.14497456229964,-11.835547150949035,-99.8094214627907,1
128.66787405354563,-11.549590630575866,-99.73725631616615,1
131.24123153461656,-11.442412097869429,-100.08380586411778,1
133.8660561653089,-11.109225612453143,-100.1648080004263,1
136.54337728861506,-11.090864423941532,-100.63270517393235,1
139.27424483438736,-10.757797586429819,-100.55874234417503,1
142.05972973107512,-10.744159960605458,-101.08615876814974,1
144.90092432569662,-10.393695823576579,-101.0792112429408,1
147.79894281221056,-10.28959777811331,-101.7885184902583,1
150.75492166845476,-10.166874549600264,-101.85558248396984,1
153.77002010182386,-9.784893895852674,-101.6469790255231,1
156.84542050386034,-9.787123808579535,-102.49655677417277,1
159.98232891393755,-9.502472955666494,-102.57690683840598,1
163.1819754922163,-9.289925392796112,-102.57704348177451,1
166.44561500206063,-9.211244052122808,-103.18576833039836,1
169.77452730210186,-8.904533439097863,-103.37599093699201,1
173.17001784814389,-8.67851893013513,-103.68455112072365,1
176.63341820510678,-8.571283803124542,-104.21547272014382,1
180.16608656920891,-8.320992684114092,-104.43868515568181,1
183.76940830059308,-8.034210856940062,-104.72869118917018,1
187.44479646660494,-7.892032243541743,-105.04102016117606,1
191.19369239593703,-7.776520551377453,-105.41229073931459,1
195.01756624385578,-7.532632648673045,-105.923710147441,1
198.9179175687329,-7.238886505186924,-105.82505054615348,1
202.89627592010754,-7.011024851826565,-106.72185846660663,1
206.9542014385097,-6.868087681177082,-106.79078231166217,1
211.09328546727988,-6.706402128610094,-107.31026295219908,1
215.31515117662548,-6.519832848684387,-108.006777268246,1
219.62145420015798,-6.122343457745671,-108.00029056351141,1
224.01388328416115,-6.1214381768353485,-109.03754850118028,1
228.49416094984437,-5.708488684321385,-108.89663321857952,1
233.06404416884126,-5.663589392924059,-109.96071284195432,1
237.7253250522181,-5.300692118664322,-110.19478170545842,1
242.47983155326247,-5.171012055062153,-111.16233555258532,1
247.32942818432772,-4.888837090671105,-111.0512694229178,1
252.27601674801429,-4.726574347932026,-112.08562886571312,1
257.3215370829746,-4.41388718369493,-112.1799245772313,1
262.4679678246341,-4.250888583060703,-113.21326586226797,1
267.7173271811268,-3.918549500505835,-113.50168707576175,1
273.07167372474936,-3.804601946651628,-114.56047759943789,1
278.53310719924434,-3.429290123842959,-114.69603495574142,1
284.10376934322926,-3.294004267848622,-115.97154038199977,1
289.78584473009386,-2.964767516034217,-116.34318287064018,1
295.5815616246957,-2.7509574949639477,-117.38374101057674,1
301.4931928571896,-2.515740309392436,-118.4076714794071,1
307.52305671433345,-2.1781236860078517,-118.9601882457809,1
313.6735178486201,-2.020217289944594,-120.29370593809668,1
319.9469882055925,-1.7077262345311972,-120.86076134291807,1
326.34592796970435,-1.3922701872512413,-121.81185690724783,1
332.87284652909847,-1.2006154024073346,-123.49643336181664,1
339.53030345968045,-0.8757258507489459,-123.93960023138689,1
346.3209095288741,-0.600028811374714,-125.30629740525902,1
353.24732771945156,-0.35565838246725967,-126.83609839316952,1
360.3122742738406,-0.061639084971305345,-127.9334803422089,1
367.5185197593174,0.28472365883524287,-129.1385339869368,1
