Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.679876364932905,-91.38836022144909,1
40.8,-22.717263496931196,-91.04752534145135,1
41.616,-22.441583037895686,-91.66080545890601,1
42.44832,-22.3795974129149,-91.62075204208185,1
43.297286400000004,-22.05363822077823,-91.53663042593172,1
44.163232128000004,-21.880038292111177,-92.27659670341546,1
45.046496770560005,-21.827523614918245,-91.82353231114118,1
45.9474267059712,-21.60265743910318,-93.41371577874077,1
46.866375240090626,-21.341595592892066,-91.27680140509831,1
47.80370274489244,-21.087400368648343,-91.196238588798,1
48.75977679979029,-21.226396140930497,-91.48711175975987,1
49.7349723357861,-20.87038337804755,-91.07122449616764,1
50.72967178250182,-20.667811147665596,-92.43474735608146,1
51.74426521815185,-20.545555314265567,-91.76699344657891,1
52.77915052251489,-20.27016948470675,-92.09905663526261,1
53.83473353296519,-20.338023455795245,-92.45173048065035,1
54.911428203624496,-19.78983690839779,-91.20523377683573,1
56.00965676769699,-20.02687911777327,-91.96938117194338,1
57.12984990305093,-19.580527818179434,-92.37325142265367,1
58.27244690111195,-19.586237858148735,-92.13321012038315,1
59.437895839134185,-19.343718348001666,-92.87595793561815,1
60.62665375591687,-19.25949356603722,-93.1797325832772,1
61.83918683103521,-18.999609910868315,-92.09868866001192,1
63.075970567655915,-18.94478626227129,-92.45822343122616,1
64.33748997900904,-18.658656246201055,-93.12361708122953,1
65.62423977858921,-18.411409556334522,-93.42806195534217,1
66.936724574161,-18.178257826210757,-92.56351897532215,1
68.27545906564423,-18.2174835368018,-92.99603255424665,1
69.64096824695712,-17.856373005751248,-92.49065361584164,1
71.03378761189626,-17.895222744173832,-92.67260068648363,1
72.45446336413418,-17.53714719606255,-92.59295741074173,1
73.90355263141687,-17.46791267730975,-92.95396487373011,1
75.38162368404521,-17.334732477369084,-93.49338656630005,1
76.88925615772611,-17.003849354449095,-92.57389309294524,1
78.42704128088063,-16.95250863494442,-92.77026782227543,1
79.99558210649825,-16.706845526556872,-93.4490451763757,1
81.59549374862821,-16.450388170325173,-93.00809071797526,1
83.22740362360078,-16.55389336510733,-93.82931186819073,1
84.8919516960728,-16.184773368783834,-93.16921298071492,1
86.58979072999425,-16.017834798650156,-92.97662532410786,1
88.32158654459414,-15.92405161736516,-93.31559567725563,1
90.08801827548602,-15.657444101990956,-93.72332232746092,1
91.88977864099574,-15.420223958648327,-93.5158298688705,1
93.72757421381566,-15.454727649884934,-93.34695648744474,1
95.60212569809197,-15.222485691819333,-93.7087613806001,1
97.5141682120538,-15.02694031930439,-93.38663858938651,1
99.46445157629488,-14.82431945456218,-93.71954937940552,1
101.45374060782078,-14.599991554905612,-94.0315848166197,1
103.4828154199772,-14.545613060168604,-93.93577000592668,1
105.55247172837674,-14.243290652867406,-94.04112793219502,1
107.66352116294428,-14.277342985692023,-94.2056655834767,1
109.81679158620317,-13.872965773505008,-94.01687096465454,1
112.01312741792724,-13.984040540880567,-94.61718023728486,1
114.25338996628578,-13.517816789717095,-93.99212083688099,1
116.5384577656115,-13.564118409177452,-94.4680459071243,1
118.86922692092372,-13.229425719881748,-94.47401809688438,1
121.2466114593422,-13.275145787061769,-94.57098289839132,1
123.67154368852906,-12.88954149383426,-94.94009845086032,1
126.14497456229964,-12.837982780337356,-95.15843822966463,1
128.66787405354563,-12.554442360005064,-95.01407151326778,1
131.24123153461656,-12.571791380811424,-94.87083700736792,1
133.8660561653089,-12.211830971837259,-95.02426345563205,1
136.54337728861506,-12.211957551969205,-95.74266220507606,1
139.27424483438736,-11.850072027118712,-95.47133906998151,1
142.05972973107512,-11.90438862917952,-95.73675958351612,1
144.90092432569662,-11.569405110611884,-95.14640074845556,1
147.79894281221056,-11.472384137914121,-95.71390004783105,1
150.75492166845476,-11.290712578136734,-95.88275618285809,1
153.77002010182386,-10.9956615067178,-95.81952210906623,1
156.84542050386034,-11.027345011603295,-96.15360316466072,1
159.98232891393755,-10.723851221221286,-95.8321556787891,1
163.1819754922163,-10.57277964409223,-96.26360744420056,1
166.44561500206063,-10.512628530754123,-96.78828799976644,1
169.77452730210186,-10.205582466467968,-96.52476320719462,1
173.17001784814389,-10.022994238694707,-96.61931574343257,1
176.63341820510678,-9.99512708795992,-96.96945522504535,1
180.16608656920891,-9.750160269576448,-96.93137466878585,1
183.76940830059308,-9.507702618354854,-96.9998381634264,1
187.44479646660494,-9.38637087689423,-97.42122242552932,1
191.19369239593703,-9.269717914358031,-97.48641752892382,1
195.01756624385578,-9.086643771843253,-97.50384163813698,1
198.9179175687329,-8.822054106330063,-97.45849039558104,1
202.89627592010754,-8.682142568111098,-97.74113654457636,1
206.9542014385097,-8.548378985720783,-98.00602082807954,1
211.09328546727988,-8.425412676735876,-98.12985465605027,1
215.31515117662548,-8.344180662693777,-98.49617891267988,1
219.62145420015798,-7.913091239589634,-98.2240440974991,1
224.01388328416115,-7.9837241740355065,-98.64814730999547,1
228.49416094984437,-7.604799131991245,-98.48158282613502,1
233.06404416884126,-7.602476776485455,-98.87201869586067,1
237.7253250522181,-7.307463620596108,-98.86504123149757,1
242.47983155326247,-7.215414268458717,-99.29692019097251,1
247.32942818432772,-6.964839279793958,-99.31936498650741,1
252.27601674801429,-6.903898384164943,-99.69305545630141,1
257.3215370829746,-6.601842128574599,-99.65390797999896,1
262.4679678246341,-6.563837263911643,-100.12463268378644,1
267.7173271811268,-6.2749689259052825,-99.98000986752872,1
273.07167372474936,-6.226806252583466,-100.69154766914218,1
278.53310719924434,-5.880238725183932,-100.22548651226194,1
284.10376934322926,-5.90178333644483,-101.07742773635312,1
289.78584473009386,-5.601752199491412,-100.95792921357042,1
295.5815616246957,-5.503630930190282,-101.35827989134519,1
301.4931928571896,-5.354950453850863,-101.46443512876755,1
307.52305671433345,-5.092201428357692,-101.49653364873463,1
313.6735178486201,-5.078213716710765,-101.8635916047916,1
319.9469882055925,-4.764810385555068,-102.09149616601229,1
326.34592796970435,-4.616399453064613,-102.14466584771392,1
332.87284652909847,-4.538855673674426,-102.71911481578218,1
339.53030345968045,-4.257543669902178,-102.72477143176643,1
346.3209095288741,-4.087594582887126,-102.9588438346912,1
353.24732771945156,-4.028954982527578,-103.41173656410655,1
360.3122742738406,-3.807229455735391,-103.53217376284584,1
367.5185197593174,-3.548041874555024,-103.71062053413523,1
374.8688901545038,-3.4492192754748903,-103.89767060742928,1
382.3662679575939,-3.352659847881933,-104.22822408922687,1
390.01359331674576,-3.118702263701568,-104.68461511193354,1
397.8138651830807,-2.8927806001859566,-104.71353283507838,1
405.7701424867423,-2.737856636361448,-104.97702464699586,1
