Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-21.94457602682028,-91.46882362668612,1
40.8,-21.555585350579804,-90.93471352651194,1
41.616,-21.67238146924346,-91.9532236031776,1
42.44832,-21.598878102243226,-91.24882914087868,1
43.297286400000004,-21.205198218833775,-90.8673256164187,1
44.163232128000004,-21.05064034301195,-90.7775411637341,1
45.046496770560005,-20.813518482564174,-92.68122122053515,1
45.9474267059712,-20.819290553009488,-90.0159170547845,1
46.866375240090626,-20.5198688497678,-87.57858080897458,1
47.80370274489244,-20.410063529397934,-92.3378258542765,1
48.75977679979029,-20.030749789655157,-89.71971675092789,1
49.7349723357861,-20.031670300350218,-91.47741685380062,1
50.72967178250182,-19.938493446902527,-90.65598833079078,1
51.74426521815185,-19.579316437871935,-91.43817194231087,1
52.77915052251489,-19.499922002287096,-90.8924547521132,1
53.83473353296519,-19.432880562124826,-91.7682823769112,1
54.911428203624496,-19.080976123385945,-91.48479363900304,1
56.00965676769699,-19.249156303194958,-91.46293179474173,1
57.12984990305093,-18.87355220220154,-90.81072794713246,1
58.27244690111195,-18.77648729489773,-91.92800609882275,1
59.437895839134185,-18.45669730617353,-91.40985529739557,1
60.62665375591687,-18.432403350239003,-91.82857216323896,1
61.83918683103521,-18.255820866803358,-91.12544479608503,1
63.075970567655915,-18.25105803813641,-91.92514084459475,1
64.33748997900904,-17.862061839924575,-91.69726000523795,1
65.62423977858921,-18.070314323598428,-91.2694602863703,1
66.936724574161,-17.74855305413043,-91.55453236189383,1
68.27545906564423,-17.70621194391887,-91.90953180238691,1
69.64096824695712,-17.468522919647924,-91.57821900006724,1
71.03378761189626,-17.524201722351602,-91.86817239306811,1
72.45446336413418,-17.23392190454717,-91.36616834248454,1
73.90355263141687,-17.1589120660558,-91.924244810515,1
75.38162368404521,-17.010447911333227,-91.90792437871642,1
76.88925615772611,-16.778118362788852,-92.17430846081697,1
78.42704128088063,-16.759490959756757,-92.17159074493549,1
79.99558210649825,-16.556446594350938,-92.00221617869651,1
81.59549374862821,-16.243214673095355,-91.70592660514764,1
83.22740362360078,-16.29242591261332,-92.21569893363056,1
84.8919516960728,-15.921748782361776,-92.20292011603452,1
86.58979072999425,-15.776408158221374,-92.3021539419461,1
88.32158654459414,-15.835631642362092,-92.77349326129227,1
90.08801827548602,-15.54111856560529,-92.85570041256524,1
91.88977864099574,-15.319141663015472,-92.31441518867621,1
93.72757421381566,-15.104988144513882,-91.5886070151813,1
95.60212569809197,-15.106518004768896,-92.77530212401933,1
97.5141682120538,-14.840504647029038,-92.86058764059881,1
99.46445157629488,-14.689137605111055,-92.95813110918274,1
101.45374060782078,-14.491741467073464,-92.82916808237944,1
103.4828154199772,-14.387161340988863,-92.6877326269333,1
105.55247172837674,-14.166106823268372,-92.74521391831902,1
107.66352116294428,-14.144536859882297,-93.04781190798255,1
109.81679158620317,-13.779354951540457,-93.02389954730148,1
112.01312741792724,-13.837343359808736,-93.17889723008659,1
114.25338996628578,-13.44925141753771,-93.04452230470314,1
