Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.68225481488528,88.76851562297989,2
41.6,-28.384802099920076,90.62205725605635,2
43.264,-28.23954545541191,86.75199103641222,2
44.99456000000001,-27.45394100104625,88.35724157853087,2
46.79434240000001,-27.19536217917838,89.27542522016591,2
48.66611609600002,-26.923472424891084,89.49260550702593,2
50.61276073984002,-26.50768906559409,87.50695671327105,2
52.637271169433625,-25.919989281783618,87.5257912131056,2
54.742762016210975,-25.905691019301788,87.9978960342242,2
56.93247249685942,-25.716126791557095,87.9712857668161,2
59.2097713967338,-25.372769076295395,86.21704656355274,2
61.57816225260316,-24.85885252207858,87.2629961398643,2
64.04128874270728,-24.53451518400228,86.64977268075447,2
66.60294029241557,-24.19857446704462,86.67064258038164,2
69.26705790411219,-23.892985827944326,86.75693449211354,2
72.03774022027669,-23.47421932386807,86.3526561005001,2
74.91924982908776,-23.14823501866147,86.17091260055284,2
77.91601982225127,-22.885604665951583,85.20930520659459,2
81.03266061514132,-22.66252682213453,85.95177366682495,2
84.27396703974698,-22.07838738906629,86.47967273147788,2
87.64492572133686,-21.807108438307043,86.18939353203855,1
91.15072275019034,-21.476507285665246,85.38770637115704,1
94.79675166019796,-20.972339182883875,84.54380760416716,1
98.58862172660588,-20.57971082480913,85.71006161556537,1
102.53216659567012,-20.440123164407197,84.96825770428204,1
106.63345325949693,-19.989472854629522,84.83310672931376,1
110.89879138987682,-19.592832390030118,84.90502272730197,1
115.3347430454719,-19.228355358589713,85.17551514696277,1
119.94813276729077,-18.863723965471298,85.10851390153215,1
124.74605807798241,-18.421257657368326,84.68576191335092,1
129.7359004011017,-18.160362467777258,83.30010102568822,1
134.9253364171458,-17.92335861070093,83.80767099150376,1
140.32234987383163,-17.513967817139243,83.12884053502704,1
145.9352438687849,-17.21953478029506,83.29189936942488,1
151.7726536235363,-16.971857559028905,83.07071630105165,1
157.84355976847777,-16.472040352923152,83.07732857889974,1
164.1573021592169,-16.080809936362893,82.27815374104,1
170.7235942455856,-15.781133170810204,80.98058566342615,1
177.55253801540903,-15.396983031904684,81.44840960119748,1
184.6546395360254,-15.00762980166322,81.00192760893196,1
192.04082511746643,-14.731204696010591,80.758816346898,1
199.72245812216508,-14.31584138351773,80.17560053586261,1
207.71135644705168,-13.908080790456214,80.40315790616108,1
216.01981070493375,-13.674761895437056,79.46802804379793,1
