Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.47391419400904,90.93762441116222,2
41.6,-28.18788943139199,88.78580443409285,1
43.264,-28.132768608759406,89.5995063102985,2
44.99456000000001,-27.793918915611865,88.2344616026287,2
46.79434240000001,-27.23389593455112,92.33874515102463,2
48.66611609600002,-26.910163944583196,88.80447383152148,2
50.61276073984002,-26.80433903318255,89.45094170002233,2
52.637271169433625,-26.354538387498987,88.07612670725229,2
54.742762016210975,-26.247526272198733,89.45089780321177,2
56.93247249685942,-25.663950407800513,89.86575821914084,2
59.2097713967338,-25.429075585506403,87.91329239892184,1
61.57816225260316,-25.035618445260187,88.86700069699614,2
64.04128874270728,-24.74718663122783,88.32601215803213,2
66.60294029241557,-24.46441261625878,88.99856678764046,2
69.26705790411219,-24.17717606308909,87.67603955383117,2
72.03774022027669,-23.70446344831804,88.45272902903616,2
74.91924982908776,-23.419726480284737,88.2690508398588,1
77.91601982225127,-23.26326683615916,88.61647389619209,2
81.03266061514132,-22.915969913075198,87.17581243958078,1
84.27396703974698,-22.142734680095625,88.00860058348509,1
87.64492572133686,-22.068599899125346,88.11601832193695,2
91.15072275019034,-21.692029505051764,87.86552429014652,1
94.79675166019796,-21.32243686158745,89.46988506359098,1
98.58862172660588,-21.061139127125404,87.8991221289127,1
102.53216659567012,-20.682010974709996,87.99307797839391,1
106.63345325949693,-20.465200946253837,87.47432223941269,1
110.89879138987682,-20.015194977030884,87.38587631742162,1
115.3347430454719,-19.58345041908995,87.86625283029969,1
119.94813276729077,-19.08194443688054,86.96041979143052,1
124.74605807798241,-18.76008773193519,87.60544350123996,1
129.7359004011017,-18.525707179548274,88.27818936708978,1
134.9253364171458,-18.304293592878654,86.6661892729814,1
140.32234987383163,-17.79939644934405,87.3547135915901,1
145.9352438687849,-17.567388334495348,86.73495398018484,1
151.7726536235363,-17.32994464285843,86.27862874066285,1
157.84355976847777,-16.86523246668727,86.18117246096128,1
164.1573021592169,-16.50738363069064,86.79071089302676,1
170.7235942455856,-16.361213781559456,86.17397213000808,1
177.55253801540903,-15.93268576155378,86.51524207021916,1
184.6546395360254,-15.55231577659802,86.21639629548446,1
192.04082511746643,-15.266611679643061,85.66170086698321,1
199.72245812216508,-14.949667008864742,85.33218150036096,1
207.71135644705168,-14.545972122313724,85.39729697925323,1
216.01981070493375,-14.292548342205624,85.30094031862501,1
224.6606031331311,-14.053141615254576,85.2524380822163,1
233.64702725845635,-13.69013808298983,84.76628010131327,1
242.9929083487946,-13.284861380787845,85.03059819232303,1
252.7126246827464,-13.015042936655234,84.47908475580996,1
262.8211296700563,-12.60733701660288,84.55600859004147,1
273.33397485685856,-12.338912335723805,84.75570010623974,1
284.2673338511329,-11.993498845263478,84.41685948527447,1
295.6380272051782,-11.629194651979542,83.77634325855163,1
