Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-27.620451971533583,-92.53265599219526,2
41.6,-27.1470442013807,-90.16047447353367,1
43.264,-27.152462402662596,-90.42580052279757,2
44.99456000000001,-26.379540661448978,-92.07842526874651,2
46.79434240000001,-26.252855125174918,-92.5982777185209,2
48.66611609600002,-25.70918960310873,-89.7814874574295,2
50.61276073984002,-25.29984495548273,-92.00469872125171,2
52.637271169433625,-24.870060888933583,-91.70337248058141,2
54.742762016210975,-24.37521489674891,-91.59108457352583,2
56.93247249685942,-24.422044910319723,-90.66434078723842,2
59.2097713967338,-23.997752815627493,-92.14220663186777,2
61.57816225260316,-23.735561357525853,-94.68251559952961,1
64.04128874270728,-23.362412423856043,-91.61391433642599,2
66.60294029241557,-23.24409773715149,-93.67566487558457,1
69.26705790411219,-22.64284534860571,-91.69081426836377,1
72.03774022027669,-22.167772388586663,-91.89915457526695,1
74.91924982908776,-21.993157585684894,-90.93144272580291,1
77.91601982225127,-21.7005801741781,-91.92666360320567,1
81.03266061514132,-21.506130943197256,-91.90693284232844,1
84.27396703974698,-21.144722645764297,-91.2805975861887,1
87.64492572133686,-20.783998951643696,-93.69146333774313,1
91.15072275019034,-20.525846398961253,-93.11940008777924,1
94.79675166019796,-20.19104728379487,-91.89944800929408,1
98.58862172660588,-19.798184404845532,-91.77146605073348,1
102.53216659567012,-19.38456938912516,-92.8636886929603,1
106.63345325949693,-19.262741890438782,-92.65625319604652,1
110.89879138987682,-18.73380487257204,-92.40998950783175,1
115.3347430454719,-18.284388528803298,-92.38049875324046,1
119.94813276729077,-17.97020498428231,-92.70848260767153,1
124.74605807798241,-17.61135433781322,-93.05612578139792,1
129.7359004011017,-17.272024717207408,-93.10156797319141,1
134.9253364171458,-17.03604055638112,-93.747988286035,1
140.32234987383163,-16.74418936072927,-93.41084426887092,1
145.9352438687849,-16.48229991856629,-94.40873862245083,1
151.7726536235363,-16.187901431042516,-93.86776461824445,1
157.84355976847777,-15.759338846860524,-93.41758715619193,1
164.1573021592169,-15.436879910455618,-94.30310338618227,1
170.7235942455856,-15.108202269575788,-94.57834534387638,1
177.55253801540903,-14.751499447068447,-94.36613090692036,1
184.6546395360254,-14.401784840456777,-94.60811991992703,1
192.04082511746643,-14.0741975016087,-95.12137133859778,1
199.72245812216508,-13.814269701351588,-94.88272430597073,1
207.71135644705168,-13.438932100291815,-95.46535295094145,1
216.01981070493375,-13.19534341401568,-95.75106423969649,1
224.6606031331311,-12.885066110592595,-95.9978774348101,1
233.64702725845635,-12.514019308734474,-96.27408955308118,1
242.9929083487946,-12.129839699406572,-96.3006246638991,1
252.7126246827464,-11.826824401267666,-96.52065239245744,1
262.8211296700563,-11.501291171670552,-96.65369616582143,1
273.33397485685856,-11.11599030239368,-96.85045698444964,1
284.2673338511329,-10.826041803159685,-97.3529047184254,1
295.6380272051782,-10.454270227593165,-97.35464342075313,1
307.4635482933854,-9.979381205614601,-97.73347669376282,1
319.7620902251208,-9.750637815561053,-97.91386875405702,1
332.55257383412567,-9.585426623242585,-98.48351117584397,1
345.8546767874907,-9.15207468825038,-98.7280437425855,1
359.6888638589903,-8.85185930332203,-99.25312101824659,1
374.0764184133499,-8.536228598688012,-99.49134271313969,1
389.0394751498839,-8.111398340364687,-99.7683110670694,1
404.6010541558793,-7.8496105342713145,-100.3231103579779,1
420.7850963221145,-7.524994541000143,-100.52518411067695,1
437.6165001749991,-7.149531703054235,-100.85615484759538,1
455.1211601819991,-6.844614447503878,-101.16133116314118,1
473.3260065892791,-6.58703136721202,-101.65870354507669,1
492.25904685285025,-6.27767507751953,-102.09666843821515,1
511.9494087269643,-6.0471096930289505,-102.94990561142401,1
532.4273850760429,-5.666319219222257,-103.23848454660973,1
553.7244804790846,-5.2335201339779465,-103.31130554315058,1
575.873459698248,-4.871929125920894,-103.910133540715,1
598.908398086178,-4.534851058170709,-103.9378120411145,1
622.8647340096251,-4.224280543903316,-104.93863856699818,1
647.77932337001,-3.925463721720141,-105.09806161313661,1
673.6904963048105,-3.638310607107555,-105.89674066189725,1
700.638116157003,-3.3275453985729175,-106.45483506395527,1
728.6636408032831,-3.1437129029054454,-107.22367031537092,1
757.8101864354145,-2.869187427348114,-108.09401026238379,1
788.1225938928311,-2.516129582967824,-108.49643369788527,1
819.6474976485443,-2.1156049355388835,-108.83527397029192,1
852.4333975544862,-1.9105133595798858,-109.97022539681694,1
886.5307334566656,-1.6022731163484987,-110.39617981448036,1
921.9919627949323,-1.2520822265914877,-110.89603064281633,1
958.8716413067297,-0.990646903287503,-111.81086639699748,1
997.2265069589989,-0.6361692690235738,-112.50707833009645,1
1037.1155672373588,-0.31532921725426044,-112.97926258837052,1
1078.6001899268533,-0.1332361100345324,-114.01761634385664,1
1121.7441975239276,0.22269212361145055,-114.5531628442387,1
1166.6139654248848,0.5555831990485353,-115.40691535899279,1
1213.2785240418802,0.8669085193257295,-116.06994085907328,1
1261.8096650035554,1.1462511696932962,-117.04223594000675,1
1312.2820516036977,1.441056610421209,-117.96775846558714,1
1364.7733336678457,1.7409296951237567,-118.70806640967596,1
1419.3642670145596,1.9809504673277747,-119.82051190269239,1
1476.138837695142,2.2437540716074604,-120.76233593197415,1
1535.1843912029478,2.6184454225502143,-121.43450209852958,1
1596.5917668510658,2.8353590103776005,-122.55464075398697,1
1660.4554375251084,3.158416977172584,-123.28850545519983,1
1726.8736550261128,3.411931300903692,-124.76714584862923,1
1795.9486012271575,3.7006304724972616,-125.79665553264013,1
1867.786545276244,3.9675373650813195,-127.00423954123134,1
1942.4980070872937,4.286114509986951,-127.98257419077919,1
2020.1979273707855,4.581563231890267,-129.18964201881596,1
2101.005844465617,4.836294907673735,-131.9903695256507,1
2185.046078244242,5.1680976974298245,-131.37975780596133,1
2272.4479213740115,5.474575489585626,-132.67870515677157,1
2363.345838228972,5.785135278346768,-135.60258299177983,1
2457.879671758131,6.0492720672093805,-134.8984075539517,1
2556.194858628456,6.383976873888531,-138.06079567490855,1
2658.4426529735942,6.708972031668025,-138.31213770476307,1
2764.780359092538,7.045312834203037,-139.76978245535184,1
2875.3715734562397,7.363746582141401,-142.3428031026618,1
2990.3864363944895,7.658705245987882,-142.96284906906564,1
3110.001893850269,8.080215893420386,-145.42644922032773,1
3234.4019696042797,8.386975220744576,-146.3158373637515,1
3363.7780483884508,8.821277236941386,-148.5260515250443,1
3498.329170323989,9.177086408100925,-150.5739875390267,1
3638.2623371369486,9.560626512677437,-152.32785185795728,1
3783.7928306224267,10.064379036819144,-155.0726479373487,1
3935.144543847324,10.450582974170986,-156.5540449826856,1
4092.550325601217,10.95151083951894,-159.70762437126274,1
4256.252338625266,11.498020789327175,-162.51441868092957,1
4426.502432170277,12.015352977547726,-164.9175237878704,1
4603.562529457088,12.627646019472682,-168.37392390327201,1
4787.705030635372,13.2784821961081,-172.6069066060499,1
4979.213231860787,13.980414475235504,-176.69246284735442,1
5178.381761135219,14.689938932271083,178.0519232001688,1
5385.517031580628,15.521464802131854,172.02415661054627,1
5600.937712843854,16.28583865167498,165.23702754543297,1
5824.975221357608,17.09793140904889,155.66071788108977,1
6057.974230211912,17.63776313873362,144.6602240888072,1
6300.293199420389,18.123972704518,131.9600884344771,1
6552.304927397205,17.971316259170223,117.9875659507379,1
6814.397124493093,17.713711839519338,104.70787412246244,1
7086.973009472817,16.724206278421057,90.39844886558582,1
7370.45192985173,15.846397160174709,81.30552332911475,1
7665.2700070457995,14.611234982611679,70.24199391856655,1
7971.880807327631,13.487795908170881,62.69506967123509,1
8290.756039620737,12.340751254735252,56.7734572792553,1
8622.386281205567,11.305109228770176,48.71865320360011,1
8967.28173245379,10.275207617063742,42.49336441761902,1
9325.973001751941,9.229829414263543,36.6062640529443,1
9699.011921822019,8.240540249389275,29.229922251657687,1
10086.9723986949,7.091787211481433,20.209233249104045,1
10490.451294642695,5.568122078727446,11.423126612021543,1
10910.069346428403,3.421145036314594,3.527593583199007,1
11346.47212028554,0.8887903386240448,-0.3241713939012385,1
11800.331005096961,-1.4732804696780462,1.7888967110067568,1
12272.34424530084,-3.1957530957708435,7.14055063810401,1
12763.238015112873,-4.268965390908018,12.826818682704925,1
13273.767535717388,-5.027067312695514,16.441016777336394,1
13804.718237146084,-5.639354178942322,18.541129358214874,1
14356.906966631928,-6.174054546422055,19.843828666690914,1
14931.183245297207,-6.783090882925799,20.301531555480466,1
15528.430575109096,-7.377258696258262,20.479915999876255,1
16149.567798113461,-7.973059267810939,20.056005701542126,1
16795.550510038,-8.543908832221254,19.91270524293506,1
17467.37253043952,-9.231452678974625,19.030033777214754,1
18166.067431657102,-9.827773550209725,18.43254254802822,1
18892.710128923387,-10.49732122731717,17.884277732562424,1
19648.418534080323,-11.109763114373251,17.09424640968669,1
