Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.587049072557,-92.78757291568013,2
40.8,-23.672189266627534,-93.64199974005945,2
41.616,-23.60267345134609,-93.3772112360233,2
42.44832,-23.30302968489258,-93.36761001321554,1
43.297286400000004,-23.181531667970557,-92.913407219732,1
44.163232128000004,-22.925678366267768,-93.4392948025137,1
45.046496770560005,-22.805484387462222,-93.28209573100608,1
45.9474267059712,-22.601693113290168,-93.00370802648683,1
46.866375240090626,-22.41755449738614,-94.8977561024724,1
47.80370274489244,-22.206872896474437,-92.80665738686045,1
48.75977679979029,-22.20874021371707,-93.79776992477204,1
49.7349723357861,-21.960480282813222,-94.33645120770278,1
50.72967178250182,-21.61412810020437,-94.5856560250115,1
51.74426521815185,-21.62722985368429,-94.91405755277299,1
52.77915052251489,-21.205134315559825,-93.9749387066644,1
53.83473353296519,-21.208608627939675,-95.55217117709688,1
54.911428203624496,-20.756112821004912,-94.18107508359158,1
56.00965676769699,-20.97477632676709,-95.2181832870466,1
57.12984990305093,-20.619602138088585,-95.10756706148352,1
58.27244690111195,-20.566206720904752,-94.54405538784385,1
59.437895839134185,-20.346170184442123,-94.62052741951197,1
60.62665375591687,-20.236194819195838,-95.04097647985259,1
61.83918683103521,-19.97095439025431,-94.84421128792846,1
63.075970567655915,-19.80731179164413,-94.96978455438835,1
64.33748997900904,-19.60575334233473,-95.26654397736282,1
65.62423977858921,-19.526302590292804,-95.39828044495374,1
66.936724574161,-19.278899196405423,-95.16273650500307,1
68.27545906564423,-19.171847087130125,-95.68038251413999,1
69.64096824695712,-18.909379565773122,-95.92519838083687,1
71.03378761189626,-18.760521487303045,-96.16003454326005,1
72.45446336413418,-18.56863832538453,-96.23583684502634,1
73.90355263141687,-18.41804493334621,-96.17036300188002,1
75.38162368404521,-18.27548495526408,-96.2108154144754,1
76.88925615772611,-17.885664643062015,-96.73031022630171,1
78.42704128088063,-17.892980488750464,-96.79608936732149,1
79.99558210649825,-17.681480482114804,-96.60519186643086,1
81.59549374862821,-17.45783417425644,-96.16640820904995,1
83.22740362360078,-17.355091363589654,-96.96524642155649,1
84.8919516960728,-17.174916965531427,-97.58080574182834,1
86.58979072999425,-16.94387731589927,-97.34964496998147,1
88.32158654459414,-16.862861287591397,-97.4200948432387,1
90.08801827548602,-16.638340846023556,-96.96852861295827,1
91.88977864099574,-16.33570923246566,-98.2240618855061,1
93.72757421381566,-16.2391179071591,-98.02629669069664,1
95.60212569809197,-16.20197143219837,-98.01215120153608,1
97.5141682120538,-15.973796250178893,-97.9590601846921,1
99.46445157629488,-15.637641378052162,-98.43348310983376,1
101.45374060782078,-15.50849341038853,-98.11109065076411,1
103.4828154199772,-15.413054133249751,-98.557761914736,1
105.55247172837674,-15.183425346722796,-98.52792036703805,1
107.66352116294428,-15.169384913178948,-99.36458153506211,1
109.81679158620317,-14.773215483963478,-98.43924868383935,1
112.01312741792724,-14.818848078631333,-99.88815880976188,1
114.25338996628578,-14.414365085633786,-99.35729723062389,1
116.5384577656115,-14.376988580693522,-99.74652863342266,1
118.86922692092372,-14.075939404186446,-99.80579471138799,1
121.2466114593422,-14.027520009341863,-100.26311014790093,1
123.67154368852906,-13.758936672038272,-100.25209392475537,1
126.14497456229964,-13.55735023093178,-100.56151968406523,1
128.66787405354563,-13.38679073130391,-100.85288662509492,1
131.24123153461656,-13.300062092773288,-100.93639426439285,1
133.8660561653089,-12.986514285206766,-101.3390717376599,1
136.54337728861506,-12.952731903493552,-101.64548564529903,1
139.27424483438736,-12.557490139231648,-101.75153441410977,1
142.05972973107512,-12.66718266393963,-101.79256485319195,1
144.90092432569662,-12.266294281229323,-101.77547503051738,1
147.79894281221056,-12.203385337410039,-102.34470016413353,1
150.75492166845476,-11.978207482240524,-102.87244615544779,1
153.77002010182386,-11.6689182099814,-102.7867194135004,1
156.84542050386034,-11.719845696401563,-103.39962505009493,1
159.98232891393755,-11.399369234862851,-103.46935606415013,1
163.1819754922163,-11.238495394961694,-103.35141230602204,1
166.44561500206063,-11.10243804852917,-104.15635654465014,1
169.77452730210186,-10.777990265873623,-104.24447500633654,1
173.17001784814389,-10.61356889743799,-104.69594699218153,1
176.63341820510678,-10.543689630533587,-104.92347429279727,1
180.16608656920891,-10.312508561366863,-105.17057442057865,1
183.76940830059308,-10.027240502414319,-105.6577716079016,1
187.44479646660494,-9.862388934959666,-106.01649718947563,1
191.19369239593703,-9.793697512561584,-106.39598421180614,1
195.01756624385578,-9.482161226371442,-106.70033009196824,1
198.9179175687329,-9.247707221512714,-106.96374625092852,1
202.89627592010754,-9.081291352583193,-107.37539500435383,1
206.9542014385097,-8.931427834865238,-107.62109346707497,1
211.09328546727988,-8.790122373061486,-108.29857949307402,1
215.31515117662548,-8.625860115902135,-109.0077962066326,1
219.62145420015798,-8.204656392681601,-108.51937957030165,1
224.01388328416115,-8.211343522236403,-109.79206720476421,1
228.49416094984437,-7.838634274958283,-109.43467649267879,1
233.06404416884126,-7.775931220587805,-110.59573037207609,1
237.7253250522181,-7.429887925354815,-110.76826878932287,1
242.47983155326247,-7.331222653159563,-111.34333089880579,1
247.32942818432772,-7.042240953892191,-111.49962559168026,1
252.27601674801429,-6.92098005366284,-112.27399579067134,1
257.3215370829746,-6.636989985556956,-112.70987303562625,1
262.4679678246341,-6.502524095409376,-113.71919454145694,1
267.7173271811268,-6.17061249179821,-113.7744000827992,1
273.07167372474936,-6.077951628952857,-114.81730878639834,1
278.53310719924434,-5.724465111606846,-115.04351364181773,1
284.10376934322926,-5.649000148904633,-115.98971038092316,1
289.78584473009386,-5.283118620680911,-116.25200584245393,1
295.5815616246957,-5.148718987522405,-116.87306966849096,1
301.4931928571896,-4.9474922570240665,-117.85211669779895,1
307.52305671433345,-4.621284712695527,-118.17641959499966,1
313.6735178486201,-4.4931969297250225,-119.27102282801386,1
319.9469882055925,-4.166521707717492,-119.73566086252674,1
326.34592796970435,-3.9056339225584353,-120.53044230195907,1
332.87284652909847,-3.7688441784703177,-121.66520548915545,1
339.53030345968045,-3.4369287014558974,-122.21420014786867,1
346.3209095288741,-3.1974339239896956,-122.98438193747023,1
353.24732771945156,-3.0206340818558064,-124.31781417924614,1
360.3122742738406,-2.716077922599277,-125.21946467485168,1
367.5185197593174,-2.4507542172693766,-125.85508322255282,1
374.8688901545038,-2.209362061041841,-127.19658503693272,1
382.3662679575939,-1.9961968257698426,-128.3922632044247,1
390.01359331674576,-1.6819452148999137,-129.53042850240982,1
397.8138651830807,-1.368604685289918,-130.48602677722437,1
405.7701424867423,-1.1273904523228877,-131.68873383776747,1
413.88554533647715,-0.9050197965540205,-133.30992780949828,1
422.1632562432067,-0.6024208900032645,-134.97254187406386,1
430.60652136807084,-0.3287992147718703,-136.2764881672897,1
439.21865179543227,0.000516347576571255,-137.73491529392766,1
448.0030248313409,0.28699120174870013,-139.3871056082394,1
456.96308532796775,0.5755144926335599,-141.16329911668424,1
466.1023470345271,0.8759006676425253,-142.89547278746292,1
475.42439397521764,1.1559855599436548,-144.9557788641544,1
484.932881854722,1.4397316701751735,-146.90906180240037,1
494.63153949181645,1.7334640119182845,-149.0953310157303,1
504.5241702816528,2.0112991666201063,-151.5894927188772,1
514.6146536872859,2.280188319511923,-154.38194591497907,1
524.9069467610317,2.5682748132919757,-156.4561639685816,1
535.4050856962523,2.815764557814613,-159.79455332296888,1
546.1131874101774,3.0651473711051644,-162.15737864858625,1
557.035451158381,3.310492962125221,-165.62083452387054,1
568.1761601815485,3.5423095239539255,-168.72742514724462,1
579.5396833851795,3.747358230157953,-172.09344828028543,1
591.1304770528831,3.93121737484573,-175.77356927847228,1
602.9530865939407,4.087567643488427,-179.4140432040142,1
615.0121483258196,4.224444453714963,176.76234789703716,1
627.312391292336,4.31629917510061,172.75491796781478,1
639.8586391181827,4.392863091323084,168.77787830955072,1
652.6558119005464,4.40427873616571,164.7562772389053,1
665.7089281385573,4.398365570991492,160.58197885378837,1
679.0231067013285,4.358260406136189,156.73376041065217,1
692.6035688353551,4.2738593984109805,152.36287474483737,1
706.4556402120622,4.115904288311931,148.7453797812004,1
720.5847530163035,4.022745446657894,144.3764261784383,1
734.9964480766296,3.7622463135499524,141.30657983457922,1
749.6963770381622,3.6159795488560293,137.04896357523364,1
764.6903045789254,3.370807572247945,133.82844395005748,1
779.9841106705039,3.0735798522265405,130.6121605796157,1
795.583792883914,2.9003995598237173,126.93163583369048,1
811.4954687415924,2.541758537332027,124.33611257751525,1
827.7253781164243,2.2653108276201626,121.27050497820608,1
844.2798856787527,2.049441659897875,118.32146537060731,1
861.1654833923278,1.6692000237175226,116.06320579127986,1
878.3887930601744,1.3314592731717458,113.73975671235246,1
895.9565689213779,1.1168395821727246,111.08787036594083,1
913.8757002998054,0.7492250234933262,108.80992015970611,1
932.1532143058016,0.3514427189220817,106.68231139006707,1
950.7962785919177,0.06628787381947417,104.50406244735605,1
969.8122041637561,-0.1649574296773814,102.61709175825928,1
989.2084482470312,-0.4999708043927854,100.75262535875538,1
1008.9926172119718,-0.8784197137068621,99.05437875687596,1
1029.1724695562114,-1.2332011886484462,97.38261347891242,1
1049.7559189473357,-1.5071106054782921,95.58841816988075,1
1070.7510373262824,-1.7402500308853925,93.98802746359917,1
1092.166058072808,-2.014161009284112,92.26554786309659,1
1114.0093792342643,-2.3297897447137,90.89092645210565,1
1136.2895668189497,-2.6480397403825586,89.33173592089562,1
1159.0153581553286,-2.96585719429491,88.0838957210644,1
1182.1956653184352,-3.2955802800110554,86.755051372933,1
1205.8395786248038,-3.611330213234416,85.3867016755713,1
1229.9563701973,-3.8996086812663004,83.94677727715045,1
1254.555497601246,-4.183300760849801,82.6615565702347,1
1279.646607553271,-4.4422478610870515,81.31924697291389,1
1305.2395397043365,-4.70907346559547,80.1895055962322,1
1331.3443304984232,-4.983216662671547,79.03285967568391,1
1357.9712171083918,-5.230038325946953,77.89675622091856,1
1385.1306414505596,-5.523367015490558,76.7927049771067,1
1412.8332542795708,-5.765634891165912,75.5090842126649,1
1441.0899193651624,-6.049744046836984,74.5077187776057,1
1469.9117177524656,-6.375198188073687,73.38975600126517,1
1499.3099521075148,-6.684382691316677,72.25058459472055,1
1529.296151149665,-6.9024234702598735,71.04452684657761,1
1559.8820741726583,-7.077979621476642,69.9530818869286,1
1591.0797156561116,-7.432763372148711,68.9820900560282,1
1622.9013099692338,-7.718379254440245,67.66872060646597,1
1655.3593361686185,-7.9355909069757296,66.74985396896182,1
1688.466522891991,-8.259282402046187,65.71421337461017,1
1722.235853349831,-8.577442043914832,64.65347062887365,1
1756.6805704168275,-8.723894523618736,63.378342849660044,1
1791.814181825164,-9.07702106521277,62.65709482652383,1
1827.6504654616674,-9.291321067634158,61.347302443861,1
1864.2034747709008,-9.590283470105167,60.3630976236866,1
1901.4875442663188,-9.818876251336016,59.54511949378906,1
1939.5172951516452,-10.126238448474314,58.23632584871443,1
1978.307641054678,-10.348523658334672,57.480796010835306,1
2017.8737938757715,-10.643484745390056,56.235546623369856,1
2058.231269753287,-10.941749736408353,54.598996936816604,1
2099.395895148353,-11.219449201993886,52.34143428454031,1
2141.38381305132,-11.471482653413979,51.850901396688485,1
2184.211489312346,-11.647144572511444,52.84441677404436,1
2227.895719098593,-11.899676174434434,52.74815102946725,1
2272.453633480565,-12.235804609182507,50.69868257513372,1
2317.902706150176,-12.539297230435077,48.02658785376087,1
2364.2607602731796,-12.778756348277755,46.63585320832246,1
2411.5459754786434,-13.119887795738615,46.746011611212616,1
2459.776894988216,-13.385395663369446,46.754426418520346,1
2508.9724328879806,-13.593269555073412,45.77238102690766,1
