Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.30819903949973,-92.74571128615236,2
40.8,-24.057185012164805,-93.49139423831573,2
41.616,-23.893331010810684,-92.83840532725449,1
42.44832,-23.83329715496766,-92.71882894663304,2
43.297286400000004,-23.752111852658572,-94.30706042218114,2
44.163232128000004,-23.62945246089139,-92.12560894438559,2
45.046496770560005,-23.31236145917544,-93.32645277864357,1
45.9474267059712,-23.326784820075265,-92.97511812472521,1
46.866375240090626,-23.090208607481188,-92.31045431982164,2
47.80370274489244,-22.742546529721015,-92.35113598276256,1
48.75977679979029,-22.628851865844048,-92.14098965987681,1
49.7349723357861,-22.545405367453068,-93.05750555703763,2
50.72967178250182,-22.3569668572456,-92.86034884218965,1
51.74426521815185,-22.15706223355509,-93.0449496981322,1
52.77915052251489,-21.95445493333068,-93.36738430195884,1
53.83473353296519,-21.903409566341594,-92.77358775752717,1
54.911428203624496,-21.48755755078558,-93.85213342819787,1
56.00965676769699,-21.605802800967474,-93.39593330640173,1
57.12984990305093,-21.127927287743073,-93.73859766114421,1
58.27244690111195,-21.197145427770273,-93.97720588473746,1
59.437895839134185,-20.891557792506354,-93.9226592828512,1
60.62665375591687,-20.8001909469447,-93.525701086722,1
61.83918683103521,-20.478086027649763,-94.24917384282908,1
63.075970567655915,-20.603955078410973,-94.01568305414966,1
64.33748997900904,-20.202749329958547,-94.05303566937599,1
65.62423977858921,-20.22183062453656,-94.0176038088797,1
66.936724574161,-19.839505944314276,-93.95462271987688,1
68.27545906564423,-19.75637587635542,-95.10373526556262,1
69.64096824695712,-19.389412266312007,-94.4055821475343,1
71.03378761189626,-19.481858255268982,-94.63062655811484,1
72.45446336413418,-19.24825755117431,-95.28379818761789,1
73.90355263141687,-19.098248404440845,-94.83522938310357,1
75.38162368404521,-18.91077097691278,-94.44446655188699,1
76.88925615772611,-18.631129668361393,-94.82395202230494,1
78.42704128088063,-18.646371434476944,-94.73889851241788,1
79.99558210649825,-18.39160603656483,-95.59222388590675,1
81.59549374862821,-18.108061129474148,-95.22404176230029,1
83.22740362360078,-18.13681359605302,-95.62255017106392,1
84.8919516960728,-17.82136683941381,-95.13590772367222,1
86.58979072999425,-17.60115944938164,-95.29916696758309,1
88.32158654459414,-17.627149039831995,-95.80329192243533,1
90.08801827548602,-17.372198094997938,-95.65681760740648,1
91.88977864099574,-17.066229145610023,-95.56833751921567,1
93.72757421381566,-17.01516837926568,-95.48330413238395,1
95.60212569809197,-16.85501499338867,-96.21900672439642,1
97.5141682120538,-16.685873445429174,-95.66516102030111,1
99.46445157629488,-16.44155045907558,-96.11872017930756,1
101.45374060782078,-16.283020214228504,-96.36445483602346,1
103.4828154199772,-16.18322877356773,-96.53681021027397,1
105.55247172837674,-15.866784828571443,-96.70018566072666,1
