Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.96064036203123,-92.4811274798194,2
40.8,-24.20937643314695,-92.26992474450785,1
41.616,-24.3148118412129,-92.15173021599648,2
42.44832,-24.372300982644553,-93.97814496396165,1
43.297286400000004,-23.99288260696963,-92.34787165820015,2
44.163232128000004,-23.911112528689067,-92.03268124576238,1
45.046496770560005,-23.839647443420382,-92.51787016312741,2
45.9474267059712,-23.570140424955802,-93.06792349623493,2
46.866375240090626,-23.637926489655978,-91.92156211757003,2
47.80370274489244,-23.466683177285173,-93.35240365618637,1
48.75977679979029,-23.22021293342835,-92.53192678620422,2
49.7349723357861,-23.240309750808496,-93.8208043515468,1
50.72967178250182,-23.119370279418813,-93.24778675594541,2
51.74426521815185,-22.943804916811846,-92.93041229635725,2
52.77915052251489,-22.614211432800108,-92.89335569444691,2
53.83473353296519,-22.69014205893924,-93.72435636504517,1
54.911428203624496,-22.41421496764627,-92.82117848048816,1
56.00965676769699,-22.251995935825118,-93.7526093571542,1
57.12984990305093,-22.181591988689785,-93.21744018418843,1
58.27244690111195,-21.970983251395577,-93.88530529901516,1
59.437895839134185,-21.906258796263767,-93.64191646895087,1
60.62665375591687,-21.803996724244925,-94.05572539434729,1
61.83918683103521,-21.3803337942923,-93.75009053710797,1
63.075970567655915,-21.45295819234063,-95.03876378566511,1
64.33748997900904,-21.14611608528912,-94.70026391685681,1
65.62423977858921,-21.123093707278656,-94.10738951160101,1
66.936724574161,-20.777926541212928,-94.27465500844414,1
68.27545906564423,-20.71069357759589,-93.3386940333919,1
69.64096824695712,-20.403223695546593,-94.40036610704965,1
71.03378761189626,-20.465335818309335,-94.29466100081186,1
72.45446336413418,-20.13315328990431,-94.01433142931435,1
73.90355263141687,-19.963235020094253,-95.51287491667306,1
75.38162368404521,-19.848382768288925,-95.17897056038458,1
76.88925615772611,-19.56918792346052,-94.9058352479955,1
78.42704128088063,-19.554377953573976,-94.65708044645896,1
79.99558210649825,-19.26551895281936,-94.99041457966399,1
81.59549374862821,-19.09778370911626,-94.7875871443391,1
83.22740362360078,-19.065129744937032,-95.41283554871838,1
84.8919516960728,-18.782510139418154,-94.87846517508393,1
86.58979072999425,-18.39567008953157,-95.19157727468469,1
88.32158654459414,-18.36719114092429,-95.38199312811162,1
90.08801827548602,-18.062804807170977,-96.23461199856854,1
91.88977864099574,-17.889605140393613,-94.79083016996103,1
93.72757421381566,-17.820311895712063,-96.29383525054753,1
95.60212569809197,-17.641231868323462,-96.1337631974194,1
97.5141682120538,-17.524289410174216,-95.90808269634647,1
99.46445157629488,-17.19635760850318,-95.82990518984016,1
101.45374060782078,-16.96822443453653,-96.13509912926585,1
103.4828154199772,-16.874162666286786,-96.30915610572107,1
105.55247172837674,-16.610434454513733,-96.5555903992236,1
107.66352116294428,-16.581542143624908,-96.64404098104808,1
