Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.651834067912105,85.40965592561925,2
40.8,-25.440628619566837,86.63651947526887,2
41.616,-25.476697515039277,87.76384028960341,2
42.44832,-25.397965125252266,88.10546664614431,2
43.297286400000004,-24.70949410232883,87.80523739305335,2
44.163232128000004,-24.89295925504963,85.95966337031948,2
45.046496770560005,-24.821773572502664,88.08880625647535,2
45.9474267059712,-24.47587144143899,86.86857941806934,2
46.866375240090626,-24.499876768081528,86.47268689610792,2
47.80370274489244,-24.229896772175657,86.66753310365864,1
48.75977679979029,-23.999954323122452,87.50414834628754,2
49.7349723357861,-24.017333522252375,87.58946393970639,2
50.72967178250182,-23.64773435377107,86.53397210945855,2
51.74426521815185,-23.71259706494147,86.92357063799638,1
52.77915052251489,-23.44651139152597,87.88870904170926,1
53.83473353296519,-23.327830312875697,87.22743329811556,1
54.911428203624496,-22.814598473699842,86.69700356453903,1
56.00965676769699,-22.876933653216525,86.93608725169273,1
57.12984990305093,-22.681432946956896,87.22792184119089,1
58.27244690111195,-22.664279191358048,85.43927055522188,1
59.437895839134185,-22.431667088495697,86.20551472583062,1
60.62665375591687,-22.21012397878166,84.96527007586843,1
61.83918683103521,-21.993984938848012,85.5114861061029,1
63.075970567655915,-21.795816468315753,85.1289714105211,1
64.33748997900904,-21.509849305836987,86.11233236284754,1
65.62423977858921,-21.360267683371593,85.55516037878594,1
66.936724574161,-21.241194750664057,85.29041482946104,1
68.27545906564423,-21.339754300008025,85.27639310738775,1
69.64096824695712,-21.003527456929007,84.78252645729754,1
71.03378761189626,-20.956703704127293,85.80160376509703,1
72.45446336413418,-20.667995992900696,86.28890462738991,1
73.90355263141687,-20.65067453003244,84.96935074807007,1
75.38162368404521,-20.431105920056783,84.72501602048487,1
76.88925615772611,-20.34143469016479,84.621661604613,1
78.42704128088063,-20.17932089473711,84.63963800501553,1
79.99558210649825,-19.848900260398604,84.47252342557952,1
81.59549374862821,-19.82869021090578,84.43298691370182,1
83.22740362360078,-19.527351122680983,84.52026679430782,1
84.8919516960728,-19.319378875851537,84.2423132161347,1
86.58979072999425,-18.94061921967254,84.4387274229664,1
88.32158654459414,-18.87692839047967,83.56811201138704,1
90.08801827548602,-18.668051270662456,84.03639858077648,1
91.88977864099574,-18.356509043461305,84.40637914384456,1
93.72757421381566,-18.428490375474453,83.99905832560786,1
95.60212569809197,-18.237390492430645,83.24944228927379,1
97.5141682120538,-17.831421594174643,84.10472206084907,1
